INFO     | 2013-02-14 15:02:06,408 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2013-02-14 15:02:06,426 | config     | Setting 'alignment' to 'amphibians.phy'
INFO     | 2013-02-14 15:02:06,426 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2013-02-14 15:02:06,427 | parser     | Setting 'models' to 'all'
INFO     | 2013-02-14 15:02:06,427 | parser     | The models included in this analysis are: GTR+I+G, GTR+G
INFO     | 2013-02-14 15:02:06,428 | parser     | Setting datatype to 'DNA'
INFO     | 2013-02-14 15:02:06,428 | config     | Setting 'model_selection' to 'bic'
ERROR    | 2013-02-14 15:02:06,429 | parser     | There was a problem loading your .cfg file, please check and try again
ERROR    | 2013-02-14 15:02:06,429 | parser     | Expected ";" (at char 206), (line:13, col:16)
INFO     | 2013-02-14 15:02:06,429 | parser     | The line causing the problem is this: '12S_Stems = 4-8, 12-20, 26-32, 34-36, 38-41, 46-48, 50-56, 59-60, 66-68, 75-78, 89-92, 115-118, 172-172, 180-185, 192-193, 205-211, 221-223, 231-235, 244-249, 252-254, 256-257, 259-263, 284-287, 289-291, 295-302, 308-310, 325-327, 342-345, 347-348, 350-357, 367-370, 379-383, 388-390, 417-419, 484-485, 490-491, 496-498, 509-516, 522-524, 530-534, 541-542, 546-549, 562-566, 570-571, 573-578, 615-618, 620-622, 631-636, 640-646, 653-655, 659-665, 668-672, 674-682, 691-698, 701-712, 716-720, 733-737, 747-756, 780-781, 783-784, 787-790, 792-798, 805-806, 812-814, 820-828, 834-835, 849-850, 878-885, 900-919, 942-945, 947-948, 953-961, 967-1022, 1029-1030, 1032-1040, 1047-1055, 1059-1066, 1084-1086, 1105-1107, 1128-1132, 1140-1144, 1148-1150, 1163-1169, 1186-1197, 1202-1203, 1225-1231, 1249-1253, 1260-1261, 1270-1271, 1279-1283, 1303-1308, 1328-1338, 1346-1355;'
INFO     | 2013-02-14 15:02:06,430 | parser     | Please check that line, and make sure it appears in the right place in the .cfg file.
INFO     | 2013-02-14 15:02:06,430 | parser     | If it looks OK, try double-checking the semi-colons on other lines in the .cfg file
ERROR    | 2013-02-14 15:02:06,430 | main       | Failed to run. See previous errors.
INFO     | 2013-02-14 15:02:43,084 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2013-02-14 15:02:43,094 | config     | Setting 'alignment' to 'amphibians.phy'
INFO     | 2013-02-14 15:02:43,094 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2013-02-14 15:02:43,095 | parser     | Setting 'models' to 'all'
