Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	10CH	3037	1856	61.113	0.682	0.318	365	171	205	440	0	0	0	0	0	0	0	0	0	0	0	0	0	1856	0
alignment.nex	12CH	3037	1824	60.059	0.682	0.318	373	178	208	454	0	0	0	0	0	0	0	0	0	0	0	0	0	1824	0
alignment.nex	13CH	3037	1920	63.22	0.682	0.318	348	166	189	414	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0
alignment.nex	1CH	3037	1811	59.631	0.682	0.318	380	179	211	456	0	0	0	0	0	0	0	0	0	0	0	0	0	1811	0
alignment.nex	4CH	3037	1831	60.29	0.681	0.319	369	178	207	452	0	0	0	0	0	0	0	0	0	0	0	0	0	1831	0
alignment.nex	6CH	3037	1819	59.895	0.684	0.316	376	178	207	457	0	0	0	0	0	0	0	0	0	0	0	0	0	1819	0
alignment.nex	72_VN018	3037	1832	60.323	0.69	0.31	372	174	199	460	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	0
alignment.nex	73_VN019	3037	1832	60.323	0.689	0.311	371	175	200	459	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	0
alignment.nex	75_VN021	3037	1833	60.356	0.69	0.31	372	174	199	459	0	0	0	0	0	0	0	0	0	0	0	0	0	1833	0
alignment.nex	76_VN022	3037	1832	60.323	0.693	0.307	375	174	196	460	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	0
alignment.nex	78_VN024	3037	1832	60.323	0.691	0.309	373	174	198	460	0	0	0	0	0	0	0	0	0	0	0	0	0	1832	0
alignment.nex	79_VN025	3037	1836	60.454	0.69	0.31	371	173	199	458	0	0	0	0	0	0	0	0	0	0	0	0	0	1836	0
alignment.nex	7CH	3037	1816	59.796	0.685	0.315	377	177	208	459	0	0	0	0	0	0	0	0	0	0	0	0	0	1816	0
alignment.nex	82_VN028	3037	1823	60.026	0.689	0.311	374	178	200	462	0	0	0	0	0	0	0	0	0	0	0	0	0	1823	0
alignment.nex	84_VN113	3037	1834	60.389	0.687	0.313	371	177	199	456	0	0	0	0	0	0	0	0	0	0	0	0	0	1834	0
alignment.nex	86_VN115	3037	1841	60.619	0.669	0.331	372	194	202	428	0	0	0	0	0	0	0	0	0	0	0	0	0	1841	0
alignment.nex	89_VN118	3037	1838	60.52	0.688	0.312	371	176	198	454	0	0	0	0	0	0	0	0	0	0	0	0	0	1838	0
alignment.nex	8CH	3037	1886	62.101	0.679	0.321	356	169	201	425	0	0	0	0	0	0	0	0	0	0	0	0	0	1886	0
