Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Acanthoscurria_geniculata	1484206	683660	46.062	50508	16806	45056	56830	33412	45566	20285	45687	55747	77677	19572	33759	36853	32615	40888	57835	41031	54688	9575	26156	0	0	0	4	0	0	63674	619982
alignment.nex	Alipes	1484206	866713	58.396	37483	12648	34154	44055	26346	34106	16441	38996	43281	61120	15409	28381	26921	25672	31990	41909	31728	38685	7477	20691	0	0	0	0	0	0	210020	656693
alignment.nex	Androctonus_australis	1484206	756558	50.974	41657	14889	39759	51327	31216	39897	18132	49098	52184	72164	17903	35359	31897	29954	35833	49882	37640	44423	9063	25371	0	0	0	0	0	0	173336	583222
alignment.nex	Anoplo	1484206	953586	64.249	31435	9797	31516	38468	22119	29543	12441	34475	42981	49053	13480	27393	21351	20890	25494	38071	26223	32547	5944	17399	0	0	0	0	0	0	140677	812909
alignment.nex	Camponotus_floridanus	1484206	563364	37.957	60294	18386	51468	63069	36304	51640	23232	57195	60743	90993	22387	42050	41583	38468	50884	60877	50338	58377	11275	31279	0	0	0	209	0	0	28287	534868
alignment.nex	Carcinoscorpius_rotundicauda	1484206	832423	56.085	38561	12772	34967	47178	27846	37863	17192	37263	46255	64943	15748	27926	29136	27905	33175	44888	33923	44548	8201	21493	0	0	0	0	0	0	120870	711553
alignment.nex	Centruroides_sculpturatus	1484206	922083	62.126	32877	12007	29966	38468	24347	31345	14203	36626	38951	55684	14156	26745	24667	22366	28659	39144	29503	35543	7059	19807	0	0	0	66	0	0	197241	724776
alignment.nex	Centruroides_vittatus	1484206	1425933	96.074	3977	1095	3189	4332	2094	3554	1242	3524	4748	5266	1537	2552	2510	2378	3338	3596	2977	3726	691	1947	0	0	0	0	0	0	20078	1405855
alignment.nex	Chaerilus	1484206	735938	49.585	44020	15901	41421	52644	31841	41588	19011	47698	51935	74092	18306	34307	32577	31168	37403	51211	39626	48332	9344	25843	0	0	0	0	0	0	166187	569751
alignment.nex	Chelifer_cancroides	1484206	1459959	98.366	1700	405	1230	1586	910	1602	620	1280	1839	2347	579	885	1252	1026	1499	1569	1208	1653	304	753	0	0	0	76	0	0	10559	1449324
alignment.nex	Damon	1484206	1162170	78.302	20612	6491	17922	22559	13667	19133	8483	19189	22555	30936	8041	13752	14293	13337	16587	21704	16575	21549	3917	10734	0	0	0	0	0	0	124652	1037518
alignment.nex	Daphnia_pulex	1484206	530535	35.745	65109	19020	52701	63828	40411	55577	24314	52248	57794	97291	23004	39693	43415	41157	53839	68364	49721	64334	12094	29757	0	0	0	4	0	0	60143	470388
alignment.nex	Drosophila_melanogaster	1484206	620394	41.8	61215	17072	48380	58197	35000	50021	22044	48455	53695	85788	21085	38044	38708	38596	49219	58227	45615	56141	10220	28090	0	0	0	2	0	0	21128	599264
alignment.nex	Eremobates	1484206	1093961	73.707	24989	7911	21730	27285	16501	22598	10209	22941	27340	38132	9760	16363	17740	15853	20501	25986	19764	26372	4946	13324	0	0	0	0	0	0	174853	919108
alignment.nex	Folsomia_candida	1484206	501047	33.759	62720	19281	55863	65510	42249	59417	23644	57481	64954	95779	24108	42374	45481	38700	52226	71472	53172	65300	12233	31195	0	0	0	4	0	0	34052	466991
alignment.nex	Frontinella	1484206	687094	46.294	49642	16567	45197	56231	34230	45252	19873	46889	57115	77737	19961	35556	36086	31385	39548	56630	41139	52513	9408	26153	0	0	0	0	0	0	133631	553463
alignment.nex	Galendromus_occidentalis	1484206	736259	49.606	52592	15185	42897	51400	31463	43651	18650	40609	47379	73891	18505	30381	34117	30987	43985	50960	38571	50556	8895	23273	0	0	0	44	0	0	41981	694234
alignment.nex	Glomeris_pustulata	1484206	1350917	91.02	8938	2660	7710	8795	5648	8327	3223	7469	9547	12361	3429	5434	5807	5235	7583	8496	7102	9471	1670	4384	0	0	0	22	0	0	70101	1280794
alignment.nex	Gluvia_dorsalis	1484206	1442115	97.164	2712	861	2217	2826	1724	2674	1018	2399	3207	3784	1084	1732	1915	1566	2577	2582	2172	2998	525	1518	0	0	0	146	0	0	18474	1423495
alignment.nex	Hyalella_azteca	1484206	505063	34.029	73636	20944	54757	62740	37361	58563	27193	46559	54659	101030	23195	37648	47259	40865	56812	72130	51878	69217	12149	30548	0	0	0	64	0	0	65005	439994
alignment.nex	Ixodes_scapularis	1484206	679953	45.813	60534	17482	44006	53244	33167	50319	21708	34617	45048	85313	18720	27542	39629	33928	50986	55170	39890	58323	10399	24228	0	0	0	5	0	0	127505	552443
alignment.nex	Leiobunum	1484206	551041	37.127	57110	18517	51998	64914	40105	53740	22950	55695	65839	92333	22451	43250	42505	37894	47155	66676	48648	59948	11250	30187	0	0	0	0	0	0	63257	487784
