Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Haloarcula_amylolytica_03402_WP_008311295	217	20	9.217	28	1	6	2	9	17	3	14	1	32	2	3	7	3	9	9	10	30	4	7	0	0	0	0	0	0	20	0
alignment.nex	Halobiforma_lacisalsi_01310_WP_007141795	217	16	7.373	33	0	1	5	9	20	0	6	2	34	3	1	2	5	9	10	17	30	6	8	0	0	0	0	0	0	16	0
alignment.nex	Halobiforma_lacisalsi_03860_WP_007139967	217	18	8.295	26	2	3	7	6	23	0	10	2	33	3	2	3	3	9	15	11	28	4	9	0	0	0	0	0	0	18	0
alignment.nex	Halobiforma_lacisalsi_03905_WP_007140008_Not_ID	217	19	8.756	38	1	1	5	10	21	0	8	1	27	4	1	3	1	9	10	14	32	4	8	0	0	0	0	0	0	19	0
alignment.nex	Halobiforma_nitratireducens_00188_WP_006673389	217	16	7.373	28	2	3	4	9	24	0	4	2	36	4	2	3	2	11	11	16	25	5	10	0	0	0	0	0	0	16	0
alignment.nex	Halobiforma_nitratireducens_01681_WP_006673299	217	16	7.373	23	2	5	2	10	22	1	6	1	38	5	0	2	3	10	13	17	29	5	7	0	0	0	0	0	0	16	0
alignment.nex	Halobiforma_nitratireducens_02930_WP_006672198	217	16	7.373	30	0	1	4	8	17	0	6	2	30	6	2	1	7	10	17	16	30	6	8	0	0	0	0	0	0	16	0
alignment.nex	Halomicrobium_mukohataei_01233_WP_015762059	217	18	8.295	30	1	1	6	9	18	3	13	1	27	4	1	6	5	9	7	7	40	4	7	0	0	0	0	0	0	18	0
alignment.nex	Halopiger_xanaduensis_00469_WP_013878690	217	19	8.756	32	1	4	3	10	21	1	17	2	36	3	2	4	1	10	5	12	21	4	9	0	0	0	0	0	0	19	0
alignment.nex	Halopiger_xanaduensis_SR2_WP_013879956	217	15	6.912	28	0	5	2	9	24	0	8	1	36	6	4	6	3	9	7	16	21	7	10	0	0	0	0	0	0	15	0
alignment.nex	Halorubrum_arcis_01084_WP_007995059	217	18	8.295	37	1	5	4	21	22	0	7	3	25	2	1	6	3	11	6	10	24	2	9	0	0	0	0	0	0	18	0
alignment.nex	Halorubrum_californiensis_02976_WP_008445107_Not_ID	217	18	8.295	34	1	3	3	18	25	0	9	4	31	2	1	9	3	9	6	8	22	2	9	0	0	0	0	0	0	18	0
