Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Andex_insignis	2111	24	1.137	0.603	0.397	601	411	418	657	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
alignment.nex	Canthyporus_hottentotus	2111	22	1.042	0.594	0.406	591	429	419	650	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
alignment.nex	Heterosternusa_pulcher	2111	17	0.805	0.607	0.393	619	406	416	653	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
alignment.nex	Hovahydrus_minutissimus	2111	15	0.711	0.598	0.402	599	426	416	655	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydrocolus_sahlbergi	2111	19	0.9	0.604	0.396	621	416	413	642	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
alignment.nex	Hydroporus_appalachius	2111	31	1.468	0.617	0.383	622	392	403	660	0	1	0	2	0	0	0	0	0	0	0	0	0	31	0
alignment.nex	Hydroporus_axillaris	2111	16	0.758	0.608	0.392	621	410	412	652	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_carri	2111	32	1.516	0.614	0.386	620	400	400	654	0	0	4	1	0	0	0	0	0	0	0	0	0	32	0
alignment.nex	Hydroporus_erythrocephalus	2111	32	1.516	0.607	0.393	623	408	409	637	0	0	2	0	0	0	0	0	0	0	0	0	0	32	0
alignment.nex	Hydroporus_fortis	2111	131	6.206	0.605	0.395	579	388	395	618	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0
alignment.nex	Hydroporus_kraatzii	2111	63	2.984	0.613	0.387	614	390	402	639	1	0	1	1	0	0	0	0	0	0	0	0	0	63	0
alignment.nex	Hydroporus_lapponum	2111	16	0.758	0.612	0.388	633	407	405	649	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_longiusculus	2111	19	0.9	0.614	0.386	624	404	403	660	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0
alignment.nex	Hydroporus_mannerheimi	2111	15	0.711	0.614	0.386	628	401	406	656	1	1	0	3	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydroporus_memnonius	2111	16	0.758	0.602	0.398	614	408	426	647	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_neglectus	2111	127	6.016	0.604	0.396	584	395	390	615	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0
alignment.nex	Hydroporus_nigellus	2111	89	4.216	0.609	0.391	598	399	391	634	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0
alignment.nex	Hydroporus_niger	2111	160	7.579	0.604	0.396	578	384	388	601	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0
alignment.nex	Hydroporus_nigrita	2111	15	0.711	0.599	0.401	610	421	418	645	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydroporus_notabilis	2111	68	3.221	0.605	0.395	605	403	404	629	0	0	2	0	0	0	0	0	0	0	0	0	0	68	0
alignment.nex	Hydroporus_obscurus	2111	16	0.758	0.618	0.382	629	400	400	664	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_pilosus	2111	15	0.711	0.603	0.397	616	418	414	648	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydroporus_puberulus	2111	31	1.468	0.608	0.392	627	412	402	638	0	1	0	0	0	0	0	0	0	0	0	0	0	31	0
alignment.nex	Hydroporus_pubescens	2111	15	0.711	0.607	0.393	617	412	411	656	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydroporus_rufifrons	2111	76	3.6	0.615	0.385	604	394	390	647	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
alignment.nex	Hydroporus_scalesianus	2111	16	0.758	0.611	0.389	632	409	406	648	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_sinuatipes	2111	191	9.048	0.595	0.405	558	386	392	583	1	0	0	0	0	0	0	0	0	0	0	0	0	191	0
alignment.nex	Hydroporus_submuticus	2111	16	0.758	0.617	0.383	635	401	402	657	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
alignment.nex	Hydroporus_tessellatus	2111	18	0.853	0.599	0.401	607	416	419	641	0	1	3	5	1	0	0	0	0	0	0	0	0	18	0
alignment.nex	Hydroporus_tristis	2111	84	3.979	0.599	0.401	585	411	402	629	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
alignment.nex	Hydroporus_vagepictus	2111	15	0.711	0.597	0.403	608	421	423	644	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hyphydrus_ovatus	2111	14	0.663	0.599	0.401	613	420	421	643	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
alignment.nex	Laccornellus_copelatoides	2111	17	0.805	0.582	0.418	597	445	430	622	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
alignment.nex	Neoporus_arizonicus	2111	17	0.805	0.601	0.399	616	419	417	642	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
alignment.nex	Neoporus_undulatus	2111	43	2.037	0.602	0.398	620	413	411	624	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Sanfilippodytes_terminalis	2111	15	0.711	0.6	0.4	613	414	425	644	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Suphrodytes_dorsalis	2111	14	0.663	0.612	0.388	624	410	403	660	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
alignment.nex	Suphrodytes_figuratus	2111	15	0.711	0.611	0.389	621	410	405	660	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
