Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Acropora	384981	181128	47.049	12734	4143	11250	14218	9284	11877	5045	11234	14431	20743	4964	8124	8735	8387	10657	14742	10527	14156	2429	6173	0	0	0	0	0	0	181128	0
alignment.nex	Acyrthosiphon	384981	53792	13.973	17759	6909	18568	21307	14608	16800	7917	22940	25480	33634	8225	17791	13499	12394	14896	23346	17862	21440	3960	11854	0	0	0	0	0	0	53792	0
alignment.nex	Amphimedon	384981	106892	27.766	15837	5323	15229	19024	11240	16206	7046	16788	18806	29129	6170	11047	12469	10798	14452	22484	14818	18445	3284	9494	0	0	0	0	0	0	106892	0
alignment.nex	Anolis	384981	52170	13.551	22733	6821	17257	24105	14121	19337	8483	18121	22751	35503	7988	12363	15467	14543	18307	21836	16339	21974	4083	10679	0	0	0	0	0	0	52170	0
alignment.nex	Apis	384981	48441	12.583	19468	6687	17525	23159	14148	17112	8233	26311	26041	34564	7621	17369	13816	13342	16109	21427	18009	19121	4233	12245	0	0	0	0	0	0	48441	0
alignment.nex	Bombus	384981	51433	13.36	19921	6788	17644	22961	13937	16211	8381	22865	24741	34821	7800	16533	14045	13482	16616	21489	18267	20736	4216	12094	0	0	0	0	0	0	51433	0
alignment.nex	Branchiostoma	384981	49605	12.885	22986	6534	19121	23030	13872	20270	8738	16282	21942	33522	8912	12059	15443	15212	19059	21047	18175	24371	4204	10597	0	0	0	0	0	0	49605	0
alignment.nex	Brugia	384981	159980	41.555	14866	4762	12334	15132	10316	11862	5458	15391	15038	22951	5544	9607	8719	8149	13541	15029	11132	14719	2714	7729	6	0	2	0	0	0	159980	0
alignment.nex	Caenorhabditis	384981	129536	33.647	18019	4532	14480	17998	11626	14497	6206	15905	17955	23882	6747	10905	10293	9625	14153	16712	13394	17491	3071	7954	0	0	0	0	0	0	129536	0
alignment.nex	Capitella	384981	41447	10.766	23476	7076	19734	23219	15065	19224	9420	18824	23338	34700	9117	13442	15136	14537	18486	23954	17169	23095	3988	10534	0	0	0	0	0	0	41447	0
alignment.nex	Ciona	384981	121715	31.616	16335	5476	14655	17053	11604	14611	6751	15804	19008	26214	6824	11933	10924	10401	13211	18852	14061	18041	3206	8302	0	0	0	0	0	0	121715	0
alignment.nex	Danaus	384981	58448	15.182	22533	6529	17994	21747	12965	17938	8263	19550	22746	33634	7416	14260	14552	12344	17850	21609	17078	22136	4130	11259	0	0	0	0	0	0	58448	0
alignment.nex	Daphnia	384981	45105	11.716	22204	6646	18232	22858	14940	18960	8554	19796	22590	35869	7891	14291	14951	14373	17992	24280	17511	22983	4327	10628	0	0	0	0	0	0	45105	0
