Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Abia_lonicerae_EX455	183747	86470	47.059	0.554	0.446	26579	22110	21276	27312	0	0	0	0	0	0	0	0	0	0	0	0	0	14934	71536
alignment.nex	Acordulecera_pellucida_HPG3	183747	106215	57.805	0.546	0.454	21030	17830	17331	21341	0	0	0	0	0	0	0	0	0	0	0	0	0	14786	91429
alignment.nex	Acromyrmex_echinatior_Genome	183747	22650	12.327	0.541	0.459	42901	37276	36606	44314	0	0	0	0	0	0	0	0	0	0	0	0	0	7081	15569
alignment.nex	Agapostemon_tyleri_BND222	183747	39802	21.661	0.529	0.471	37409	34186	33582	38768	0	0	0	0	0	0	0	0	0	0	0	0	0	20649	19153
alignment.nex	Ammophila_cybele_EX406	183747	55764	30.348	0.51	0.49	32091	31785	30904	33203	0	0	0	0	0	0	0	0	0	0	0	0	0	26803	28961
alignment.nex	Ampulex_compressa_BND1382	183747	17688	9.626	0.519	0.481	42231	40416	39436	43976	0	0	0	0	0	0	0	0	0	0	0	0	0	10354	7334
alignment.nex	Andrena_asteris_HPG17	183747	55035	29.952	0.519	0.481	32775	31431	30512	33994	0	0	0	0	0	0	0	0	0	0	0	0	0	36233	18802
alignment.nex	Andrena_nigroaenea_BND531	183747	20693	11.262	0.527	0.473	42187	38940	38243	43684	0	0	0	0	0	0	0	0	0	0	0	0	0	9205	11488
alignment.nex	Andrena_sp_HPG18	183747	25682	13.977	0.525	0.475	40935	37848	37244	42038	0	0	0	0	0	0	0	0	0	0	0	0	0	13828	11854
alignment.nex	Apis_mellifera_Genome	183747	18070	9.834	0.539	0.461	43794	38553	37830	45500	0	0	0	0	0	0	0	0	0	0	0	0	0	6106	11964
alignment.nex	Aporus_niger_HPG6	183747	45651	24.844	0.519	0.481	35179	33749	32613	36555	0	0	0	0	0	0	0	0	0	0	0	0	0	32869	12782
alignment.nex	Apterogyna_sp_EX572	183747	133765	72.798	0.542	0.458	13281	11875	11005	13821	0	0	0	0	0	0	0	0	0	0	0	0	0	37316	96449
alignment.nex	Apterogyna_za01_Genome	183747	59116	32.172	0.528	0.472	32526	29561	29310	33234	0	0	0	0	0	0	0	0	0	0	0	0	0	36251	22865
alignment.nex	Arge_humeralis_EX469	183747	89693	48.813	0.527	0.473	24496	22660	21806	25092	0	0	0	0	0	0	0	0	0	0	0	0	0	15110	74583
alignment.nex	Argochrysis_armilla_EX434	183747	39779	21.649	0.534	0.466	37652	34252	32786	39278	0	0	0	0	0	0	0	0	0	0	0	0	0	8416	31363
alignment.nex	Athalia_rosae_Genome	183747	59619	32.446	0.55	0.45	33623	28447	27468	34590	0	0	0	0	0	0	0	0	0	0	0	0	0	15184	44435
alignment.nex	Atomacera_decepta_EX467	183747	78583	42.767	0.53	0.47	27627	25204	24227	28106	0	0	0	0	0	0	0	0	0	0	0	0	0	12451	66132
alignment.nex	Atta_cephalotes_Genome	183747	31764	17.287	0.544	0.456	40627	34928	34357	42071	0	0	0	0	0	0	0	0	0	0	0	0	0	9073	22691
alignment.nex	Augochlorella_aurata_EX396	183747	27079	14.737	0.529	0.471	40737	37467	36395	42069	0	0	0	0	0	0	0	0	0	0	0	0	0	18010	9069
alignment.nex	Augochloropsis_metallica_EX397	183747	25082	13.65	0.529	0.471	41360	37672	36981	42652	0	0	0	0	0	0	0	0	0	0	0	0	0	12760	12322
alignment.nex	Auplopus_sp_EX549	183747	119668	65.127	0.535	0.465	16619	15530	14265	17665	0	0	0	0	0	0	0	0	0	0	0	0	0	43326	76342
alignment.nex	Bembix_americana_EX446	183747	95439	51.94	0.541	0.459	23461	20459	20116	24272	0	0	0	0	0	0	0	0	0	0	0	0	0	17415	78024
alignment.nex	Bombus_impatiens_Genome	183747	20200	10.993	0.545	0.455	43800	37653	36813	45281	0	0	0	0	0	0	0	0	0	0	0	0	0	6772	13428
alignment.nex	Bombus_pensylvanicus_HPG16	183747	21218	11.547	0.543	0.457	43336	37594	36698	44901	0	0	0	0	0	0	0	0	0	0	0	0	0	13757	7461
alignment.nex	Bombus_terrestris_Genome	183747	13682	7.446	0.542	0.458	45296	39399	38517	46853	0	0	0	0	0	0	0	0	0	0	0	0	0	3922	9760
alignment.nex	Brachycistis_timberlakei_EX440	183747	20795	11.317	0.531	0.469	42613	38484	37966	43889	0	0	0	0	0	0	0	0	0	0	0	0	0	11399	9396
alignment.nex	Brachymeria_tegularis_EX477	183747	40562	22.075	0.554	0.446	38847	32112	31722	40504	0	0	0	0	0	0	0	0	0	0	0	0	0	22342	18220
alignment.nex	Callomelitta_antipodes_BND687	183747	18131	9.867	0.532	0.468	43268	39152	38366	44830	0	0	0	0	0	0	0	0	0	0	0	0	0	5412	12719
alignment.nex	Camponotus_floridanus_Genome	183747	23616	12.852	0.536	0.464	42059	37576	36670	43826	0	0	0	0	0	0	0	0	0	0	0	0	0	7540	16076
alignment.nex	Campopleginae_sp_EX482	183747	55677	30.301	0.568	0.432	35846	27835	27511	36878	0	0	0	0	0	0	0	0	0	0	0	0	0	18404	37273
alignment.nex	Capicola_richtersveldensis_BND941	183747	14982	8.154	0.537	0.463	44408	39488	38700	46169	0	0	0	0	0	0	0	0	0	0	0	0	0	7179	7803
alignment.nex	Cardiocondyla_obscurior_Genome	183747	18415	10.022	0.535	0.465	43501	38840	38071	44920	0	0	0	0	0	0	0	0	0	0	0	0	0	6486	11929
alignment.nex	Caupolicana_yarrowi_BND654	183747	15754	8.574	0.534	0.466	44001	39543	38786	45663	0	0	0	0	0	0	0	0	0	0	0	0	0	7220	8534
alignment.nex	Centris_rhodopus_BND615	183747	23217	12.635	0.538	0.462	42298	37521	36709	44002	0	0	0	0	0	0	0	0	0	0	0	0	0	12903	10314
alignment.nex	Cephus_cinctus_Genome	183747	25147	13.686	0.544	0.456	42462	36702	35575	43861	0	0	0	0	0	0	0	0	0	0	0	0	0	13352	11795
alignment.nex	Cerapachys_biroi_Genome	183747	20020	10.895	0.524	0.476	42100	39508	38395	43724	0	0	0	0	0	0	0	0	0	0	0	0	0	6492	13528
alignment.nex	Ceratina_duplex_calcarta_BND657	183747	24415	13.287	0.535	0.465	41968	37410	36638	43316	0	0	0	0	0	0	0	0	0	0	0	0	0	14555	9860
alignment.nex	Ceratosolen_solmsi_Genome	183747	38227	20.804	0.559	0.441	40048	32429	31708	41335	0	0	0	0	0	0	0	0	0	0	0	0	0	16567	21660
alignment.nex	Cerceris_hatuey_EX444	183747	64496	35.1	0.543	0.457	31743	27657	26874	32977	0	0	0	0	0	0	0	0	0	0	0	0	0	6599	57897
alignment.nex	Chalybion_californicus_HPG12	183747	32522	17.699	0.512	0.488	38057	37343	36456	39369	0	0	0	0	0	0	0	0	0	0	0	0	0	21960	10562
alignment.nex	Chlorion_aerarium_BND837	183747	26987	14.687	0.526	0.474	40529	37448	36822	41961	0	0	0	0	0	0	0	0	0	0	0	0	0	12564	14423
alignment.nex	Chrysis_sp_EX561	183747	28655	15.595	0.523	0.477	39740	37400	36519	41433	0	0	0	0	0	0	0	0	0	0	0	0	0	10026	18629
alignment.nex	Chyphotes_mellipes_HPG7	183747	20328	11.063	0.524	0.476	42111	39338	38499	43471	0	0	0	0	0	0	0	0	0	0	0	0	0	7874	12454
alignment.nex	Chyphotes_sp_EX553	183747	15131	8.235	0.524	0.476	43442	40528	39662	44984	0	0	0	0	0	0	0	0	0	0	0	0	0	6092	9039
alignment.nex	Clypeadon_haigi_BND819	183747	19021	10.352	0.541	0.459	43772	38284	37294	45376	0	0	0	0	0	0	0	0	0	0	0	0	0	6582	12439
