Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Acipenser_fulvescens	19997	11670	58.359	0.491	0.509	2189	2170	2072	1896	0	0	0	0	0	0	0	0	0	0	0	2	0	11668	0
alignment.nex	Albula_vulpes	19997	8819	44.102	0.454	0.546	2717	3077	3021	2363	0	0	0	0	0	0	0	0	0	0	0	5	0	8814	0
alignment.nex	Amia_calva	19997	5273	26.369	0.488	0.512	3913	3892	3647	3271	0	0	1	0	0	0	0	0	0	0	0	0	0	5273	0
alignment.nex	Anguilla_rostrata	19997	7449	37.251	0.441	0.559	3196	3668	3348	2336	0	0	0	0	0	0	0	0	0	0	0	0	0	7449	0
alignment.nex	Apteronotus_albifrons	19997	13124	65.63	0.447	0.553	1553	2010	1789	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	13124	0
alignment.nex	Arapaima_gigas	19997	8071	40.361	0.454	0.546	2917	3357	3153	2499	0	0	0	0	0	0	0	0	0	0	0	1	0	8070	0
alignment.nex	Argentina_sialis	19997	9355	46.782	0.432	0.568	2463	3079	2964	2136	0	0	0	0	0	0	0	0	0	0	0	1	0	9354	0
alignment.nex	Callorhinchus_milii	19997	7312	36.565	0.539	0.461	3651	2897	2957	3180	0	0	0	0	0	0	0	0	0	0	0	6	0	7306	0
alignment.nex	Chanos_chanos	19997	5144	25.724	0.484	0.516	3767	3976	3691	3419	0	0	0	0	0	0	0	0	0	0	0	1	0	5143	0
alignment.nex	Chriocentrus_dorab	19997	11594	57.979	0.421	0.579	1869	2486	2382	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	11594	0
alignment.nex	Danio_rerio	19997	719	3.596	0.5	0.5	5218	4965	4665	4430	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0
alignment.nex	Dorosoma_cepedianum	19997	8153	40.771	0.45	0.55	2884	3363	3157	2440	0	0	0	0	0	0	0	0	0	0	0	2	0	8151	0
alignment.nex	Echidna_nebulosa	19997	12908	64.55	0.446	0.554	1741	1996	1933	1419	0	0	0	0	0	0	0	0	0	0	0	1	0	12907	0
alignment.nex	Elops_saurus	19997	7026	35.135	0.435	0.565	3115	3800	3525	2531	0	0	0	0	0	0	0	0	0	0	0	4	0	7022	0
alignment.nex	Engraulis_eurystole	19997	10533	52.673	0.424	0.576	2228	2859	2592	1784	0	1	0	0	0	0	0	0	0	0	0	0	0	10533	0
alignment.nex	Erpetoichthys_calabaricus	19997	11900	59.509	0.542	0.458	2427	1903	1803	1950	1	4	1	4	1	3	0	0	0	0	0	1	0	11899	0
alignment.nex	Esox_lucius	19997	8248	41.246	0.461	0.539	2966	3251	3073	2453	0	1	2	3	0	0	0	0	0	0	0	0	0	8248	0
alignment.nex	Gadus_morhua	19997	4085	20.428	0.422	0.578	3743	4795	4396	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	4085	0
alignment.nex	Galeichthys_peruvianus	19997	16913	84.578	0.527	0.473	878	694	764	748	0	0	0	0	0	0	0	0	0	0	0	0	0	16913	0
alignment.nex	Gasterosteus_aculeatus	19997	708	3.541	0.445	0.555	4676	5496	5219	3898	0	0	0	0	0	0	0	0	0	0	0	0	0	708	0
alignment.nex	Gnathonemus_petersii	19997	10183	50.923	0.452	0.548	2421	2713	2666	2012	0	0	1	1	0	0	0	0	0	0	0	2	0	10181	0
alignment.nex	Gogo_arcuatus	19997	17006	85.043	0.529	0.471	846	680	728	736	0	0	1	0	0	0	0	0	0	0	0	0	0	17006	0
alignment.nex	Gonorynchus_forsteri	19997	17699	88.508	0.485	0.515	616	570	609	493	1	0	2	7	0	0	0	0	0	0	0	0	0	17699	0
alignment.nex	Gymnarchus_niloticus	19997	8557	42.791	0.473	0.527	2922	3065	2967	2486	0	0	0	0	0	0	0	0	0	0	0	1	0	8556	0
alignment.nex	Halosauropsis_macrochir	19997	8843	44.222	0.429	0.571	2687	3307	3060	2100	0	0	0	0	0	0	0	0	0	0	0	4	0	8839	0
alignment.nex	Hemiodus_immaculatus_gracilis	19997	16830	84.163	0.498	0.502	824	752	833	750	2	1	2	2	0	1	0	0	0	0	0	1	0	16829	0
alignment.nex	Heterotis_niloticus	19997	10093	50.473	0.463	0.537	2448	2712	2609	2135	0	0	0	0	0	0	0	0	0	0	0	3	0	10090	0
alignment.nex	Hiodon_alosoides	19997	3682	18.413	0.447	0.553	4009	4664	4352	3290	0	0	0	0	0	0	0	0	0	0	0	2	0	3680	0
alignment.nex	Homo_sapiens	19997	817	4.086	0.476	0.524	4898	5155	4901	4226	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0
alignment.nex	Ictalurus_punctatus	19997	4575	22.878	0.488	0.512	4027	4068	3833	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	4575	0
alignment.nex	Latimeria_chalumnae	19997	7907	39.541	0.569	0.431	3735	2596	2619	3140	0	0	0	0	0	0	0	0	0	0	0	0	0	7907	0
alignment.nex	Lepidosiren_paradoxa	19997	14748	73.751	0.592	0.408	1623	996	1144	1486	0	0	0	0	0	0	0	0	0	0	0	0	0	14748	0
alignment.nex	Lepisosteus_osseus	19997	6123	30.62	0.49	0.51	3733	3605	3469	3067	0	0	0	0	0	0	0	0	0	0	0	2	0	6121	0
alignment.nex	Lepisosteus_platostomus	19997	9109	45.552	0.484	0.516	2845	2900	2720	2423	0	0	0	0	0	0	0	0	0	0	0	2	0	9107	0
alignment.nex	Leucoraja_erinacea	19997	3985	19.928	0.526	0.474	4527	3802	3782	3901	0	0	0	0	0	0	0	0	0	0	0	1	0	3984	0
