Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Cyrtodactylus_annulatus_KU314944	1665	660	39.64	0.552	0.448	357	339	111	198	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0
alignment.nex	Cyrtodactylus_philippinicus_KU304784	1665	663	39.82	0.557	0.443	351	331	113	207	0	0	0	0	0	0	0	0	0	0	0	0	0	663	0
alignment.nex	Gehyra_australis_AMS139934	1665	42	2.523	0.543	0.457	532	500	240	348	0	1	2	0	0	0	0	0	0	0	0	0	0	42	0
alignment.nex	Gehyra_mutilata_AMB7515	1665	37	2.222	0.534	0.466	497	513	246	372	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
alignment.nex	Gekko_athymus_RMB3118	1665	64	3.844	0.593	0.407	521	409	243	427	0	0	0	1	0	0	0	0	0	0	0	0	0	59	5
alignment.nex	Gekko_auriverrucosus_ZK3	1665	180	10.811	0.587	0.413	500	408	205	372	0	0	0	0	0	0	0	0	0	0	0	0	0	42	138
alignment.nex	Gekko_badenii_JB13	1665	45	2.703	0.585	0.415	550	431	240	396	0	2	0	0	0	1	0	0	0	0	0	0	0	44	1
alignment.nex	Gekko_chinensis_China_LG4210	1665	43	2.583	0.605	0.395	557	408	232	425	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Gekko_crombota_BabuynCl_RMB5946	1665	33	1.982	0.555	0.445	532	460	266	374	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
alignment.nex	Gekko_gecko_CAS204952	1665	31	1.862	0.572	0.428	520	439	260	415	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
alignment.nex	Gekko_grossmani_JFBM9	1665	41	2.462	0.594	0.406	576	408	251	388	0	0	0	0	0	1	0	0	0	0	0	0	0	40	1
alignment.nex	Gekko_hokouensis_HOFH89053103	1665	69	4.144	0.558	0.442	500	450	255	390	0	0	0	1	0	0	0	0	0	0	0	0	0	69	0
alignment.nex	Gekko_japonicus_HOFH10061402	1665	34	2.042	0.562	0.438	535	460	255	381	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
alignment.nex	Gekko_mindorensis_CDS1229	1665	37	2.222	0.594	0.406	542	417	244	425	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
alignment.nex	Gekko_monarchus_Palawan_ACD1278	1665	36	2.162	0.598	0.402	560	423	231	414	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0
alignment.nex	Gekko_petricolis_JB70	1665	43	2.583	0.588	0.412	532	426	242	422	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Gekko_romblon_Tablas_RMB8789	1665	32	1.922	0.585	0.415	552	432	245	404	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0
alignment.nex	Gekko_smithii_Wmalaysia_LG6095	1665	24	1.441	0.584	0.416	546	445	237	413	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
alignment.nex	Gekko_subpalmatus_AMB5567	1665	49	2.943	0.593	0.407	539	418	239	419	0	0	1	0	0	0	0	0	0	0	0	0	0	49	0
alignment.nex	Gekko_swinhonis_ZK5	1665	55	3.303	0.58	0.42	532	430	247	401	0	0	0	0	0	0	0	0	0	0	0	0	0	49	6
alignment.nex	Gekko_vittatus_JAM2171	1665	43	2.583	0.617	0.383	558	382	239	443	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Gekko_vittatus_USNM533255	1665	41	2.462	0.619	0.381	557	384	234	449	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
alignment.nex	Hemidactylus_bowringii_EU268373	1665	482	28.949	0.57	0.43	404	375	133	270	0	0	0	1	0	0	0	0	0	0	0	0	0	482	0
alignment.nex	Lepidodactylus_herrei_RMB4330	1665	451	27.087	0.56	0.44	389	380	154	291	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0
alignment.nex	Lepidodactylus_moestus_USNM521730	1665	43	2.583	0.546	0.454	509	482	255	376	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Luperosaurus_Palawan_ELR1579	1665	1247	74.895	0.536	0.464	112	80	114	112	0	0	0	0	0	0	0	0	0	0	0	0	0	1247	0
alignment.nex	Luperosaurus_angliit_ASCOT_ACD3678	1665	28	1.682	0.561	0.439	527	459	258	388	0	0	1	3	0	1	0	0	0	0	0	0	0	28	0
alignment.nex	Luperosaurus_cumingii_Bicol_RMB3546	1665	456	27.387	0.596	0.404	430	356	133	290	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
alignment.nex	Luperosaurus_iskandari_RMB1653	1665	410	24.625	0.599	0.401	416	296	207	335	0	0	0	1	0	0	0	0	0	0	0	0	0	410	0
alignment.nex	Luperosaurus_joloensis_Mindanao_RMB9416	1665	291	17.477	0.558	0.442	461	426	181	306	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0
alignment.nex	Luperosaurus_macgregori_BabynClro_RMB5918	1665	27	1.622	0.567	0.433	530	449	261	398	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
alignment.nex	Luperosaurus_macgregori_Batanes_RMB9042	1665	26	1.562	0.564	0.436	534	456	258	391	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
alignment.nex	Luperosaurus_sp_ACD6021	1665	26	1.562	0.564	0.436	529	456	259	395	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
alignment.nex	Lygodactylus_bradfieldi_EU423279	1665	450	27.027	0.54	0.46	395	414	145	261	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
alignment.nex	Phelsuma_serraticauda_EU423296	1665	447	26.847	0.617	0.383	422	342	125	328	0	0	0	0	0	1	0	0	0	0	0	0	0	447	0
alignment.nex	Pseudogekko_compressicorpus_CDS5000	1665	29	1.742	0.559	0.441	501	458	263	413	0	0	0	0	0	1	0	0	0	0	0	0	0	29	0
alignment.nex	Pseudogekko_smaragdinus_CDS1050	1665	27	1.622	0.548	0.452	505	471	269	393	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
alignment.nex	Ptychozoon_khuli_Tioman_4679	1665	43	2.583	0.547	0.453	488	449	285	400	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
alignment.nex	Ptychozoon_lionotum_Thailand_DSM798M	1665	42	2.523	0.547	0.453	503	466	270	384	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
alignment.nex	Ptychozoon_racophorus_P0500	1665	33	1.982	0.539	0.461	505	473	280	374	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
alignment.nex	Tarentola_mauritanica_EU443255	1665	659	39.58	0.55	0.45	339	343	110	214	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0
