Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	AAGA	89792	68140	75.886	0.576	0.424	6519	2824	5053	4388	0	615	0	1087	583	583	0	0	0	0	0	0	0	68140	0
alignment.nex	ADIG	89792	47144	52.504	0.575	0.425	11975	5478	9869	9258	0	1116	0	2302	1325	1325	0	0	0	0	0	0	0	47144	0
alignment.nex	AELE	89792	20128	22.416	0.589	0.411	20507	8674	15691	15330	0	1670	0	3552	2120	2120	0	0	0	0	0	0	0	20128	0
alignment.nex	AQUE	89792	16534	18.414	0.575	0.425	20487	9388	16749	15799	0	1966	0	3899	2485	2485	0	0	0	0	0	0	0	16534	0
alignment.nex	ARIC	89792	34536	38.462	0.583	0.417	15982	7158	12336	11960	0	1582	0	2994	1622	1622	0	0	0	0	0	0	0	34536	0
alignment.nex	ASCO	89792	47972	53.426	0.568	0.432	11676	5452	9891	8897	0	1202	0	2124	1289	1289	0	0	0	0	0	0	0	47972	0
alignment.nex	AVAG	89792	11684	13.012	0.59	0.41	22764	10111	17009	17200	0	2152	0	4222	2325	2325	0	0	0	0	0	0	0	11684	0
alignment.nex	AVAS	89792	15606	17.38	0.578	0.422	20516	9439	16768	16351	0	1996	0	4166	2475	2475	0	0	0	0	0	0	0	15606	0
alignment.nex	BCAL	89792	14146	15.754	0.606	0.394	23315	9010	16172	16715	0	1748	0	3988	2349	2349	0	0	0	0	0	0	0	14146	0
alignment.nex	BFLO	89792	12474	13.892	0.568	0.432	21589	10364	18263	16691	0	2138	0	4075	2099	2099	0	0	0	0	0	0	0	12474	0
alignment.nex	BGRA	89792	60630	67.523	0.563	0.437	8233	3832	7063	6066	0	819	0	1513	818	818	0	0	0	0	0	0	0	60630	0
alignment.nex	BSCH	89792	31432	35.005	0.583	0.417	17079	7458	13145	12504	0	1551	0	2945	1839	1839	0	0	0	0	0	0	0	31432	0
alignment.nex	CGIG	89792	22134	24.65	0.579	0.421	19452	8791	15507	14703	0	1745	0	3526	1967	1967	0	0	0	0	0	0	0	22134	0
alignment.nex	CGRA	89792	67462	75.131	0.578	0.422	6507	2825	5207	4734	0	589	0	1104	682	682	0	0	0	0	0	0	0	67462	0
alignment.nex	CHON	89792	53592	59.685	0.585	0.415	10688	4554	8299	7836	0	881	0	1812	1065	1065	0	0	0	0	0	0	0	53592	0
alignment.nex	CINT	89792	12222	13.611	0.581	0.419	22245	9888	17604	16901	0	2007	0	4051	2437	2437	0	0	0	0	0	0	0	12222	0
alignment.nex	CMAC	89792	11396	12.692	0.582	0.418	22251	9967	17665	17243	0	1955	0	4169	2573	2573	0	0	0	0	0	0	0	11396	0
alignment.nex	CSOW	89792	14086	15.687	0.572	0.428	20882	9631	17797	16571	0	2087	0	4024	2357	2357	0	0	0	0	0	0	0	14086	0
alignment.nex	CSUB	89792	17522	19.514	0.585	0.415	20503	9291	15970	16029	0	1823	0	3920	2367	2367	0	0	0	0	0	0	0	17522	0
alignment.nex	CTEL	89792	13054	14.538	0.572	0.428	21456	10099	17851	16672	0	2069	0	4063	2264	2264	0	0	0	0	0	0	0	13054	0
alignment.nex	CVAR	89792	26394	29.395	0.569	0.431	17625	8417	14757	13604	0	1695	0	3426	1937	1937	0	0	0	0	0	0	0	26394	0
alignment.nex	DGYM	89792	48646	54.176	0.565	0.435	11285	5526	9541	8698	0	1188	0	2258	1325	1325	0	0	0	0	0	0	0	48646	0
alignment.nex	DLON	89792	21184	23.592	0.572	0.428	18650	8940	15632	14925	0	1976	0	3845	2320	2320	0	0	0	0	0	0	0	21184	0
alignment.nex	DMEL	89792	10166	11.322	0.571	0.429	22248	10542	18555	17189	0	2286	0	4266	2270	2270	0	0	0	0	0	0	0	10166	0
alignment.nex	DPUL	89792	15476	17.235	0.574	0.426	20716	9728	17093	16148	0	2035	0	4016	2290	2290	0	0	0	0	0	0	0	15476	0
alignment.nex	DUME	89792	29776	33.161	0.583	0.417	17542	7780	13509	12967	0	1565	0	3095	1779	1779	0	0	0	0	0	0	0	29776	0
alignment.nex	ECAV	89792	43830	48.813	0.576	0.424	13336	5973	10701	9782	0	1114	0	2356	1350	1350	0	0	0	0	0	0	0	43830	0
alignment.nex	EDUN	89792	44308	49.345	0.579	0.421	13417	5841	10554	9606	0	1133	0	2231	1351	1351	0	0	0	0	0	0	0	44308	0
alignment.nex	EMAC	89792	56780	63.235	0.583	0.417	9794	4195	7438	6910	0	881	0	1688	1053	1053	0	0	0	0	0	0	0	56780	0
