Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	AAGA	44896	34070	75.886	747	205	627	764	471	640	284	667	886	1087	273	404	434	397	615	583	528	715	100	399	0	0	0	0	0	0	34070	0
alignment.nex	ADIG	44896	23572	52.504	1396	478	1109	1365	1030	1265	571	1313	1477	2302	517	830	869	759	1116	1325	1014	1579	296	713	0	0	0	0	0	0	23572	0
alignment.nex	AELE	44896	10064	22.416	2149	780	1940	2140	1719	2072	872	2443	2498	3552	903	1485	1378	1247	1670	2120	1650	2427	441	1346	0	0	0	0	0	0	10064	0
alignment.nex	AQUE	44896	8267	18.414	2206	772	1997	2303	1688	2225	984	2423	2393	3899	888	1302	1541	1325	1966	2485	1791	2561	494	1386	0	0	0	0	0	0	8267	0
alignment.nex	ARIC	44896	17268	38.462	1743	569	1595	1662	1302	1532	725	1970	1750	2994	654	1133	1064	1122	1582	1622	1440	1769	352	1048	0	0	0	0	0	0	17268	0
alignment.nex	ASCO	44896	23986	53.426	1407	417	1203	1337	988	1269	531	1369	1343	2124	518	778	872	758	1202	1289	1012	1526	261	706	0	0	0	0	0	0	23986	0
alignment.nex	AVAG	44896	5842	13.012	2345	795	2205	2268	1918	2148	1055	2930	2492	4222	900	1628	1557	1534	2152	2325	2063	2433	515	1569	0	0	0	0	0	0	5842	0
alignment.nex	AVAS	44896	7803	17.38	2279	806	1896	2271	1814	2208	996	2406	2372	4166	857	1440	1541	1320	1996	2475	1762	2615	489	1384	0	0	0	0	0	0	7803	0
alignment.nex	BCAL	44896	7073	15.754	2119	813	2119	2389	1956	2061	885	2829	2937	3988	851	1915	1464	1308	1748	2349	1770	2382	480	1460	0	0	0	0	0	0	7073	0
alignment.nex	BFLO	44896	6237	13.892	2628	833	2153	2360	1826	2355	1046	2208	2492	4075	1054	1443	1610	1505	2138	2099	1965	2905	536	1428	0	0	0	0	0	0	6237	0
alignment.nex	BGRA	44896	30315	67.523	975	278	872	932	643	929	388	777	995	1513	389	521	560	559	819	818	790	1170	159	494	0	0	0	0	0	0	30315	0
alignment.nex	BSCH	44896	15716	35.005	1798	592	1621	1833	1369	1638	800	1895	2051	2945	766	1227	1173	1037	1551	1839	1477	2101	373	1094	0	0	0	0	0	0	15716	0
