Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Acipenser	1806035	357049	19.77	94540	29752	77657	107771	56946	82644	37834	72147	96082	147639	36080	56484	68171	69352	79188	104149	74694	95428	17631	44797	0	0	0	0	0	0	3364	353685
alignment.nex	Alligator	1806035	284213	15.737	99200	31364	80210	114583	59863	83804	39720	79581	103654	156560	36622	60925	72423	73372	81096	107389	77685	97397	18598	47776	0	0	0	0	0	0	1065	283148
alignment.nex	Ambys	1806035	424782	23.52	88990	27889	75874	102398	55098	76631	36399	72297	94061	140652	34905	55440	64506	64413	73440	97940	71367	89385	16558	43010	0	0	0	0	0	0	2303	422479
alignment.nex	Anas	1806035	419953	23.253	92050	28047	73156	105538	54517	76716	35789	71261	95837	141167	33347	55073	66165	65779	75135	97030	70078	89149	16763	43485	0	0	0	0	0	0	937	419016
alignment.nex	Anguilla	1806035	413723	22.908	97396	28939	75154	102156	54246	82433	36598	63615	85014	145538	34270	49837	67583	66016	81630	99005	69860	94263	16993	41766	0	0	0	0	0	0	3818	409905
alignment.nex	Anolis	1806035	202221	11.197	103663	33638	84289	119444	64461	88108	42229	85077	109011	165584	38293	64939	76368	75934	84746	114949	81333	101549	19588	50611	0	0	0	0	0	0	1900	200321
alignment.nex	Astyanax	1806035	360130	19.94	96039	30913	76589	105170	56546	81777	38346	68819	90878	151472	35628	54114	68793	69670	81796	106943	74548	96457	17540	43867	0	0	0	0	0	0	5174	354956
alignment.nex	Canis	1806035	71305	3.948	114086	35902	90948	128408	69309	97405	46179	88051	113124	182334	39991	66695	84599	83488	95091	124397	88014	111888	21470	53351	0	0	0	0	0	0	1693	69612
alignment.nex	Choloepus	1806035	690478	38.232	70648	23096	58344	83110	44910	60463	29854	59208	75614	116397	26169	44878	53473	53785	58418	81495	57032	70634	13353	34676	0	0	0	0	0	0	4456	686022
alignment.nex	Cmi	1806035	540984	29.954	81374	25924	68136	92790	49786	70926	33321	67033	84271	129385	31300	51280	58599	60514	68788	88270	66008	82216	15416	39714	0	0	0	0	0	0	2788	538196
