Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Ac1	1897	106	5.588	0.66	0.34	569	327	282	613	0	0	0	0	0	0	0	0	0	0	0	0	0	104	2
alignment.nex	Am1	1897	390	20.559	0.668	0.332	486	279	221	521	0	0	0	0	0	0	0	0	0	0	0	0	0	100	290
alignment.nex	Av5	1897	88	4.639	0.663	0.337	579	326	283	621	0	0	0	0	0	0	0	0	0	0	0	0	0	82	6
alignment.nex	Bon2	1897	118	6.22	0.652	0.348	551	327	292	609	0	0	0	0	0	0	0	0	0	0	0	0	0	100	18
alignment.nex	Bor2	1897	100	5.271	0.663	0.337	568	323	283	623	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2
alignment.nex	Cala2	1897	100	5.271	0.663	0.337	570	320	286	621	0	0	0	0	0	0	0	0	0	0	0	0	0	97	3
alignment.nex	Cali1	1897	101	5.324	0.661	0.339	570	322	287	617	0	0	0	0	0	0	0	0	0	0	0	0	0	98	3
alignment.nex	Ce3	1897	102	5.377	0.657	0.343	568	332	284	611	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2
alignment.nex	Co4	1897	98	5.166	0.669	0.331	581	318	277	623	0	0	0	0	0	0	0	0	0	0	0	0	0	95	3
alignment.nex	Con3	1897	361	19.03	0.643	0.357	484	304	245	503	0	0	0	0	0	0	0	0	0	0	0	0	0	110	251
alignment.nex	Cr2	1897	108	5.693	0.661	0.339	567	322	285	615	0	0	0	0	0	0	0	0	0	0	0	0	0	93	15
alignment.nex	Du3	1897	102	5.377	0.656	0.344	568	334	284	609	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2
alignment.nex	Em1	1897	97	5.113	0.653	0.347	562	331	293	614	0	0	0	0	0	0	0	0	0	0	0	0	0	95	2
alignment.nex	Gr2	1897	118	6.22	0.662	0.338	567	321	280	611	0	0	0	0	0	0	0	0	0	0	0	0	0	101	17
alignment.nex	Ho5	1897	98	5.166	0.668	0.332	575	312	285	627	0	0	0	0	0	0	0	0	0	0	0	0	0	96	2
alignment.nex	Hu2	1897	103	5.43	0.656	0.344	559	334	283	618	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5
alignment.nex	Int7	1897	47	2.478	0.67	0.33	589	330	280	651	0	0	0	0	0	0	0	0	0	0	0	0	0	45	2
alignment.nex	Knu1	1897	99	5.219	0.655	0.345	558	327	293	620	0	0	0	0	0	0	0	0	0	0	0	0	0	97	2
alignment.nex	Lat3	1897	94	4.955	0.633	0.367	548	364	297	594	0	0	0	0	0	0	0	0	0	0	0	0	0	92	2
alignment.nex	Le3	1897	100	5.271	0.652	0.348	561	337	288	611	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2
alignment.nex	Lo3	1897	746	39.325	0.683	0.317	357	213	152	429	0	0	0	0	0	0	0	0	0	0	0	0	0	97	649
alignment.nex	Ma1	1897	743	39.167	0.69	0.31	365	212	146	431	0	0	0	0	0	0	0	0	0	0	0	0	0	96	647
alignment.nex	Mo1	1897	98	5.166	0.656	0.344	568	330	289	612	0	0	0	0	0	0	0	0	0	0	0	0	0	96	2
alignment.nex	Mx1	1897	359	18.925	0.627	0.373	484	327	247	480	0	0	0	0	0	0	0	0	0	0	0	0	0	108	251
alignment.nex	Nob1	1897	745	39.273	0.688	0.312	372	216	144	420	0	0	0	0	0	0	0	0	0	0	0	0	0	98	647
alignment.nex	Oer1	1897	102	5.377	0.647	0.353	552	350	284	609	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2
alignment.nex	Ort1	1897	105	5.535	0.662	0.338	559	317	289	627	0	0	0	0	0	0	0	0	0	0	0	0	0	95	10
alignment.nex	Pa2	1897	97	5.113	0.661	0.339	572	325	285	618	0	0	0	0	0	0	0	0	0	0	0	0	0	95	2
alignment.nex	Pet1	1897	99	5.219	0.657	0.343	563	334	283	618	0	0	0	0	0	0	0	0	0	0	0	0	0	97	2
alignment.nex	Pho1	1897	104	5.482	0.651	0.349	554	332	293	614	0	0	0	0	0	0	0	0	0	0	0	0	0	94	10
alignment.nex	Pica1	1897	743	39.167	0.701	0.299	375	192	153	434	0	0	0	0	0	0	0	0	0	0	0	0	0	96	647
alignment.nex	Pil2	1897	100	5.271	0.663	0.337	570	323	282	622	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2
alignment.nex	Pin1	1897	75	3.954	0.678	0.322	591	308	278	645	0	0	0	0	0	0	0	0	0	0	0	0	0	73	2
alignment.nex	Pito1	1897	95	5.008	0.639	0.361	550	358	293	601	0	0	0	0	0	0	0	0	0	0	0	0	0	93	2
alignment.nex	Pk1	1897	94	4.955	0.647	0.353	572	338	298	595	0	0	0	0	0	0	0	0	0	0	0	0	0	92	2
alignment.nex	Pl4	1897	52	2.741	0.671	0.329	592	329	278	646	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2
alignment.nex	Pro	1897	102	5.377	0.661	0.339	562	321	287	625	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2
alignment.nex	Sch1	1897	746	39.325	0.674	0.326	351	222	153	425	0	0	0	0	0	0	0	0	0	0	0	0	0	99	647
alignment.nex	Sex1	1897	98	5.166	0.658	0.342	567	333	283	616	0	0	0	0	0	0	0	0	0	0	0	0	0	96	2
alignment.nex	Sp1	1897	100	5.271	0.644	0.356	569	353	287	588	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2
alignment.nex	Ste1	1897	763	40.221	0.695	0.305	359	201	145	429	0	0	0	0	0	0	0	0	0	0	0	0	0	99	664
alignment.nex	Tri4	1897	100	5.271	0.662	0.338	566	321	286	624	0	0	0	0	0	0	0	0	0	0	0	0	0	98	2
alignment.nex	Ty1	1897	99	5.219	0.651	0.349	561	343	285	609	0	0	0	0	0	0	0	0	0	0	0	0	0	97	2
alignment.nex	Wo3	1897	101	5.324	0.653	0.347	562	340	283	611	0	0	0	0	0	0	0	0	0	0	0	0	0	99	2
