Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	alligator_mississippiensis	465241	21089	4.533	0.623	0.377	137985	83442	84088	138637	0	0	0	0	0	0	0	0	0	0	0	0	0	21089	0
alignment.nex	anolis_carolinensis	465241	54711	11.76	0.617	0.383	126419	78201	78915	126995	0	0	0	0	0	0	0	0	0	0	0	0	0	54711	0
alignment.nex	chrysemys_picta	465241	24056	5.171	0.623	0.377	137111	82860	83439	137775	0	0	0	0	0	0	0	0	0	0	0	10	0	24046	0
alignment.nex	crocodylus_porosus	465241	58344	12.541	0.621	0.379	126082	76740	77369	126706	0	0	0	0	0	0	0	0	0	0	0	0	0	58344	0
alignment.nex	gallus_gallus	465241	15826	3.402	0.618	0.382	138557	85416	86104	139338	0	0	0	0	0	0	0	0	0	0	0	0	0	15826	0
alignment.nex	homo_sapiens	465241	15633	3.36	0.613	0.387	137459	86608	87319	138222	0	0	0	0	0	0	0	0	0	0	0	0	0	15633	0
alignment.nex	pantherophis_guttata	465241	27336	5.876	0.619	0.381	135061	83159	83794	135891	0	0	0	0	0	0	0	0	0	0	0	7	0	27329	0
alignment.nex	pelomedusa_subrufa	465241	113864	24.474	0.617	0.383	108132	67227	67377	108641	0	0	0	0	0	0	0	0	0	0	0	0	0	113864	0
alignment.nex	sphenodon_tuatara	465241	128643	27.651	0.615	0.385	103378	64648	64830	103742	0	0	0	0	0	0	0	0	0	0	0	0	0	128643	0
alignment.nex	zebra_finch	465241	15406	3.311	0.619	0.381	138882	85350	85897	139706	0	0	0	0	0	0	0	0	0	0	0	309	0	15097	0
