Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	282_Spardalis	3586	801	22.337	0.52	0.48	744	810	524	703	0	2	0	0	2	0	0	0	0	0	0	0	0	801	0
alignment.nex	4766_Snyasse	3586	1161	32.376	0.543	0.457	639	652	456	678	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0
alignment.nex	5053_Sirsacae	3586	237	6.609	0.528	0.472	878	893	688	888	0	0	1	1	0	0	0	0	0	0	0	0	0	237	0
alignment.nex	5100_Spolli	3586	130	3.625	0.525	0.475	906	922	720	907	0	0	0	0	0	1	0	0	0	0	0	0	0	130	0
alignment.nex	5126_Slucipinnis	3586	160	4.462	0.527	0.473	902	915	707	902	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0
alignment.nex	5143_Smultipuntatus	3586	91	2.538	0.524	0.476	911	932	731	921	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0
alignment.nex	5145_Spetricola	3586	131	3.653	0.526	0.474	908	919	716	909	0	0	2	1	0	0	0	0	0	0	0	0	0	131	0
alignment.nex	5153_Saffilebrevis	3586	1430	39.877	0.545	0.455	568	578	404	606	0	0	0	0	0	0	0	0	0	0	0	0	0	1430	0
alignment.nex	5518_Svictoriae	3586	175	4.88	0.53	0.47	898	894	709	910	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0
alignment.nex	5530_Sthysi	3586	188	5.243	0.521	0.479	880	899	730	889	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0
alignment.nex	5535_Swaterlotti	3586	184	5.131	0.527	0.473	892	895	714	900	0	0	0	1	0	0	0	0	0	0	0	0	0	184	0
alignment.nex	5543_Sfrontosus	3586	285	7.948	0.522	0.478	861	882	695	862	0	0	0	0	1	0	0	0	0	0	0	0	0	285	0
alignment.nex	5545_Sserratus	3586	139	3.876	0.521	0.479	903	923	729	892	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0
alignment.nex	5546_Snigrita	3586	1196	33.352	0.552	0.448	656	641	429	664	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	0
alignment.nex	5550_Safrofischeri	3586	357	9.955	0.533	0.467	860	852	655	862	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0
alignment.nex	5765_Sannectens	3586	307	8.561	0.531	0.469	867	867	671	874	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0
alignment.nex	A042_Sschall	3586	397	11.071	0.522	0.478	825	843	681	840	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0
alignment.nex	A060_Sfilamentosus	3586	1126	31.4	0.547	0.453	665	651	463	681	0	0	0	0	0	0	0	0	0	0	0	0	0	1126	0
alignment.nex	A064_Ssorex	3586	2366	65.979	0.557	0.443	322	266	275	357	0	0	0	0	0	0	0	0	0	0	0	0	0	2366	0
alignment.nex	A068_Smembraneous	3586	113	3.151	0.528	0.472	915	927	707	915	0	1	2	2	2	2	0	0	0	0	0	38	0	75	0
alignment.nex	A108_Sclarias	3586	1707	47.602	0.544	0.456	510	479	377	513	0	0	0	0	0	0	0	0	0	0	0	36	0	1671	0
alignment.nex	AMNH235728_Sgreshoffi	3586	196	5.466	0.527	0.473	901	924	679	884	0	0	0	2	0	0	0	0	0	0	0	0	0	196	0
alignment.nex	AMNH235730_Ssoloni	3586	296	8.254	0.528	0.472	869	864	688	866	0	0	2	1	0	0	0	0	0	0	0	0	0	296	0
alignment.nex	B014_Souemeensis	3586	1060	29.559	0.542	0.458	678	675	481	691	0	0	0	0	1	0	0	0	0	0	0	0	0	1060	0
alignment.nex	B058_Sclarias	3586	124	3.458	0.523	0.477	914	936	716	895	0	0	1	0	0	0	0	0	0	0	0	51	0	73	0
alignment.nex	B068_Ssorex	3586	88	2.454	0.529	0.471	933	933	716	916	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
alignment.nex	B069_Socellifer	3586	985	27.468	0.539	0.461	686	701	497	717	0	0	0	0	0	0	0	0	0	0	0	0	0	985	0
alignment.nex	CU81135_Atopochilussavorgnani	3586	2664	74.289	0.508	0.492	242	230	223	226	0	0	0	1	0	0	0	0	0	0	0	0	0	2664	0
alignment.nex	CU87469_Scontractus	3586	147	4.099	0.532	0.468	909	901	707	921	0	0	1	0	0	0	0	0	0	0	0	0	0	147	0
alignment.nex	CU87530_Euchilichthysdybowskii	3586	2664	74.289	0.507	0.493	239	231	224	228	0	0	0	0	0	0	0	0	0	0	0	0	0	2664	0
alignment.nex	CU87539_Snigriventris	3586	244	6.804	0.534	0.466	882	868	688	904	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0
alignment.nex	CU87571_Spleurops	3586	140	3.904	0.525	0.475	909	912	725	900	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
alignment.nex	CU87650_Scentralis	3586	731	20.385	0.526	0.474	778	828	524	725	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0
alignment.nex	CU87651_Scentralis	3586	731	20.385	0.527	0.473	780	829	522	724	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0
alignment.nex	CU88151_Snummifer	3586	146	4.071	0.528	0.472	903	909	714	910	0	0	1	3	0	0	0	0	0	0	0	0	0	146	0
