Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	JFP_517_ND4	823	1	0.122	0.659	0.341	272	184	96	270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	MVZ195628_ND4	823	1	0.122	0.662	0.338	273	182	96	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	MVZ207642_ND4	823	1	0.122	0.661	0.339	273	183	96	270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	MVZ207643_ND4	823	1	0.122	0.662	0.338	273	182	96	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	MVZ229220_ND4	823	1	0.122	0.667	0.333	275	178	96	273	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	MVZ236191_ND4	823	1	0.122	0.663	0.337	273	181	96	272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	SDFIELD1158_ND4	823	1	0.122	0.664	0.336	275	182	94	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	SDFIELD1167_ND4	823	1	0.122	0.667	0.333	275	178	96	273	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	SDFIELD1343_ND4	823	1	0.122	0.667	0.333	274	177	97	274	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	SDFIELD573_ND4	823	3	0.365	0.665	0.335	278	184	91	267	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	SDFIELD574_ND4	823	3	0.365	0.665	0.335	278	184	91	267	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	SDFIELD736_ND4	823	3	0.365	0.665	0.335	278	184	91	267	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	SDFIELD901_ND4	823	3	0.365	0.665	0.335	278	184	91	267	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	TJD273_ND4	823	1	0.122	0.663	0.337	276	181	96	269	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD300_ND4	823	1	0.122	0.662	0.338	275	181	97	269	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD358_ND4	823	1	0.122	0.664	0.336	275	181	95	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD359_ND4	823	1	0.122	0.664	0.336	275	181	95	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD363_ND4	823	1	0.122	0.664	0.336	275	181	95	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD365_ND4	823	1	0.122	0.664	0.336	275	181	95	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD369_ND4	823	1	0.122	0.663	0.337	275	182	95	270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD372_ND4	823	1	0.122	0.664	0.336	275	181	95	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD377_ND4	823	1	0.122	0.663	0.337	275	182	95	270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD380_ND4	823	1	0.122	0.663	0.337	275	182	95	270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD430_ND4	823	1	0.122	0.662	0.338	272	181	97	272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD431_ND4	823	1	0.122	0.661	0.339	272	182	97	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD432_ND4	823	1	0.122	0.661	0.339	272	182	97	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD433_ND4	823	1	0.122	0.661	0.339	272	182	97	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD434_ND4	823	1	0.122	0.662	0.338	273	182	96	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD436_ND4	823	1	0.122	0.661	0.339	272	182	97	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD437_ND4	823	1	0.122	0.661	0.339	272	182	97	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD438_ND4	823	1	0.122	0.661	0.339	275	184	95	268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD439_ND4	823	1	0.122	0.659	0.341	273	184	96	269	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD444_ND4	823	1	0.122	0.663	0.337	272	180	97	273	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD445_ND4	823	1	0.122	0.662	0.338	273	182	96	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alignment.nex	TJD446_ND4	823	1	0.122	0.662	0.338	273	182	96	271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
