Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Beryx_decadactylus	5919	504	8.515	0.465	0.535	1314	1462	1434	1204	0	0	0	1	0	0	0	0	0	0	0	0	0	504	0
alignment.nex	Corniger_spinosus	5919	5268	89.002	0.527	0.473	157	191	117	186	0	0	0	0	0	0	0	0	0	0	0	0	0	5268	0
alignment.nex	Holocentrus_adscensionis	5919	884	14.935	0.48	0.52	1250	1345	1273	1167	0	0	0	0	0	0	0	0	0	0	0	2	0	880	2
alignment.nex	Holocentrus_rufus	5919	360	6.082	0.48	0.52	1368	1465	1426	1300	0	0	0	0	0	0	0	0	0	0	0	5	0	353	2
alignment.nex	Myripristis_adusta	5919	1438	24.295	0.484	0.516	1089	1208	1106	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	1438	0
alignment.nex	Myripristis_amaena	5919	854	14.428	0.48	0.52	1241	1357	1275	1192	0	0	0	0	0	0	0	0	0	0	0	1	0	852	1
alignment.nex	Myripristis_berndti	5919	1480	25.004	0.481	0.519	1075	1207	1099	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	1480	0
alignment.nex	Myripristis_botche	5919	789	13.33	0.482	0.518	1244	1354	1303	1229	0	0	0	0	0	0	0	0	0	0	0	2	0	787	0
alignment.nex	Myripristis_chryseres	5919	1493	25.224	0.479	0.521	1069	1208	1097	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	1491	2
alignment.nex	Myripristis_hexagona	5919	1486	25.106	0.48	0.52	1077	1207	1099	1050	0	0	0	0	0	0	0	0	0	0	0	1	0	1485	0
alignment.nex	Myripristis_jacobus	5919	695	11.742	0.484	0.516	1281	1379	1318	1246	0	0	0	0	0	0	0	0	0	0	0	3	0	692	0
alignment.nex	Myripristis_kuntee	5919	1252	21.152	0.477	0.523	1123	1264	1175	1105	0	0	0	0	0	0	0	0	0	0	0	4	0	1248	0
alignment.nex	Myripristis_leioganthus	5919	736	12.435	0.481	0.519	1237	1358	1333	1255	0	0	0	0	0	0	0	0	0	0	0	3	0	733	0
alignment.nex	Myripristis_murdjan	5919	157	2.652	0.481	0.519	1399	1505	1482	1372	0	1	0	3	0	0	0	0	0	0	0	0	0	157	0
alignment.nex	Myripristis_pralinia	5919	1227	20.73	0.478	0.522	1140	1267	1181	1104	0	0	0	0	0	0	0	0	0	0	0	2	0	1225	0
alignment.nex	Myripristis_randalli	5919	845	14.276	0.477	0.523	1238	1373	1281	1182	0	0	0	0	0	0	0	0	0	0	0	2	0	841	2
alignment.nex	Myripristis_violacea	5919	103	1.74	0.478	0.522	1403	1534	1501	1375	0	0	1	2	0	0	0	0	0	0	0	0	0	103	0
alignment.nex	Myripristis_vittata	5919	974	16.455	0.477	0.523	1200	1341	1245	1159	0	0	0	0	0	0	0	0	0	0	0	2	0	971	1
alignment.nex	Neoniphon_argenteus	5919	1800	30.411	0.481	0.519	1005	1078	1058	978	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0
alignment.nex	Neoniphon_marianus	5919	1326	22.402	0.476	0.524	1121	1206	1199	1067	0	0	0	0	0	0	0	0	0	0	0	15	0	1311	0
alignment.nex	Neoniphon_opercularis	5919	586	9.9	0.483	0.517	1332	1365	1392	1244	0	0	0	0	0	0	0	0	0	0	0	8	0	578	0
alignment.nex	Neoniphon_sammara	5919	1034	17.469	0.486	0.514	1204	1281	1232	1168	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0
alignment.nex	Ostichthys_trachypoma	5919	1934	32.674	0.47	0.53	951	1099	1015	920	0	0	0	0	0	0	0	0	0	0	0	0	0	1930	4
alignment.nex	Percopsis_omiscomaycus	5919	140	2.365	0.437	0.563	1301	1645	1606	1226	0	0	1	0	0	0	0	0	0	0	0	0	0	140	0
alignment.nex	Plectrypops_lima	5919	875	14.783	0.473	0.527	1229	1365	1291	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	868	7
alignment.nex	Plectrypops_retrospinus	5919	906	15.307	0.473	0.527	1225	1381	1263	1144	0	0	0	0	0	0	0	0	0	0	0	1	0	899	6
alignment.nex	Sargocentron_caudimaculatum	5919	1116	18.855	0.478	0.522	1158	1279	1226	1140	0	0	0	0	0	0	0	0	0	0	0	2	0	1102	12
alignment.nex	Sargocentron_cornutum	5919	535	9.039	0.473	0.527	1287	1420	1418	1256	0	1	2	0	0	0	0	0	0	0	0	7	0	528	0
alignment.nex	Sargocentron_coruscum	5919	1107	18.702	0.483	0.517	1180	1268	1221	1143	0	0	0	0	0	0	0	0	0	0	0	4	0	1101	2
alignment.nex	Sargocentron_diadema	5919	2205	37.253	0.475	0.525	908	1000	949	857	0	0	0	0	0	0	0	0	0	0	0	0	0	2202	3
alignment.nex	Sargocentron_inaequalis	5919	686	11.59	0.485	0.515	1311	1351	1345	1226	0	0	0	0	0	0	0	0	0	0	0	4	0	682	0
alignment.nex	Sargocentron_ittodai	5919	1829	30.9	0.481	0.519	1002	1120	1001	967	0	0	0	0	0	0	0	0	0	0	0	6	0	1823	0
alignment.nex	Sargocentron_melanospilos	5919	963	16.27	0.48	0.52	1187	1318	1260	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0
alignment.nex	Sargocentron_microstoma	5919	1148	19.395	0.478	0.522	1154	1264	1226	1127	0	0	0	0	0	0	0	0	0	0	0	1	0	1147	0
alignment.nex	Sargocentron_praslin	5919	409	6.91	0.475	0.525	1326	1455	1439	1290	0	0	0	0	0	0	0	0	0	0	0	10	0	399	0
alignment.nex	Sargocentron_punctassimum	5919	1550	26.187	0.484	0.516	1085	1167	1087	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	0
alignment.nex	Sargocentron_rubrum	5919	1171	19.784	0.468	0.532	1142	1258	1267	1081	0	0	0	0	0	0	0	0	0	0	0	11	0	1160	0
alignment.nex	Sargocentron_seychellense	5919	462	7.805	0.472	0.528	1312	1453	1429	1263	0	0	0	0	0	0	0	0	0	0	0	2	0	457	3
alignment.nex	Sargocentron_spiniferum	5919	1029	17.385	0.479	0.521	1183	1297	1253	1157	0	0	0	0	0	0	0	0	0	0	0	6	0	1023	0
alignment.nex	Sargocentron_suborbitalis	5919	1431	24.176	0.487	0.513	1088	1183	1120	1097	0	0	0	0	0	0	0	0	0	0	0	8	0	1423	0
alignment.nex	Sargocentron_tiere	5919	536	9.056	0.474	0.526	1315	1421	1408	1239	0	0	0	0	0	0	0	0	0	0	0	32	0	503	1
alignment.nex	Sargocentron_tiereoides	5919	5335	90.133	0.56	0.44	150	157	100	177	0	0	0	0	0	0	0	0	0	0	0	0	0	5335	0
alignment.nex	Sargocentron_vexillarium	5919	964	16.287	0.474	0.526	1208	1295	1310	1139	0	0	1	2	0	0	0	0	0	0	0	5	0	959	0
alignment.nex	Sargocentron_xantherythrum	5919	5269	89.018	0.549	0.451	168	176	117	189	0	0	0	0	0	0	0	0	0	0	0	0	0	5269	0
