Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	acanthurus_japonicus	149366	36509	24.443	0.557	0.443	31274	25151	24829	31603	0	0	0	0	0	0	0	0	0	0	0	0	0	36509	0
alignment.nex	acipenser_fulvescens	149366	112535	75.342	0.58	0.42	10680	7863	7597	10691	0	0	0	0	0	0	0	0	0	0	0	0	0	112535	0
alignment.nex	amia_calva	149366	63898	42.779	0.582	0.418	24692	18030	17700	25046	0	0	0	0	0	0	0	0	0	0	0	0	0	63898	0
alignment.nex	anchoa_compressa	149366	82715	55.377	0.548	0.452	18093	15232	14875	18451	0	0	0	0	0	0	0	0	0	0	0	0	0	82715	0
alignment.nex	antennarius_striatus	149366	44026	29.475	0.565	0.435	29512	23370	22402	30056	0	0	0	0	0	0	0	0	0	0	0	0	0	44026	0
alignment.nex	astyanax_fasciatus	149366	66913	44.798	0.546	0.454	22505	18841	18611	22496	0	0	0	0	0	0	0	0	0	0	0	0	0	66913	0
alignment.nex	danio_rerio	149366	64692	43.311	0.552	0.448	23130	19019	18908	23617	0	0	0	0	0	0	0	0	0	0	0	0	0	64692	0
alignment.nex	diaphus_theta	149366	53086	35.541	0.559	0.441	26499	21645	20805	27331	0	0	0	0	0	0	0	0	0	0	0	0	0	53086	0
alignment.nex	gadus_morhua	149366	51130	34.231	0.535	0.465	26089	23101	22595	26451	0	0	0	0	0	0	0	0	0	0	0	0	0	51130	0
alignment.nex	gasterosteus_aculeatus	149366	23471	15.714	0.544	0.456	34122	28879	28527	34367	0	0	0	0	0	0	0	0	0	0	0	0	0	23471	0
alignment.nex	haplochromis_burtoni	149366	24935	16.694	0.554	0.446	34216	27934	27550	34731	0	0	0	0	0	0	0	0	0	0	0	0	0	24935	0
alignment.nex	lampris_guttatus	149366	48138	32.228	0.556	0.444	27991	22819	22111	28307	0	0	0	0	0	0	0	0	0	0	0	0	0	48138	0
alignment.nex	lepisosteus_oculatus	149366	42187	28.244	0.581	0.419	31032	22588	22268	31291	0	0	0	0	0	0	0	0	0	0	0	0	0	42187	0
alignment.nex	megalops_sp	149366	95191	63.73	0.57	0.43	15247	11855	11460	15613	0	0	0	0	0	0	0	0	0	0	0	0	0	95191	0
alignment.nex	neolamprologus_brichardi	149366	25696	17.203	0.553	0.447	33972	27796	27521	34381	0	0	0	0	0	0	0	0	0	0	0	0	0	25696	0
alignment.nex	oreochromis_niloticus	149366	23948	16.033	0.554	0.446	34482	28133	27804	34999	0	0	0	0	0	0	0	0	0	0	0	0	0	23948	0
alignment.nex	oryzias_latipes	149366	25632	17.161	0.554	0.446	34009	27787	27394	34544	0	0	0	0	0	0	0	0	0	0	0	0	0	25632	0
alignment.nex	osteoglossum_bicirrhosum	149366	89355	59.823	0.548	0.452	16353	13739	13406	16513	0	0	0	0	0	0	0	0	0	0	0	0	0	89355	0
alignment.nex	pantodon_buchholzi	149366	86912	58.187	0.552	0.448	17200	14166	13843	17245	0	0	0	0	0	0	0	0	0	0	0	0	0	86912	0
alignment.nex	polypterus_senegalus	149366	75780	50.734	0.586	0.414	21721	15515	14986	21364	0	0	0	0	0	0	0	0	0	0	0	0	0	75780	0
alignment.nex	pundamilia_nyererei	149366	24491	16.397	0.554	0.446	34337	28075	27629	34834	0	0	0	0	0	0	0	0	0	0	0	0	0	24491	0
alignment.nex	salvelinus_fontinalis	149366	115455	77.297	0.557	0.443	9368	7685	7337	9521	0	0	0	0	0	0	0	0	0	0	0	0	0	115455	0
alignment.nex	strophidon_sathete	149366	84478	56.558	0.568	0.432	18212	14209	13855	18612	0	0	0	0	0	0	0	0	0	0	0	0	0	84478	0
alignment.nex	taenianotus_triacanthus	149366	38827	25.995	0.554	0.446	30447	24881	24468	30743	0	0	0	0	0	0	0	0	0	0	0	0	0	38827	0
alignment.nex	takifugu_rupribes	149366	22954	15.368	0.548	0.452	34452	28802	28371	34787	0	0	0	0	0	0	0	0	0	0	0	0	0	22954	0
alignment.nex	tetraodon_nigroviridis	149366	23037	15.423	0.549	0.451	34555	28759	28206	34809	0	0	0	0	0	0	0	0	0	0	0	0	0	23037	0
alignment.nex	umbra_limi	149366	55658	37.263	0.566	0.434	26245	20675	20035	26753	0	0	0	0	0	0	0	0	0	0	0	0	0	55658	0
