Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Anthostema	11587	327	2.822	0.588	0.412	3402	2160	2477	3203	2	1	8	5	0	2	0	0	0	0	0	1	0	222	104
alignment.nex	Bonania	11587	359	3.098	0.592	0.408	3431	2130	2454	3213	0	0	0	0	0	0	0	0	0	0	0	1	0	331	27
alignment.nex	Calycopeplus	11587	1213	10.469	0.595	0.405	3177	1941	2265	2990	0	0	1	0	0	0	0	0	0	0	0	0	0	228	985
alignment.nex	Colliguaja	11587	349	3.012	0.592	0.408	3411	2134	2444	3226	3	1	12	4	0	3	0	0	0	0	0	0	0	349	0
alignment.nex	Dichostemma	11587	251	2.166	0.588	0.412	3430	2178	2492	3234	0	0	2	0	0	0	0	0	0	0	0	20	0	231	0
alignment.nex	Gymnanthes	11587	623	5.377	0.587	0.413	3331	2075	2451	3102	0	0	1	2	1	1	0	0	0	0	0	1	0	351	271
alignment.nex	Homalanthus	11587	284	2.451	0.595	0.405	3468	2124	2453	3258	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0
alignment.nex	Hura	11587	370	3.193	0.588	0.412	3405	2153	2460	3186	1	2	6	3	0	1	0	0	0	0	0	0	0	318	52
alignment.nex	Mabea	11587	669	5.774	0.592	0.408	3356	2066	2381	3108	0	0	2	5	0	0	0	0	0	0	0	0	0	328	341
alignment.nex	Maprounea	11587	1299	11.211	0.589	0.411	3065	1958	2273	2989	0	0	1	1	1	0	0	0	0	0	0	0	0	275	1024
alignment.nex	Microstachys	11587	838	7.232	0.601	0.399	3322	1992	2292	3129	2	3	3	4	1	1	0	0	0	0	0	1	0	253	584
alignment.nex	Nealchornea	11587	844	7.284	0.586	0.414	3230	2084	2354	3067	1	0	2	3	2	0	0	0	0	0	0	0	0	362	482
alignment.nex	Neoguillauminia	11587	1271	10.969	0.596	0.404	3180	1934	2233	2969	0	0	0	0	0	0	0	0	0	0	0	0	0	199	1072
alignment.nex	Senefelderopsis	11587	777	6.706	0.596	0.404	3343	2045	2316	3102	0	0	3	1	0	0	0	0	0	0	0	0	0	247	530
alignment.nex	Stillingia	11587	340	2.934	0.592	0.408	3428	2124	2451	3205	3	5	11	14	3	3	0	0	0	0	0	1	0	339	0
alignment.nex	abdelkuri	11587	191	1.648	0.598	0.402	3536	2120	2462	3278	0	0	0	0	0	0	0	0	0	0	0	1	0	147	43
alignment.nex	abyssinica	11587	7480	64.555	0.578	0.422	1276	802	932	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	210	7270
alignment.nex	acanthothamnos	11587	197	1.7	0.594	0.406	3482	2147	2477	3281	1	0	1	1	0	0	0	0	0	0	0	1	0	161	35
alignment.nex	acerensis	11587	215	1.856	0.596	0.404	3491	2139	2459	3283	0	0	0	0	0	0	0	0	0	0	0	26	0	172	17
alignment.nex	acuta	11587	2721	23.483	0.59	0.41	2728	1712	1926	2498	0	0	0	2	0	0	0	0	0	0	0	0	0	223	2498
alignment.nex	aeruginosa	11587	1792	15.466	0.59	0.41	3104	1855	2160	2673	0	0	0	2	1	0	0	0	0	0	0	0	0	170	1622
alignment.nex	aggregata	11587	1213	10.469	0.589	0.411	3185	2005	2259	2923	0	0	1	1	0	0	0	0	0	0	0	0	0	163	1050
alignment.nex	akenocarpa	11587	157	1.355	0.595	0.405	3505	2155	2476	3294	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
alignment.nex	alluaudii	11587	369	3.185	0.599	0.401	3474	2083	2416	3244	0	0	1	0	0	0	0	0	0	0	0	0	0	134	235
alignment.nex	ammak	11587	1346	11.616	0.601	0.399	3198	1910	2168	2957	0	1	3	0	3	1	0	0	0	0	0	0	0	140	1206
alignment.nex	amygdaloides	11587	190	1.64	0.595	0.405	3507	2147	2474	3268	0	0	1	0	0	0	0	0	0	0	0	0	0	150	40
alignment.nex	antso	11587	463	3.996	0.586	0.414	3364	2149	2456	3152	0	0	1	2	0	0	0	0	0	0	0	0	0	121	342
alignment.nex	aphylla	11587	187	1.614	0.593	0.407	3496	2146	2489	3265	0	0	2	2	0	0	0	0	0	0	0	1	0	142	44
alignment.nex	appariciana	11587	554	4.781	0.602	0.398	3431	2040	2334	3191	1	2	14	12	2	6	0	0	0	0	0	273	0	131	150
alignment.nex	arbuscula	11587	1354	11.686	0.598	0.402	3178	1925	2185	2944	0	0	1	0	0	0	0	0	0	0	0	0	0	281	1073
alignment.nex	astyla	11587	9216	79.537	0.603	0.397	774	445	496	655	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9207
alignment.nex	aucheri	11587	9565	82.549	0.611	0.389	562	392	394	674	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9560
alignment.nex	balsamifera	11587	234	2.02	0.588	0.412	3466	2175	2500	3211	0	0	1	0	0	0	0	0	0	0	0	0	0	157	77
alignment.nex	beharensis_guillemetii	11587	310	2.675	0.596	0.404	3474	2113	2438	3252	0	0	0	0	0	0	0	0	0	0	0	0	0	274	36
alignment.nex	bergeri	11587	253	2.183	0.586	0.414	3450	2188	2497	3193	0	0	2	3	1	0	0	0	0	0	0	0	0	164	89
alignment.nex	boophthona	11587	1915	16.527	0.615	0.385	3040	1726	1999	2906	0	0	0	0	0	1	0	0	0	0	0	1	0	238	1676
alignment.nex	bourgaeana	11587	266	2.296	0.593	0.407	3466	2136	2474	3245	0	0	0	0	0	0	0	0	0	0	0	12	0	142	112
alignment.nex	brachycera	11587	266	2.296	0.594	0.406	3458	2127	2465	3264	0	0	1	3	0	3	0	0	0	0	0	0	0	199	67
alignment.nex	brunellii	11587	9645	83.24	0.596	0.404	524	388	396	634	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9641
alignment.nex	bubalina	11587	320	2.762	0.588	0.412	3431	2169	2473	3190	0	0	0	2	0	2	0	0	0	0	0	0	0	165	155
alignment.nex	calyculata	11587	9572	82.61	0.606	0.394	555	395	398	666	0	0	0	1	0	0	0	0	0	0	0	1	0	5	9566
alignment.nex	calyptrata	11587	212	1.83	0.591	0.409	3461	2151	2491	3239	2	0	7	21	2	1	0	0	0	0	0	0	0	150	62
alignment.nex	ceroderma	11587	9569	82.584	0.617	0.383	558	378	394	688	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9566
alignment.nex	characias	11587	198	1.709	0.594	0.406	3501	2147	2474	3266	0	0	0	1	0	0	0	0	0	0	0	1	0	148	49
alignment.nex	characias_wulfenii	11587	350	3.021	0.594	0.406	3457	2125	2433	3222	0	0	0	0	0	0	0	0	0	0	0	2	0	148	200
alignment.nex	clava	11587	2452	21.162	0.609	0.391	2849	1670	1900	2707	1	1	3	1	1	2	0	0	0	0	0	1	0	114	2337
alignment.nex	comosa	11587	582	5.023	0.596	0.404	3405	2053	2391	3156	0	0	0	0	0	0	0	0	0	0	0	0	0	238	344
alignment.nex	coniosperma	11587	11042	95.296	0.431	0.569	119	156	154	116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11041
alignment.nex	cornastra	11587	277	2.391	0.597	0.403	3487	2116	2439	3266	0	0	0	2	0	0	0	0	0	0	0	2	0	242	33
alignment.nex	cotinifolia	11587	909	7.845	0.59	0.41	3243	2031	2349	3055	0	0	0	0	0	0	0	0	0	0	0	0	0	263	646
alignment.nex	cyathophora	11587	219	1.89	0.597	0.403	3483	2127	2442	3279	4	4	6	20	3	0	0	0	0	0	0	0	0	202	17
alignment.nex	cylindrifolia	11587	1186	10.236	0.6	0.4	3233	1933	2227	3006	0	0	0	1	0	1	0	0	0	0	0	0	0	167	1019
alignment.nex	cyparissias	11587	467	4.03	0.598	0.402	3448	2059	2415	3195	1	2	0	0	0	0	0	0	0	0	0	234	0	164	69
alignment.nex	davidii	11587	237	2.045	0.598	0.402	3500	2113	2428	3257	4	5	20	16	2	5	0	0	0	0	0	3	0	197	37
alignment.nex	decaryi	11587	268	2.313	0.597	0.403	3496	2114	2445	3261	0	1	0	2	0	0	0	0	0	0	0	1	0	167	100
alignment.nex	dendroides	11587	345	2.977	0.592	0.408	3436	2122	2470	3214	0	0	0	0	0	0	0	0	0	0	0	0	0	255	90
alignment.nex	dimorphocaulon	11587	337	2.908	0.593	0.407	3432	2141	2442	3233	1	0	0	0	0	1	0	0	0	0	0	0	0	235	102
alignment.nex	dioscoreoides	11587	1785	15.405	0.587	0.413	2976	1888	2164	2772	0	0	1	1	0	0	0	0	0	0	0	1	0	186	1598
alignment.nex	dregeana_1	11587	1743	15.043	0.606	0.394	3070	1811	2063	2898	0	0	0	2	0	0	0	0	0	0	0	0	0	111	1632
alignment.nex	dregeana_2	11587	402	3.469	0.585	0.415	3403	2160	2475	3143	0	1	0	2	1	0	0	0	0	0	0	0	0	193	209
alignment.nex	drupifera	11587	303	2.615	0.599	0.401	3506	2109	2420	3247	0	0	0	1	0	1	0	0	0	0	0	3	0	146	154
alignment.nex	ephedroides	11587	193	1.666	0.592	0.408	3506	2176	2470	3241	1	0	0	0	0	0	0	0	0	0	0	0	0	139	54
alignment.nex	epiphylloides	11587	1757	15.164	0.586	0.414	3078	1879	2193	2679	0	1	0	0	0	0	0	0	0	0	0	1	0	158	1598
alignment.nex	eriantha	11587	2104	18.158	0.603	0.397	2930	1739	2028	2786	0	0	0	0	0	0	0	0	0	0	0	4	0	739	1361
alignment.nex	ericoides	11587	1142	9.856	0.586	0.414	3112	1998	2328	3002	1	0	0	3	1	0	0	0	0	0	0	0	0	182	960
alignment.nex	espinosa	11587	316	2.727	0.592	0.408	3464	2131	2460	3212	1	0	0	2	1	0	0	0	0	0	0	0	0	119	197
alignment.nex	exigua	11587	234	2.02	0.595	0.405	3485	2128	2468	3265	0	0	2	5	0	0	0	0	0	0	0	0	0	180	54
alignment.nex	exstipulata	11587	9586	82.731	0.617	0.383	551	382	384	684	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9577
alignment.nex	fasciculata	11587	208	1.795	0.586	0.414	3470	2200	2509	3198	0	0	0	2	0	0	0	0	0	0	0	0	0	163	45
alignment.nex	fiherenensis	11587	289	2.494	0.596	0.404	3492	2131	2429	3241	0	0	3	2	0	0	0	0	0	0	0	0	0	148	141
alignment.nex	filiflora	11587	212	1.83	0.587	0.413	3460	2189	2508	3214	0	1	2	1	0	0	0	0	0	0	0	1	0	174	37
alignment.nex	fimbriata	11587	1011	8.725	0.587	0.413	3220	2049	2313	2988	0	0	1	5	0	0	0	0	0	0	0	0	0	163	848
alignment.nex	flanaganii	11587	214	1.847	0.587	0.413	3461	2192	2507	3207	0	1	2	1	0	2	0	0	0	0	0	4	0	163	47
alignment.nex	flavicoma	11587	152	1.312	0.594	0.406	3501	2161	2477	3292	1	0	1	1	0	1	0	0	0	0	0	0	0	152	0
alignment.nex	franchetii	11587	9547	82.394	0.595	0.405	550	405	421	664	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9543
alignment.nex	francoisii	11587	174	1.502	0.597	0.403	3527	2127	2468	3283	2	1	3	2	0	0	0	0	0	0	0	0	0	157	17
alignment.nex	fulgens	11587	836	7.215	0.592	0.408	3310	2032	2350	3058	0	0	1	0	0	0	0	0	0	0	0	0	0	400	436
alignment.nex	fusca	11587	1672	14.43	0.606	0.394	3088	1817	2088	2921	0	0	0	1	0	0	0	0	0	0	0	0	0	112	1560
alignment.nex	gariepina	11587	348	3.003	0.589	0.411	3428	2147	2471	3193	0	0	0	0	0	0	0	0	0	0	0	0	0	158	190
alignment.nex	germainii	11587	271	2.339	0.596	0.404	3498	2132	2445	3241	0	0	0	0	0	0	0	0	0	0	0	1	0	172	98
alignment.nex	glanduligera	11587	1317	11.366	0.593	0.407	3166	1929	2251	2924	0	0	0	0	0	0	0	0	0	0	0	249	0	119	949
alignment.nex	globosa	11587	222	1.916	0.586	0.414	3460	2197	2500	3203	0	0	1	3	1	0	0	0	0	0	0	1	0	164	57
alignment.nex	graminea	11587	295	2.546	0.595	0.405	3456	2118	2442	3247	5	2	9	8	3	2	0	0	0	0	0	0	0	295	0
alignment.nex	graminea_Dia_Fr	11587	172	1.484	0.596	0.404	3509	2136	2475	3287	1	0	4	1	2	0	0	0	0	0	0	1	0	171	0
alignment.nex	grandicornis	11587	404	3.487	0.601	0.399	3482	2071	2395	3234	1	0	0	0	0	0	0	0	0	0	0	1	0	136	267
alignment.nex	grantii	11587	1138	9.821	0.587	0.413	3178	2017	2298	2956	0	0	0	0	0	0	0	0	0	0	0	0	0	163	975
alignment.nex	griseola	11587	272	2.347	0.6	0.4	3525	2093	2429	3262	0	2	0	3	1	0	0	0	0	0	0	4	0	146	122
alignment.nex	guyoniana	11587	240	2.071	0.593	0.407	3473	2145	2472	3255	0	0	0	2	0	0	0	0	0	0	0	0	0	148	92
alignment.nex	gymnocalycioides	11587	2554	22.042	0.578	0.422	2796	1741	2068	2428	0	0	0	0	0	0	0	0	0	0	0	0	0	107	2447
alignment.nex	hadramautica	11587	222	1.916	0.59	0.41	3462	2171	2490	3242	0	0	0	0	0	0	0	0	0	0	0	0	0	203	19
alignment.nex	hedyotoides	11587	192	1.657	0.598	0.402	3512	2127	2448	3288	1	1	6	8	0	4	0	0	0	0	0	0	0	146	46
alignment.nex	helioscopia	11587	338	2.917	0.593	0.407	3445	2116	2460	3227	0	0	0	1	0	0	0	0	0	0	0	0	0	201	137
alignment.nex	heptagona	11587	313	2.701	0.587	0.413	3428	2167	2484	3194	0	0	1	0	0	0	0	0	0	0	0	0	0	160	153
alignment.nex	herniariifolia	11587	274	2.365	0.593	0.407	3468	2136	2465	3244	0	0	0	0	0	0	0	0	0	0	0	0	0	207	67
alignment.nex	heterophylla	11587	502	4.332	0.599	0.401	3422	2065	2374	3215	1	1	3	1	3	0	0	0	0	0	0	6	0	319	177
alignment.nex	hirsuta	11587	183	1.579	0.595	0.405	3503	2139	2481	3281	0	0	0	0	0	0	0	0	0	0	0	0	0	165	18
alignment.nex	hirta	11587	7130	61.534	0.623	0.377	1372	799	881	1402	0	1	1	0	0	1	0	0	0	0	0	0	0	20	7110
alignment.nex	horrida_1	11587	304	2.624	0.588	0.412	3433	2172	2470	3203	0	1	0	3	0	1	0	0	0	0	0	0	0	166	138
alignment.nex	horrida_2	11587	256	2.209	0.588	0.412	3451	2181	2487	3208	0	0	0	1	2	1	0	0	0	0	0	0	0	166	90
alignment.nex	humifusa	11587	6468	55.821	0.617	0.383	1549	916	1046	1608	0	0	0	0	0	0	0	0	0	0	0	0	0	33	6435
alignment.nex	iharanae	11587	585	5.049	0.6	0.4	3384	2037	2346	3189	0	3	14	20	3	6	0	0	0	0	0	2	0	136	447
alignment.nex	ingens	11587	10292	88.824	0.574	0.426	407	279	273	336	0	0	0	0	0	0	0	0	0	0	0	0	0	176	10116
alignment.nex	insulana	11587	9587	82.739	0.625	0.375	550	363	386	701	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9577
alignment.nex	ipecacuanhae	11587	318	2.744	0.597	0.403	3460	2091	2448	3270	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0
alignment.nex	jaliscensis	11587	9575	82.636	0.614	0.386	558	387	388	677	0	0	1	1	0	0	0	0	0	0	0	0	0	10	9565
alignment.nex	jansenvillensis	11587	392	3.383	0.59	0.41	3416	2140	2447	3186	0	0	3	3	0	0	0	0	0	0	0	0	0	161	231
alignment.nex	kopetdaghi	11587	1915	16.527	0.604	0.396	3026	1769	2056	2816	1	1	2	1	0	0	0	0	0	0	0	0	0	101	1814
alignment.nex	lactea	11587	246	2.123	0.599	0.401	3529	2108	2436	3266	0	0	0	1	1	0	0	0	0	0	0	41	0	165	40
alignment.nex	lactiflua	11587	9570	82.593	0.606	0.394	555	401	394	667	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9565
alignment.nex	lagascae	11587	9565	82.549	0.597	0.403	538	399	415	669	0	0	0	1	0	0	0	0	0	0	0	0	0	5	9560
alignment.nex	larica	11587	10223	88.228	0.531	0.469	393	328	312	331	0	0	0	0	0	0	0	0	0	0	0	0	0	49	10174
alignment.nex	lateriflora	11587	306	2.641	0.596	0.404	3449	2100	2453	3255	1	1	4	14	1	3	0	0	0	0	0	0	0	156	150
alignment.nex	lathyris	11587	256	2.209	0.588	0.412	3450	2168	2495	3217	0	0	0	1	0	0	0	0	0	0	0	0	0	217	39
alignment.nex	leistneri	11587	382	3.297	0.597	0.403	3468	2086	2426	3222	1	0	1	0	0	1	0	0	0	0	0	100	0	171	111
alignment.nex	leucocephala	11587	3193	27.557	0.584	0.416	2493	1639	1851	2410	0	0	0	1	0	0	0	0	0	0	0	0	0	153	3040
alignment.nex	lignosa	11587	1180	10.184	0.588	0.412	3193	2005	2280	2929	0	0	0	0	0	0	0	0	0	0	0	0	0	163	1017
alignment.nex	lomelii	11587	404	3.487	0.599	0.401	3467	2085	2392	3209	3	4	3	10	4	6	0	0	0	0	0	2	0	359	43
alignment.nex	longituberculosa	11587	258	2.227	0.586	0.414	3431	2185	2509	3201	0	0	1	2	0	0	0	0	0	0	0	0	0	191	67
alignment.nex	macropus	11587	9619	83.015	0.619	0.381	544	368	382	674	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9613
alignment.nex	mammillaris	11587	1366	11.789	0.588	0.412	3128	1984	2226	2882	0	0	1	0	0	0	0	0	0	0	0	0	0	163	1203
alignment.nex	mauritanica	11587	210	1.812	0.594	0.406	3495	2134	2477	3264	1	0	2	3	1	0	0	0	0	0	0	0	0	156	54
alignment.nex	mesembryanthemifolia	11587	7307	63.062	0.6	0.4	1359	792	920	1209	0	0	0	0	0	0	0	0	0	0	0	1	0	45	7261
alignment.nex	micracantha	11587	685	5.912	0.607	0.393	3442	1972	2314	3172	0	0	1	1	0	0	0	0	0	0	0	0	0	107	578
