Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Acipenser	1964439	267999	13.643	108513	37251	87639	120153	69522	99658	43511	84737	110202	172956	41610	66495	81721	77425	92332	128012	87988	111302	21554	53859	0	0	0	60	0	0	0	267939
alignment.nex	Alligator	1964439	307485	15.653	106945	35599	84726	119537	66924	95633	42543	85467	110440	168176	39043	66466	82141	76799	88394	124329	85623	104800	20543	52826	0	0	0	61	0	0	0	307424
alignment.nex	Ambystoma	1964439	709595	36.122	79966	26290	67181	89222	52379	72359	32331	65780	84656	126861	31349	50842	59777	55981	66545	92271	64875	80654	15616	39909	0	0	0	57	0	0	0	709538
alignment.nex	Amia	1964439	421031	21.433	101458	33010	80852	109793	62927	90513	39790	74638	98396	159948	37697	58044	74957	70788	87723	114235	78728	102151	19432	48328	0	0	0	62	0	0	0	420969
alignment.nex	Anas	1964439	312746	15.92	106152	35860	84163	119650	67401	94332	41860	84810	110660	167259	38533	67121	81206	75956	86978	125287	85153	106037	20333	52942	0	0	0	48	0	0	0	312698
alignment.nex	Andrias	1964439	529546	26.957	92028	30613	76058	102174	59014	83286	37224	73719	94709	145980	35438	56777	68710	65171	77319	106606	73993	92845	17867	45362	0	0	0	59	0	0	0	529487
alignment.nex	Anolis	1964439	301029	15.324	107413	35981	84613	120189	68407	96426	42755	86417	110370	169738	39107	67550	82700	75388	88801	124786	84921	104093	20827	52928	0	0	0	53	0	0	0	300976
alignment.nex	Atelopus	1964439	555616	28.284	87739	30414	74324	98499	58026	80879	36166	74537	92807	144323	34245	57173	67046	63326	75403	107260	72226	90640	17790	46000	0	0	0	60	0	0	0	555556
alignment.nex	Basiliscus	1964439	890531	45.333	69513	21720	55679	79245	43778	60471	27562	55806	73479	109477	25243	43193	52476	49606	56888	79419	54839	68568	13208	33738	0	0	0	48	0	0	0	890483
alignment.nex	Boa	1964439	567504	28.889	90821	28918	70895	102274	57373	78976	36115	73661	94226	145175	32560	55745	67591	64814	74295	104283	70138	88132	17309	43634	0	0	0	59	0	0	0	567445
alignment.nex	Bombina	1964439	554483	28.226	85735	30392	74172	99534	58087	79916	36663	76185	94435	143371	34049	59441	67059	64094	74466	107379	72999	88747	17526	45706	0	0	0	49	0	0	0	554434
alignment.nex	Caiman	1964439	1290024	65.669	43879	13676	35901	50583	26818	40045	16777	35507	46601	65649	16289	27866	32345	30786	35557	48453	34923	42905	8240	21615	0	0	0	52	0	0	0	1289972
alignment.nex	Callorhinchus	1964439	944626	48.086	63929	22167	53171	71931	42204	58432	26747	54711	67257	105373	24551	41743	47163	46414	55444	72826	52929	66478	13205	33138	0	0	0	51	0	0	0	944575
alignment.nex	Calotriton	1964439	963492	49.047	63450	20353	53717	72358	40949	57197	25981	52308	68969	100573	24433	40283	47933	45264	53769	73615	51953	64231	12157	31454	0	0	0	48	0	0	0	963444
alignment.nex	Canis	1964439	163560	8.326	120289	38720	91352	128782	73568	106119	46761	88143	113235	189227	40490	67841	91912	83157	101564	134983	91241	114979	22847	55669	0	0	0	64	0	0	0	163496
alignment.nex	Carcharodon	1964439	740338	37.687	75506	26304	63901	86876	51023	68185	31585	68003	83626	125321	29727	51922	55986	56237	63924	88060	63751	78490	15651	40023	0	0	0	47	0	0	0	740291
alignment.nex	Caretta	1964439	1507193	76.724	29429	9243	24421	34748	18034	25885	11654	24459	30873	45822	11207	18609	20850	21598	23920	33358	23555	29459	5561	14561	0	0	0	35	0	0	0	1507158
alignment.nex	Carlia	1964439	320976	16.339	105322	35051	83993	117474	67620	94624	42589	84541	108967	169432	38849	65982	81081	75302	87642	124098	84155	104329	20628	51784	0	0	0	60	0	0	0	320916
alignment.nex	Chamaeleo	1964439	592192	30.146	88009	28475	70375	100205	56462	77600	35544	71905	92410	141285	32947	55268	66647	63408	72214	101406	69964	87414	17218	43491	0	0	0	64	0	0	0	592128
alignment.nex	Chelonoidis	1964439	990840	50.439	61175	19779	50434	71681	40097	53684	24954	52237	68044	98321	23396	40123	46469	45501	50178	72343	50461	61819	11697	31206	0	0	0	51	0	0	0	990789
alignment.nex	Chiloscyllium	1964439	446163	22.712	94370	33178	78529	105879	63144	85223	39272	83652	100878	156077	36772	63956	70332	69854	80771	110603	79011	97522	19525	49728	0	0	0	54	0	0	0	446109
alignment.nex	Chinemys	1964439	281473	14.328	107931	35783	85740	122012	67566	97445	42813	87412	112132	170109	40084	68337	83133	77900	89615	127098	87389	106195	20746	53526	0	0	0	61	0	0	0	281412
alignment.nex	Crocodylus	1964439	783558	39.887	74812	24229	61426	86348	48153	67094	30055	62358	80867	119207	28171	48056	57609	54728	61494	87564	61355	75291	14412	37652	0	0	0	57	0	0	0	783501
alignment.nex	Crotalus	1964439	315020	16.036	104873	35443	82912	118927	68433	94225	42529	88583	110131	170789	38716	67694	80417	76337	86309	124429	83856	101794	20755	52267	0	0	0	60	0	0	0	314960
alignment.nex	Cyclorana	1964439	808166	41.14	72355	23856	62569	83275	46960	66284	29226	60978	78175	117403	27797	47362	54719	52375	62242	85648	59339	74507	14290	36913	0	0	0	49	0	0	0	808117
alignment.nex	Cynops	1964439	264882	13.484	107765	37035	89259	120000	70269	97249	44222	88617	111933	173451	41824	68179	81430	76423	90781	128197	88286	109173	21383	54081	0	0	0	62	0	0	0	264820
alignment.nex	Danio	1964439	415373	21.145	99216	34768	81511	107718	63979	90153	40709	75938	96579	161888	38802	59181	73545	69886	88082	117139	79130	102291	19972	48579	0	0	0	62	0	0	0	415311
alignment.nex	Dasypus	1964439	1004349	51.127	63448	20818	48478	68266	40107	55065	25076	48008	61814	102098	21632	36657	47656	43779	52708	72423	48673	61445	12123	29816	0	0	0	46	0	0	0	1004303
alignment.nex	Discoglossus	1964439	1029413	52.402	57445	19045	51111	68263	37926	53931	23491	50850	64529	92806	23093	38733	43483	42165	50400	68454	48357	58592	11529	30823	0	0	0	50	0	0	0	1029363
alignment.nex	Dromaius	1964439	616021	31.359	89268	28593	69729	99515	54352	78308	34171	69334	91215	135757	31686	53573	64796	61471	72368	98830	68830	87258	16519	42845	0	0	0	58	0	0	0	615963
alignment.nex	Echis	1964439	315036	16.037	105157	35819	82818	118718	68720	94236	42430	88813	110090	170666	38492	67722	80046	76112	86572	123627	83997	101976	20872	52520	0	0	0	58	0	0	0	314978
alignment.nex	Elgaria	1964439	585835	29.822	90201	28552	71087	100146	56549	79914	35529	70828	92172	140916	32666	54887	67594	62982	73312	101886	69991	88702	17221	43469	0	0	0	58	0	0	0	585777
alignment.nex	Emys	1964439	1157684	58.932	51409	16176	41668	58951	33595	46034	20401	43150	55944	81146	19409	32435	39044	36913	42074	58654	41878	51754	10080	26040	0	0	0	52	0	0	0	1157632
alignment.nex	Espadarana	1964439	1505319	76.628	29064	9311	25094	34000	18319	26612	11420	24179	33908	45426	11198	18340	20705	20516	25060	32336	23400	30103	5613	14516	0	0	0	45	0	0	0	1505274
alignment.nex	Eublepharis	1964439	448923	22.852	99593	32483	77442	110321	61791	87555	38794	77609	101084	155239	35469	60112	74020	69331	81388	113120	76631	96754	18965	47815	0	0	0	59	0	0	0	448864
alignment.nex	Felis	1964439	263568	13.417	112974	36754	86473	121121	69910	100673	44368	83300	106939	178162	38046	64138	86666	78045	95626	127039	86707	109916	21457	52557	0	0	0	58	0	0	0	263510
alignment.nex	Gallus	1964439	182053	9.267	118870	38817	90366	129074	71830	103330	45340	89157	116289	181692	41598	69944	88846	81100	97717	135079	90504	114310	22179	56344	0	0	0	61	0	0	0	181992
alignment.nex	Geotrypetes	1964439	1016179	51.729	59623	19426	49624	69471	38500	54522	24189	50915	65640	94384	23001	38669	45203	44226	50676	70376	49152	58684	11574	30405	0	0	0	55	0	0	0	1016124
alignment.nex	Ginglymostoma	1964439	673378	34.278	80015	27671	67503	91247	53515	72121	33302	70701	87163	133144	31174	54128	59522	59526	68529	93377	66715	83107	16554	42047	0	0	0	47	0	0	0	673331
alignment.nex	Homo	1964439	103755	5.282	123725	40021	94095	133083	76154	109412	48273	91592	117259	195567	42188	70605	94658	85597	104347	140068	94438	118722	23538	57342	0	0	0	65	0	0	0	103690
alignment.nex	Hymenochirus	1964439	808240	41.144	69547	24804	61655	82875	48022	66553	29553	63661	79390	115798	27999	49309	53429	51787	61219	85751	59455	73104	14408	37880	0	0	0	55	0	0	0	808185
alignment.nex	Hynobius	1964439	483174	24.596	94551	31366	78538	104579	60942	86691	38559	76819	97296	149241	36742	59731	71543	66738	79072	110191	77449	95416	18569	47232	0	0	0	60	0	0	0	483114
alignment.nex	Iguana	1964439	863739	43.969	71390	22252	56880	81036	45008	62018	28304	57274	75121	112865	25849	44042	53846	50994	57868	81113	56247	70461	13411	34721	0	0	0	53	0	0	0	863686
alignment.nex	Lampropholis	1964439	447666	22.788	96694	32341	77776	108614	62318	86948	39543	78686	100632	157254	35932	60926	74281	69434	80455	113799	77704	96435	19116	47885	0	0	0	55	0	0	0	447611
alignment.nex	Latimeria	1964439	313394	15.953	103092	35733	83952	118690	68182	94685	41521	86923	112138	166498	39616	67664	79621	75733	86986	123269	86226	106115	20768	53633	0	0	0	58	0	0	0	313336
alignment.nex	Lepidosiren	1964439	290777	14.802	103772	37124	87080	118774	69946	94318	43721	90685	113267	168959	40054	68238	78687	74819	86529	125479	87782	108525	21078	54825	0	0	0	65	0	0	0	290712
alignment.nex	Lepisosteus	1964439	200296	10.196	116780	38857	90742	125556	72230	104516	44766	85636	111264	181272	42110	66172	86853	79995	100696	132074	89658	116508	22530	55928	0	0	0	66	0	0	0	200230
alignment.nex	Lepisosteus_copy	1964439	297212	15.13	111015	36439	86030	118929	68018	98478	42375	80443	105157	171745	39705	62316	82136	75844	95315	124668	84704	110249	21094	52567	0	0	0	61	0	0	0	297151
alignment.nex	Leucoraja	1964439	815170	41.496	72490	25266	60764	80254	47573	65160	30357	62373	76005	118563	28430	47959	52283	52680	61775	81712	59287	74210	14799	37329	0	0	0	48	0	0	0	815122
alignment.nex	Loxodonta	1964439	200638	10.214	116894	37879	89468	126004	72217	103464	45717	86330	111277	185051	39651	66959	89644	81187	98562	132666	90370	113264	22297	54900	0	0	0	63	0	0	0	200575
alignment.nex	Macropus	1964439	814230	41.448	73823	24853	57974	81667	47329	66845	30129	58202	73836	120964	26470	44697	58403	52857	62509	87360	59007	72818	14532	35934	0	0	0	50	0	0	0	814180
alignment.nex	Megophrys	1964439	946133	48.163	62839	21195	54910	72347	41492	58547	26276	54457	69324	101210	24660	42616	48675	45813	54968	76104	52963	64503	12468	32939	0	0	0	47	0	0	0	946086
alignment.nex	Meleagris	1964439	365558	18.609	103625	34644	81551	115983	64924	91220	40858	81751	106435	161732	37204	64342	78914	73715	85207	122134	81985	102161	19689	50807	0	0	0	48	0	0	0	365510
alignment.nex	Micrurus	1964439	469638	23.907	95513	31932	75187	107596	62192	85564	38503	80490	99646	154615	35121	61279	72398	68751	78083	112572	76305	92903	18812	47339	0	0	0	54	0	0	0	469584
alignment.nex	Monodelphis	1964439	228325	11.623	110543	37167	88008	124102	71659	101125	44870	89894	113127	180494	40213	69168	87399	79796	93801	131094	89117	108258	21837	54442	0	0	0	60	0	0	0	228265
alignment.nex	Mus	1964439	122140	6.218	123296	40013	93516	130685	75397	108406	48174	88297	114546	194586	41781	68025	93425	85038	104371	139574	93899	119137	23415	56718	0	0	0	65	0	0	0	122075
alignment.nex	Neoceratodus	1964439	659440	33.569	83200	27334	68376	94808	53331	74720	32927	68947	88948	130921	31719	52508	62277	59402	69123	95112	68308	84725	16371	41942	0	0	0	57	0	0	0	659383
alignment.nex	Neotrygon	1964439	1777791	90.499	11949	3814	10235	13353	7791	10969	4534	10736	13536	18535	4583	8172	7871	8301	9260	12277	9738	12212	2390	6392	0	0	0	20	0	0	0	1777771
alignment.nex	Notophthalmus	1964439	1734973	88.319	14657	4454	12347	16914	9494	13229	5513	12179	16834	22706	5663	9310	10956	10122	12252	16234	11829	14555	2869	7349	0	0	0	29	0	0	0	1734944
alignment.nex	Opheodrys	1964439	323884	16.487	104070	35178	82563	118337	68323	93380	42140	88625	110254	169576	38436	67746	79432	75345	85814	123061	84035	101407	20596	52237	0	0	0	57	0	0	0	323827
alignment.nex	Ophiophagus	1964439	922065	46.938	67334	21777	53301	75367	42874	61512	26600	56352	69597	105792	24922	42609	50215	47911	54765	75680	53518	65834	13168	33246	0	0	0	54	0	0	0	922011
alignment.nex	Ornithorhynchus	1964439	681045	34.669	84775	27443	65586	91711	53261	76797	32480	63213	82095	133337	28592	49655	65120	58361	71795	95385	65178	82865	16226	39519	0	0	0	39	0	0	0	681006
alignment.nex	Pantherophis	1964439	321106	16.346	104291	35343	82888	118603	68303	93804	42231	88839	110135	169760	38655	68059	79654	75409	86043	122855	84046	101557	20660	52198	0	0	0	61	0	0	0	321045
alignment.nex	Pelodiscus	1964439	75565	3.847	122251	40899	95269	136190	76443	109210	48314	97259	124501	192935	44503	75774	93643	87205	101106	143473	97547	118980	23484	59888	0	0	0	65	0	0	0	75500
alignment.nex	Pelophylax	1964439	544525	27.719	88251	30523	75049	100116	58064	81430	36704	75460	94504	143530	34513	58452	68545	63774	76323	106175	73882	90574	17702	46343	0	0	0	63	0	0	0	544462
alignment.nex	Pelophylax_copy	1964439	854751	43.511	69214	23404	59564	79054	45610	64187	28419	58712	74162	112443	27090	45525	52748	49604	58888	82380	57533	71536	13860	35755	0	0	0	55	0	0	0	854696
alignment.nex	Pelusios	1964439	357328	18.19	103875	33896	81730	117088	65026	92279	41218	83078	107154	164575	38172	64421	78630	74364	85568	120569	82681	102068	19953	50766	0	0	0	63	0	0	0	357265
alignment.nex	Phrynops	1964439	1496067	76.157	29806	9458	23716	32017	20727	26921	12094	25830	30677	47831	11404	18769	23387	20702	23675	34102	24716	30822	5966	15752	0	0	0	43	0	0	0	1496024
alignment.nex	Pipa	1964439	1276590	64.985	42769	13834	37717	50874	28127	40159	17080	37615	48844	68295	16807	28403	30687	30695	36783	49344	34915	43800	8652	22449	0	0	0	52	0	0	0	1276538
alignment.nex	Pleurodeles	1964439	205880	10.48	111215	38277	92509	124161	72500	101018	45708	91309	115533	178889	43118	70609	84704	79225	94316	133034	91581	113012	21965	55876	0	0	0	65	0	0	0	205815
alignment.nex	Podarcis	1964439	1705203	86.804	17517	5182	14086	18920	10330	15636	6476	14080	17350	25385	6552	10703	11857	11526	13471	17968	13347	17055	3235	8560	0	0	0	24	0	0	0	1705179
alignment.nex	Pogona	1964439	1509652	76.849	29735	9097	24193	33881	18939	26667	11162	24964	31793	45267	11015	18535	20830	19878	23763	31180	23124	30053	5796	14915	0	0	0	42	0	0	0	1509610
alignment.nex	Polypterus	1964439	319853	16.282	101695	36338	85735	116549	69389	93261	42217	88257	110627	168041	39926	67312	77047	74117	87254	123143	84066	105855	20859	52898	0	0	0	62	0	0	0	319791
alignment.nex	Proteus	1964439	1148761	58.478	52572	16507	43575	58712	33654	47768	20939	42868	55833	80969	20603	32978	39314	36612	43374	59016	42144	52117	9982	26141	0	0	0	46	0	0	0	1148715
alignment.nex	Protopterus	1964439	373456	19.011	98712	34715	83494	113101	66768	89790	41194	86156	108496	160226	38232	65314	74637	70809	82254	118038	83470	103362	20199	52016	0	0	0	65	0	0	0	373391
alignment.nex	Protopterus_copy	1964439	559602	28.487	87462	30108	74125	100247	58977	79246	36164	76169	96463	141703	33775	57327	65539	62569	72776	103517	73362	91726	17690	45892	0	0	0	60	0	0	0	559542
alignment.nex	Python	1964439	429406	21.859	98846	32549	77650	111544	63353	88119	39312	81724	102946	157623	35880	62265	74518	70710	81139	115061	77917	96084	19191	48602	0	0	0	60	0	0	0	429346
alignment.nex	Raja	1964439	429209	21.849	97623	33872	80335	106501	63345	87631	40285	82870	100236	158324	37429	63501	71065	70000	83848	110624	79215	99033	19846	49647	0	0	0	56	0	0	0	429153
alignment.nex	Rana	1964439	700343	35.651	77759	26911	67615	89779	52109	72526	32768	67035	84881	128528	30947	51939	59828	56785	67602	93719	65653	80821	15858	41033	0	0	0	56	0	0	0	700287
alignment.nex	Rhinatrema	1964439	363766	18.518	103157	34257	82193	115035	65731	91989	40704	83581	105459	164774	38642	63471	76718	73957	86264	120023	81659	101755	20273	51031	0	0	0	61	0	0	0	363705
alignment.nex	Salamandra	1964439	669666	34.089	81998	27788	69014	91766	53750	75142	33494	68045	86175	130532	31910	52553	61841	57691	68426	95882	67454	83680	16094	41538	0	0	0	61	0	0	0	669605
alignment.nex	Saproscincus	1964439	324241	16.506	104893	34734	83810	117304	67342	94510	42581	84874	108510	169335	38921	65964	81038	75203	87227	123978	83926	103844	20611	51593	0	0	0	59	0	0	0	324182
alignment.nex	Sarcophilus	1964439	324992	16.544	102925	34945	83181	117809	67728	95037	42157	85861	108263	169528	37875	66418	81969	75757	87322	123717	84681	101871	20574	51829	0	0	0	55	0	0	0	324937
alignment.nex	Sceloporus	1964439	518113	26.375	94103	30226	73726	104966	59300	83283	37471	74952	96393	148936	34150	57836	71177	66338	76616	107649	73805	91760	18128	45511	0	0	0	54	0	0	0	518059
alignment.nex	Scincella	1964439	446499	22.729	101070	32280	78003	108905	62050	88531	39190	76316	99194	157112	35383	59279	74970	69552	82000	113135	76889	97812	19087	47182	0	0	0	57	0	0	0	446442
alignment.nex	Scyliorhinus	1964439	363664	18.512	100666	34968	83447	112174	66175	91156	41380	86961	106253	163481	38994	66667	74489	73581	86366	116357	82977	102369	20465	51849	0	0	0	61	0	0	0	363603
alignment.nex	Siren	1964439	1193410	60.751	48945	15861	42350	55927	31826	45052	19672	41192	53508	76217	18910	31119	35592	34195	41439	55244	40268	49367	9408	24937	0	0	0	46	0	0	0	1193364
alignment.nex	Sistrurus	1964439	848228	43.179	71926	22976	56961	81133	46350	64017	28740	60600	76377	114080	26282	45811	54190	51567	58643	81174	56827	69156	13891	35510	0	0	0	57	0	0	0	848171
alignment.nex	Sphenodon	1964439	1546825	78.741	28442	8042	22430	31444	16782	25820	10125	21243	29112	40793	10332	16397	20091	18476	22554	28629	21317	27123	5085	13377	0	0	0	41	0	0	0	1546784
alignment.nex	Sternotherus	1964439	382381	19.465	102168	33469	80583	114514	63909	91875	40519	81173	104986	162181	37445	63060	78296	72895	84699	118714	81434	100631	19638	49869	0	0	0	61	0	0	0	382320
alignment.nex	Struthio	1964439	214232	10.906	116440	37808	88758	126615	70767	100684	44432	88324	115236	178806	40602	69391	86501	79879	95261	132280	89232	112027	21663	55501	0	0	0	58	0	0	0	214174
alignment.nex	Taeniopygia	1964439	305561	15.555	110060	36130	83946	120012	67687	96361	42478	83406	108391	169964	38410	65088	82617	76293	90138	125037	83661	106246	20763	52190	0	0	0	58	0	0	0	305503
alignment.nex	Takifugu	1964439	501855	25.547	95228	33101	76607	100224	60686	85883	39009	70410	89458	154814	36519	55024	69403	65924	83826	108608	74683	97840	19153	46184	0	0	0	53	0	0	0	501802
alignment.nex	Tarentola	1964439	176984	9.009	117164	38493	90690	129703	72443	103196	45840	90860	117586	183433	41968	70640	88928	81866	96566	134833	90988	113445	22307	56506	0	0	0	64	0	0	0	176920
