Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	CY07	2238	720	32.172	0.59	0.41	415	328	293	479	0	2	0	1	0	0	0	0	0	0	0	720	0	0	0
alignment.nex	DN1314a	2238	941	42.046	0.685	0.315	420	197	211	468	1	0	0	0	0	0	0	0	0	0	0	941	0	0	0
alignment.nex	DN1315	2238	880	39.321	0.681	0.319	437	211	222	483	1	0	1	0	0	3	0	0	0	0	0	880	0	0	0
alignment.nex	DN1317	2238	4	0.179	0.606	0.394	670	445	436	683	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
alignment.nex	DN1319	2238	705	31.501	0.598	0.402	425	325	291	492	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0
alignment.nex	DN1320	2238	705	31.501	0.6	0.4	426	319	293	492	0	0	0	2	0	1	0	0	0	0	0	705	0	0	0
alignment.nex	DN1321	2238	705	31.501	0.599	0.401	421	321	294	496	0	0	0	1	0	0	0	0	0	0	0	705	0	0	0
alignment.nex	DN1328	2238	140	6.256	0.606	0.394	630	419	407	642	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
alignment.nex	DN1329	2238	41	1.832	0.61	0.39	664	430	426	677	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
alignment.nex	DN1330	2238	709	31.68	0.603	0.397	426	313	294	496	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0
alignment.nex	DN1331	2238	713	31.859	0.603	0.397	423	313	293	496	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0
alignment.nex	DN1378	2238	706	31.546	0.596	0.404	416	318	300	497	0	0	0	1	0	0	0	0	0	0	0	706	0	0	0
alignment.nex	DN1402	2238	1477	65.996	0.717	0.283	227	114	101	319	0	0	0	0	0	0	0	0	0	0	0	1477	0	0	0
alignment.nex	DNB1314b	2238	1549	69.214	0.729	0.271	205	96	91	297	0	0	0	0	0	0	0	0	0	0	0	1549	0	0	0
alignment.nex	KY2	2238	724	32.35	0.599	0.401	415	318	289	491	0	1	0	0	0	0	0	0	0	0	0	724	0	0	0
alignment.nex	SF008	2238	762	34.048	0.595	0.405	393	313	285	485	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0
alignment.nex	SF009	2238	705	31.501	0.598	0.402	425	320	294	491	0	0	1	0	2	0	0	0	0	0	0	705	0	0	0
alignment.nex	SF010	2238	1476	65.952	0.722	0.278	230	112	100	320	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	0
alignment.nex	dn101	2238	0	0.0	0.593	0.407	667	467	443	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn111	2238	0	0.0	0.593	0.407	668	467	443	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn112	2238	48	2.145	0.606	0.394	663	434	429	664	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0
alignment.nex	dn1182	2238	0	0.0	0.601	0.399	656	446	448	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1188	2238	705	31.501	0.598	0.402	414	318	298	503	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0
alignment.nex	dn1193	2238	0	0.0	0.609	0.391	671	435	440	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1202	2238	4	0.179	0.612	0.388	680	437	430	687	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
alignment.nex	dn1215	2238	0	0.0	0.608	0.392	670	438	439	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1219	2238	0	0.0	0.614	0.386	681	434	430	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1220	2238	0	0.0	0.601	0.399	669	455	437	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1232	2238	0	0.0	0.607	0.393	668	444	436	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1236a	2238	0	0.0	0.61	0.39	674	441	432	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1236b	2238	0	0.0	0.61	0.39	674	441	432	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn1262	2238	1	0.045	0.612	0.388	678	435	432	692	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
alignment.nex	dn1277	2238	0	0.0	0.609	0.391	675	434	441	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn130	2238	705	31.501	0.604	0.396	421	318	289	505	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0
alignment.nex	dn134	2238	0	0.0	0.609	0.391	682	436	438	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn150	2238	0	0.0	0.611	0.389	684	438	433	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn152	2238	0	0.0	0.609	0.391	682	436	438	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn156	2238	0	0.0	0.608	0.392	682	438	439	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	dn158	2238	0	0.0	0.609	0.391	670	430	444	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
