Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Ailuropoda	15117	960	6.35	0.476	0.524	3615	3783	3635	3124	0	0	0	0	0	0	0	0	0	0	0	1	0	533	426
alignment.nex	Amblysomus	15117	2591	17.14	0.524	0.476	3444	3041	2915	3125	0	0	1	0	0	0	0	0	0	0	0	13	0	364	2214
alignment.nex	Antrozous	15117	5286	34.967	0.482	0.518	2545	2544	2551	2188	1	0	0	2	0	0	0	0	0	0	0	7	0	614	4665
alignment.nex	Artibeus	15117	3253	21.519	0.474	0.526	2985	3148	3085	2640	0	0	3	1	0	2	0	0	0	0	0	401	0	281	2571
alignment.nex	Bos	15117	64	0.423	0.487	0.513	3896	3980	3743	3434	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
alignment.nex	Callithrix	15117	357	2.362	0.502	0.498	3939	3716	3634	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	36	321
alignment.nex	Canis	15117	390	2.58	0.476	0.524	3731	3915	3796	3285	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0
alignment.nex	Castor	15117	1527	10.101	0.5	0.5	3577	3458	3340	3209	1	0	2	3	0	0	0	0	0	0	0	0	0	192	1335
alignment.nex	Cavia	15117	2853	18.873	0.478	0.522	2958	3291	3114	2901	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2823
alignment.nex	Ceratotherium	15117	7560	50.01	0.48	0.52	1818	2007	1920	1812	0	0	0	0	0	0	0	0	0	0	0	1	0	92	7467
alignment.nex	Chaetophractus	15117	2631	17.404	0.496	0.504	3282	3255	3032	2916	0	0	1	0	0	0	0	0	0	0	0	40	0	170	2421
alignment.nex	Choloepusdi	15117	3905	25.832	0.472	0.528	2832	2956	2963	2457	0	0	1	3	0	0	0	0	0	0	0	8	0	57	3840
alignment.nex	Choloepusho	15117	3960	26.196	0.535	0.465	3195	2666	2517	2779	0	0	0	0	0	0	0	0	0	0	0	282	0	93	3585
alignment.nex	Cynocephalus	15117	1701	11.252	0.506	0.494	3571	3377	3254	3212	0	0	1	0	1	0	0	0	0	0	0	1	0	320	1380
alignment.nex	Dasypus	15117	4634	30.654	0.484	0.516	2765	2811	2600	2307	0	0	0	0	0	0	0	0	0	0	0	422	0	123	4089
alignment.nex	Didelphis	15117	5340	35.324	0.528	0.472	2794	2305	2308	2363	2	0	4	1	0	0	0	0	0	0	0	1	0	2156	3183
alignment.nex	Dipodomys	15117	1867	12.35	0.466	0.534	3228	3696	3376	2947	0	0	2	1	0	0	0	0	0	0	0	0	0	1546	321
alignment.nex	Dromiciops	15117	6668	44.109	0.5	0.5	2331	2152	2067	1894	0	0	3	2	0	0	0	0	0	0	0	3	0	1820	4845
alignment.nex	Echinops	15117	1904	12.595	0.472	0.528	3281	3597	3381	2954	0	0	0	0	0	0	0	0	0	0	0	16	0	448	1440
alignment.nex	Elephantulus	15117	1958	12.952	0.523	0.477	3631	3176	3107	3245	0	0	0	0	0	0	0	0	0	0	0	5	0	780	1173
alignment.nex	Equus	15117	37	0.245	0.494	0.506	3944	3893	3739	3504	0	0	0	0	0	0	0	0	0	0	0	1	0	36	0
alignment.nex	Erethizon	15117	422	2.792	0.479	0.521	3705	3882	3772	3333	0	0	0	3	0	0	0	0	0	0	0	1	0	421	0
alignment.nex	Erinaceus	15117	1006	6.655	0.501	0.499	3722	3630	3409	3350	0	0	0	0	0	0	0	0	0	0	0	140	0	155	711
alignment.nex	Euphractus	15117	3868	25.587	0.488	0.512	2904	2935	2824	2585	0	0	1	0	0	0	0	0	0	0	0	7	0	105	3756
alignment.nex	Felis	15117	442	2.924	0.488	0.512	3800	3832	3686	3357	0	0	0	0	0	0	0	0	0	0	0	1	0	441	0
alignment.nex	Galemys	15117	6191	40.954	0.506	0.494	2431	2263	2147	2085	0	0	0	0	0	0	0	0	0	0	0	14	0	246	5931
alignment.nex	Galeopterus	15117	696	4.604	0.495	0.505	3776	3721	3560	3364	0	0	0	0	0	0	0	0	0	0	0	12	0	480	204
alignment.nex	Gorilla	15117	1059	7.005	0.504	0.496	3783	3504	3463	3308	0	0	0	0	0	0	0	0	0	0	0	205	0	533	321
alignment.nex	Hippopotamus	15117	2478	16.392	0.471	0.529	3145	3386	3303	2805	0	0	0	0	0	0	0	0	0	0	0	13	0	230	2235
alignment.nex	Homo	15117	15	0.099	0.501	0.499	3997	3809	3724	3572	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
alignment.nex	Hydrochoerus	15117	3343	22.114	0.471	0.529	2779	3203	3031	2761	0	0	0	0	0	0	0	0	0	0	0	3	0	313	3027
alignment.nex	Hystrix	15117	2963	19.6	0.486	0.514	3153	3196	3046	2759	0	0	0	0	0	0	0	0	0	0	0	14	0	600	2349
alignment.nex	Lama	15117	1268	8.388	0.485	0.515	3609	3608	3519	3113	0	0	0	0	0	0	0	0	0	0	0	4	0	289	975
alignment.nex	Lemur	15117	999	6.608	0.484	0.516	3644	3705	3574	3191	0	0	3	1	0	0	0	0	0	0	0	5	0	94	900
alignment.nex	Loxodonta	15117	427	2.825	0.504	0.496	3931	3712	3579	3468	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0
alignment.nex	Macaca	15117	23	0.152	0.504	0.496	4020	3806	3685	3581	0	0	1	1	0	0	0	0	0	0	0	0	0	23	0
alignment.nex	Macropus	15117	746	4.935	0.507	0.493	3835	3641	3451	3444	0	0	0	0	0	0	0	0	0	0	0	111	0	635	0
