Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	callisaurus_draconoides	358363	15958	4.453	0.616	0.384	106879	65564	65978	103984	0	0	0	0	0	0	0	0	0	0	0	0	0	11167	4791
alignment.nex	cophosaurus_texanus	358363	32374	9.034	0.615	0.385	101647	62703	62836	98803	0	0	0	0	0	0	0	0	0	0	0	0	0	26023	6351
alignment.nex	gambelia_wislizenii	358363	51927	14.49	0.616	0.384	95382	58554	59049	93451	0	0	0	0	0	0	0	0	0	0	0	0	0	31090	20837
alignment.nex	holbrookia_maculata	358363	27292	7.616	0.615	0.385	103140	63653	63692	100586	0	0	0	0	0	0	0	0	0	0	0	0	0	21060	6232
alignment.nex	liolaemus_darwinii	358363	18586	5.186	0.615	0.385	105796	65471	65496	103014	0	0	0	0	0	0	0	0	0	0	0	0	0	16939	1647
alignment.nex	petrosaurus_thalassinus	358363	99890	27.874	0.62	0.38	81159	48935	49272	79107	0	0	0	0	0	0	0	0	0	0	0	0	0	61416	38474
alignment.nex	phrynosoma_sherbrookei	358363	13047	3.641	0.617	0.383	107992	65812	66338	105174	0	0	0	0	0	0	0	0	0	0	0	0	0	10624	2423
alignment.nex	sceloporus_occidentalis	358363	45420	12.674	0.62	0.38	98207	59174	59666	95896	0	0	0	0	0	0	0	0	0	0	0	0	0	17151	28269
alignment.nex	uma_notata	358363	29902	8.344	0.616	0.384	102497	62873	63338	99753	0	0	0	0	0	0	0	0	0	0	0	0	0	26894	3008
alignment.nex	urosaurus_ornatus	358363	22712	6.338	0.616	0.384	104761	64328	64673	101889	0	0	0	0	0	0	0	0	0	0	0	0	0	19728	2984
alignment.nex	uta_stansburiana	358363	42476	11.853	0.619	0.381	99069	59975	60363	96480	0	0	0	0	0	0	0	0	0	0	0	0	0	12392	30084
