Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Achrophyllum_magellanicum	250581	21273	8.489	0.554	0.446	63358	45466	56779	63705	0	0	0	0	0	0	0	0	0	0	0	0	0	21273	0
alignment.nex	Alophozia_azorica_4061	250581	94176	37.583	0.598	0.402	45991	27668	35206	47540	0	0	0	0	0	0	0	0	0	0	0	0	0	94176	0
alignment.nex	Ambuchanania	250581	185940	74.204	0.631	0.369	19015	11035	12799	21792	0	0	0	0	0	0	0	0	0	0	0	0	0	31392	154548
alignment.nex	Ambuchanania_ND1	250581	149547	59.68	0.517	0.483	26833	21664	27107	25430	0	0	0	0	0	0	0	0	0	0	0	0	0	53514	96033
alignment.nex	Andreaea_2746	250581	187449	74.806	0.592	0.408	17580	11655	14128	19769	0	0	0	0	0	0	0	0	0	0	0	0	0	187449	0
alignment.nex	Andreaea_wilsonii	250581	158571	63.281	0.661	0.339	28983	14387	16767	31873	0	0	0	0	0	0	0	0	0	0	0	0	0	4023	154548
alignment.nex	Andreaea_wilsonii_4011	250581	188421	75.194	0.514	0.486	16629	13119	17060	15352	0	0	0	0	0	0	0	0	0	0	0	0	0	92388	96033
alignment.nex	Andreaeobryum_macrosporum	250581	171312	68.366	0.65	0.35	24422	12802	14903	27142	0	0	0	0	0	0	0	0	0	0	0	0	0	16764	154548
alignment.nex	Andreaeobryum_macrosporum_4020	250581	226836	90.524	0.524	0.476	6586	4784	6525	5850	0	0	0	0	0	0	0	0	0	0	0	0	0	130803	96033
alignment.nex	Anomodon_2750	250581	2493	0.995	0.56	0.44	69057	48449	60654	69928	0	0	0	0	0	0	0	0	0	0	0	0	0	2493	0
alignment.nex	Aphanorrhegma_serratum_2288	250581	5580	2.227	0.577	0.423	70325	46057	57651	70968	0	0	0	0	0	0	0	0	0	0	0	0	0	5580	0
alignment.nex	Atrichopsis_compressus	250581	158856	63.395	0.67	0.33	29095	13830	16444	32356	0	0	0	0	0	0	0	0	0	0	0	0	0	4308	154548
alignment.nex	Atrichopsis_compressus_4057	250581	178548	71.254	0.505	0.495	18841	15442	20186	17564	0	0	0	0	0	0	0	0	0	0	0	0	0	82515	96033
alignment.nex	Atrichum_fruiting_2742	250581	106224	42.391	0.614	0.386	43416	24477	31202	45262	0	0	0	0	0	0	0	0	0	0	0	0	0	106224	0
alignment.nex	Aulacomnium_heterostichum_3826	250581	5727	2.285	0.559	0.441	68365	48192	59738	68559	0	0	0	0	0	0	0	0	0	0	0	0	0	5727	0
alignment.nex	Aulacomnium_palustre_3676	250581	5619	2.242	0.56	0.44	68330	47944	59791	68897	0	0	0	0	0	0	0	0	0	0	0	0	0	5619	0
alignment.nex	Baldwiniella_kealeensis_3770	250581	6111	2.439	0.563	0.437	68383	47302	59430	69355	0	0	0	0	0	0	0	0	0	0	0	0	0	6111	0
alignment.nex	Bartramia_2747	250581	13245	5.286	0.568	0.432	67365	45426	57031	67514	0	0	0	0	0	0	0	0	0	0	0	0	0	13245	0
alignment.nex	Bazzania	250581	165408	66.01	0.625	0.375	25696	14928	17021	27528	0	0	0	0	0	0	0	0	0	0	0	0	0	10860	154548
alignment.nex	Bescherellia_brevifolia	250581	155265	61.962	0.678	0.322	30912	14077	16596	33731	0	0	0	0	0	0	0	0	0	0	0	0	0	717	154548
alignment.nex	Bescherellia_elegantissima	250581	2187	0.873	0.564	0.436	69483	47979	60216	70716	0	0	0	0	0	0	0	0	0	0	0	0	0	2187	0
alignment.nex	Bescherellia_elegantissima_3559	250581	99444	39.685	0.493	0.507	38052	33473	43155	36457	0	0	0	0	0	0	0	0	0	0	0	0	0	3411	96033
alignment.nex	Blindia_acuta_3628	250581	29706	11.855	0.572	0.428	62609	41174	53253	63839	0	0	0	0	0	0	0	0	0	0	0	0	0	29706	0
alignment.nex	Braithwaithea_sulcata	250581	2904	1.159	0.563	0.437	69314	48094	60035	70234	0	0	0	0	0	0	0	0	0	0	0	0	0	2904	0
alignment.nex	Braunia_secunda	250581	7287	2.908	0.555	0.445	67876	49036	59289	67093	0	0	0	0	0	0	0	0	0	0	0	0	0	7287	0
