Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	0_GU234024_Russula_sp_O73614	3927	3416	86.988	0.513	0.487	120	132	117	142	0	0	0	0	0	0	0	0	0	0	0	0	0	3416	0
alignment.nex	1000_GQ268662_uncultured_Russula	3927	3407	86.758	0.504	0.496	120	132	126	142	0	0	0	0	0	0	0	0	0	0	0	0	0	3403	4
alignment.nex	1001_JF273539_Russula_rosea	3927	3377	85.994	0.513	0.487	130	138	130	152	0	0	0	0	0	0	0	0	0	0	0	0	0	3377	0
alignment.nex	1002_AJ937985_uncultured_Russulaceae	3927	3422	87.14	0.511	0.489	118	129	118	140	0	0	0	0	0	0	0	0	0	0	0	0	0	3419	3
alignment.nex	1003_JF960807_uncultured_Russula	3927	3369	85.791	0.527	0.473	132	135	129	162	0	0	0	0	0	0	0	0	0	0	0	0	0	3369	0
alignment.nex	1004_AF096978_Russula_rosacea	3927	3407	86.758	0.517	0.483	125	133	118	144	0	0	0	0	0	0	0	0	0	0	0	0	0	3397	10
alignment.nex	1006_JF834367_Russula_sp_r06012	3927	2160	55.004	0.505	0.495	453	403	472	439	0	0	0	0	0	0	0	0	0	0	0	0	0	2160	0
alignment.nex	1007_EU598162_Russula_cf_flavisiccans_BB2004254	3927	3378	86.02	0.543	0.457	135	126	125	163	0	0	0	0	0	0	0	0	0	0	0	0	0	3377	1
alignment.nex	1009_EU019944_Russula_reddellii	3927	3443	87.675	0.55	0.45	117	107	111	149	0	0	0	0	0	0	0	0	0	0	0	0	0	3443	0
alignment.nex	100_FM999630_uncultured_fungus	3927	3529	89.865	0.497	0.503	99	107	93	99	0	0	0	0	0	0	0	0	0	0	0	0	0	3527	2
alignment.nex	1010_GQ268651_uncultured_Russula	3927	3414	86.937	0.546	0.454	124	115	118	156	0	0	0	0	0	0	0	0	0	0	0	0	0	3412	2
alignment.nex	1011_FR731643_uncultured_ectomycorrhizal_fungus	3927	3363	85.638	0.576	0.424	142	116	123	183	0	0	0	0	0	0	0	0	0	0	0	0	0	3363	0
alignment.nex	1012_AY239303_Gymnomyces_compactus	3927	3446	87.751	0.522	0.478	114	118	112	137	0	0	0	0	0	0	0	0	0	0	0	0	0	3446	0
alignment.nex	1013_FJ789601_Gymnomyces_sp_SOC1071	3927	3529	89.865	0.538	0.462	100	93	91	114	0	0	0	0	0	0	0	0	0	0	0	0	0	3529	0
alignment.nex	1014_AY239306_Gymnomyces_ellipsosporus	3927	3362	85.612	0.519	0.481	139	143	129	154	0	0	0	0	0	0	0	0	0	0	0	0	0	3362	0
alignment.nex	1015_DQ028476_Gymnomyces_xerophilus	3927	3410	86.835	0.518	0.482	127	127	122	141	0	0	0	0	0	0	0	0	0	0	0	0	0	3409	1
alignment.nex	1016_AY878656_uncultured_Russula	3927	3403	86.656	0.515	0.485	132	138	116	138	0	0	0	0	0	0	0	0	0	0	0	0	0	3403	0
alignment.nex	1017_DQ403803_Gymnomyces_redolens	3927	3402	86.631	0.531	0.469	130	129	117	149	0	0	0	0	0	0	0	0	0	0	0	0	0	3399	3
alignment.nex	101_GQ359818_Russulaceae_sp_4_MAS2010	3927	3379	86.045	0.487	0.513	122	151	130	145	0	0	0	0	0	0	0	0	0	0	0	0	0	3379	0
alignment.nex	1021_GU222323_Macowanites_carmineus	3927	3398	86.529	0.501	0.499	118	139	125	147	0	0	0	0	0	0	0	0	0	0	0	0	0	3398	0
alignment.nex	1022_HQ285393_uncultured_Russula	3927	3388	86.275	0.488	0.512	118	149	127	145	0	0	0	0	0	0	0	0	0	0	0	0	0	3388	0
alignment.nex	1023_AY061686_Russula_lepida	3927	3383	86.147	0.529	0.471	129	131	125	159	0	0	0	0	0	0	0	0	0	0	0	0	0	3378	5
alignment.nex	1024_DQ990848_uncultured_Russulaceae	3927	3376	85.969	0.51	0.49	127	138	132	154	0	0	0	0	0	0	0	0	0	0	0	0	0	3376	0
alignment.nex	1025_GU222325_Russula_sp_PDD_92051	3927	3393	86.402	0.515	0.485	124	132	127	151	0	0	0	0	0	0	0	0	0	0	0	0	0	3393	0
