Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	ardeotis_kori	539526	68166	12.634	0.632	0.368	148132	88826	84748	149654	0	0	0	0	0	0	0	0	0	0	0	0	0	68166	0
alignment.nex	balaeniceps_rex	539526	54594	10.119	0.633	0.367	152695	91234	86597	154406	0	0	0	0	0	0	0	0	0	0	0	0	0	54594	0
alignment.nex	cathartes_aura	539526	41583	7.707	0.632	0.368	156485	93837	89186	158435	0	0	0	0	0	0	0	0	0	0	0	3	0	41580	0
alignment.nex	colibri_coruscans	539526	82443	15.281	0.633	0.367	143683	86118	81675	145607	0	0	0	0	0	0	0	0	0	0	0	10	0	82433	0
alignment.nex	eudyptula_minor	539526	33156	6.145	0.631	0.369	158893	95656	91311	160510	0	0	0	0	0	0	0	0	0	0	0	10	0	33146	0
alignment.nex	eurypyga_helias	539526	40356	7.48	0.631	0.369	156764	94320	89983	158103	0	0	0	0	0	0	0	0	0	0	0	0	0	40356	0
alignment.nex	gallus_gallus	539526	13401	2.484	0.629	0.371	164470	99896	95221	166538	0	0	0	0	0	0	0	0	0	0	0	13	0	13388	0
alignment.nex	gampsonyx_swainsonii	539526	83509	15.478	0.633	0.367	143021	86319	81240	145437	0	0	0	0	0	0	0	0	0	0	0	0	0	83509	0
alignment.nex	gavia_immer	539526	61782	11.451	0.631	0.369	149748	90381	85706	151909	0	0	0	0	0	0	0	0	0	0	0	0	0	61782	0
alignment.nex	megalaima_virens	539526	179052	33.187	0.629	0.371	112297	69073	64767	114337	0	0	0	0	0	0	0	0	0	0	0	0	0	179052	0
alignment.nex	micrastur_semitorquatus	539526	338948	62.823	0.629	0.371	62336	38879	35525	63838	0	0	0	0	0	0	0	0	0	0	0	0	0	338948	0
alignment.nex	momotus_momota	539526	56762	10.521	0.629	0.371	151072	91952	87369	152371	0	0	0	0	0	0	0	0	0	0	0	0	0	56762	0
alignment.nex	nyctibius_grandis	539526	85708	15.886	0.633	0.367	143046	85210	81448	144114	0	0	0	0	0	0	0	0	0	0	0	9	0	85699	0
alignment.nex	oceanites_oceanicus	539526	32189	5.966	0.631	0.369	159155	95829	91300	161053	0	0	0	0	0	0	0	0	0	0	0	10	0	32179	0
alignment.nex	opisthocomus_hoazin	539526	190841	35.372	0.627	0.373	108570	67201	62913	110001	0	0	0	0	0	0	0	0	0	0	0	0	0	190841	0
alignment.nex	phaethon_rubicauda	539526	66252	12.28	0.634	0.366	149245	88788	84545	150696	0	0	0	0	0	0	0	0	0	0	0	0	0	66252	0
alignment.nex	phalacrocorax_carbo	539526	70657	13.096	0.632	0.368	147407	88573	83956	148933	0	0	0	0	0	0	0	0	0	0	0	0	0	70657	0
alignment.nex	phegornis_mitchelli	539526	77577	14.379	0.631	0.369	145084	87396	83107	146362	0	0	0	0	0	0	0	0	0	0	0	0	0	77577	0
alignment.nex	phoenicopterus_chilensis	539526	76440	14.168	0.632	0.368	145956	87445	82876	146809	0	0	0	0	0	0	0	0	0	0	0	0	0	76440	0
alignment.nex	pitta_guajana	539526	59107	10.955	0.631	0.369	150875	90690	86482	152372	0	0	0	0	0	0	0	0	0	0	0	0	0	59107	0
alignment.nex	podiceps_auritus	539526	110758	20.529	0.636	0.364	135460	80174	75967	137167	0	0	0	0	0	0	0	0	0	0	0	0	0	110758	0
alignment.nex	psittacula_alexandri	539526	65902	12.215	0.632	0.368	149189	89147	84929	150359	0	0	0	0	0	0	0	0	0	0	0	3	0	65899	0
alignment.nex	psophia_crepitans	539526	69877	12.952	0.631	0.369	147175	89033	84420	149021	0	0	0	0	0	0	0	0	0	0	0	0	0	69877	0
alignment.nex	pterocles	539526	194825	36.11	0.638	0.362	109559	63985	60639	110518	0	0	0	0	0	0	0	0	0	0	0	0	0	194825	0
alignment.nex	rhinopomastus_cyanomelas	539526	97735	18.115	0.619	0.381	135922	86352	81826	137691	0	0	0	0	0	0	0	0	0	0	0	0	0	97735	0
alignment.nex	scopus_umbretta	539526	33034	6.123	0.631	0.369	158683	95823	91282	160704	0	0	0	0	0	0	0	0	0	0	0	0	0	33034	0
alignment.nex	tauraco_erythrolophus	539526	50630	9.384	0.63	0.37	153200	92575	88110	155011	0	0	0	0	0	0	0	0	0	0	0	0	0	50630	0
alignment.nex	treron_vernans	539526	107000	19.832	0.633	0.367	136177	81362	77324	137663	0	0	0	0	0	0	0	0	0	0	0	0	0	107000	0
alignment.nex	trogon_personata	539526	223637	41.451	0.624	0.376	97667	61453	57268	99501	0	0	0	0	0	0	0	0	0	0	0	0	0	223637	0
alignment.nex	tyto_alba	539526	93905	17.405	0.632	0.368	140175	84215	79668	141563	0	0	0	0	0	0	0	0	0	0	0	0	0	93905	0
alignment.nex	urocolius_indicus	539526	67415	12.495	0.633	0.367	148595	88754	84649	150113	0	0	0	0	0	0	0	0	0	0	0	0	0	67415	0
alignment.nex	vidua_macroura	539526	328506	60.888	0.609	0.391	63115	43266	39207	65432	0	0	0	0	0	0	0	0	0	0	0	0	0	328506	0
alignment.nex	zanclostomus_javanicus	539526	76761	14.227	0.624	0.376	143383	89410	84487	145485	0	0	0	0	0	0	0	0	0	0	0	0	0	76761	0
