Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	alectoris_rufa	614159	121228	19.739	0.571	0.429	139166	106383	105201	142172	0	0	5	1	2	1	0	0	0	0	0	0	0	121228	0
alignment.nex	catreus_wallichi	614159	32723	5.328	0.574	0.426	165462	124430	123002	168539	0	1	1	1	0	0	0	0	0	0	0	0	0	32723	0
alignment.nex	chrysolophus_pictus	614159	24824	4.042	0.575	0.425	167667	126236	124506	170901	1	0	12	8	3	1	0	0	0	0	0	0	0	24824	0
alignment.nex	crossoptilon_crossoptilon	614159	43926	7.152	0.575	0.425	162424	121925	120328	165542	0	0	5	6	3	0	0	0	0	0	0	0	0	43926	0
alignment.nex	cyrtonyx_montezumae	614159	28755	4.682	0.574	0.426	166516	125611	123730	169535	2	1	5	2	1	1	0	0	0	0	0	0	0	28755	0
alignment.nex	galgal4	614159	4642	0.756	0.574	0.426	173424	130720	129003	176358	0	1	4	7	0	0	0	0	0	0	0	0	0	4642	0
alignment.nex	lophophorus_impejanus	614159	20227	3.293	0.576	0.424	169425	126788	125182	172514	1	1	9	10	1	1	0	0	0	0	0	0	0	20227	0
alignment.nex	lophura_inornata	614159	39561	6.441	0.574	0.426	163182	123278	121713	166391	1	1	12	16	2	2	0	0	0	0	0	0	0	39561	0
alignment.nex	lophura_nycthemera	614159	22069	3.593	0.576	0.424	168842	126575	124754	171898	2	0	9	7	2	1	0	0	0	0	0	0	0	22069	0
alignment.nex	lophura_swinhoii	614159	43761	7.125	0.576	0.424	162723	121587	120260	165826	0	0	1	1	0	0	0	0	0	0	0	0	0	43761	0
alignment.nex	melgal2	614159	8553	1.393	0.576	0.424	172905	129149	127517	176022	0	1	5	3	2	2	0	0	0	0	0	0	0	8553	0
alignment.nex	pavo_cristatus	614159	18303	2.98	0.573	0.427	169177	128119	126415	172143	0	0	0	1	0	1	0	0	0	0	0	0	0	18303	0
alignment.nex	perdix	614159	29502	4.804	0.575	0.425	166336	125112	123611	169594	0	0	1	3	0	0	0	0	0	0	0	0	0	29502	0
alignment.nex	phasianus_colchicus	614159	86706	14.118	0.572	0.428	149262	113946	111907	152313	1	0	10	11	2	1	0	0	0	0	0	0	0	86706	0
alignment.nex	rollulus_rouloul	614159	64548	10.51	0.572	0.428	155590	118406	116766	158822	2	5	10	9	1	0	0	0	0	0	0	0	0	64548	0
alignment.nex	syrmaticus_ellioti	614159	131245	21.37	0.573	0.427	136818	103874	102310	139893	0	0	9	10	0	0	0	0	0	0	0	1	0	131244	0
alignment.nex	syrmaticus_reevesii	614159	115811	18.857	0.573	0.427	141263	107210	105409	144460	0	0	2	2	1	0	0	0	1	0	0	0	0	115811	0
alignment.nex	tragopan_blythii	614159	72589	11.819	0.575	0.425	154188	116094	113860	157406	2	0	10	6	3	1	0	0	0	0	0	0	0	72589	0
