Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	ACROMYRMEX_ECHINATIOR	595033	32703	5.496	36279	11783	30373	38813	22756	29457	14436	35421	37571	58638	13597	24716	23976	23570	31839	35943	30261	35812	7371	19718	0	0	0	15334	0	0	17369	0
alignment.nex	ACYRTOSIPHON_PISUM	595033	28772	4.835	32218	12359	31945	37139	23961	28666	13878	36692	40335	58044	14242	28029	23149	22895	28357	39809	30186	36944	7176	20237	0	0	0	12382	0	0	16390	0
alignment.nex	ANOPHELES_GAMBIAE	595033	24089	4.048	39626	12003	31060	39221	23429	31934	14479	32375	35482	59126	14029	23706	24675	24665	34354	36334	29998	37821	7171	19456	0	0	0	9492	0	0	14597	0
alignment.nex	APIS_MELLIFERA	595033	38536	6.476	34952	11703	29477	38541	22891	29024	14167	37438	38199	57958	13036	25422	23767	23250	30677	35497	29521	34030	7264	19683	0	0	0	18316	0	0	20220	0
alignment.nex	Acanthocasuarina_muellerianae	595033	257912	43.344	21425	6759	18518	23294	14396	18038	8845	19864	23839	35007	8036	14325	14534	13350	18363	22925	17263	22462	4242	11636	0	0	0	214066	0	0	43846	0
alignment.nex	Acanthosoma_haemorrhoidale	595033	224439	37.719	22960	7493	20312	26350	15710	20574	9267	22746	26597	38115	9102	15713	15633	14565	19957	24823	18853	24428	4737	12659	0	0	0	188653	0	0	35786	0
alignment.nex	Acerentomon_sp	595033	212135	35.651	22980	7897	21869	26014	16823	21161	10008	22619	25812	40422	9184	15637	16211	16309	21305	26681	18576	25954	4914	12522	0	0	0	175916	0	0	36219	0
alignment.nex	Aedes_AEGYpti	595033	110499	18.57	31866	10147	26974	33254	20485	26441	12065	29218	32464	49723	12123	21309	20450	20479	27159	30885	24822	32036	6124	16510	0	0	0	87304	0	0	23195	0
alignment.nex	Aleochara_curtula	595033	151926	25.532	28489	9194	24735	30233	18603	23404	11319	27800	30769	45112	11252	20302	18799	18553	23881	28304	23066	28251	5563	15478	0	0	0	127130	0	0	24796	0
alignment.nex	Anurida_maritima	595033	226369	38.043	23457	7256	19880	26023	16565	21223	8984	22535	25029	37751	8771	15125	15855	14208	20831	24413	18978	24678	4855	12247	0	0	0	193966	0	0	32403	0
