Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	abroscopus_albogularis_ku_28164	375172	71559	19.074	0.598	0.402	89479	61711	60271	92152	0	0	0	0	0	0	0	0	0	0	0	0	0	704	70855
alignment.nex	acanthorhynchus_tenuirostris_ku_10667	375172	8326	2.219	0.602	0.398	109195	73779	72366	111506	0	0	0	0	0	0	0	0	0	0	0	0	0	710	7616
alignment.nex	acrocephalus_orientalis_ku_28793	375172	1859	0.496	0.602	0.398	111307	74904	73577	113525	0	0	0	0	0	0	0	0	0	0	0	0	0	760	1099
alignment.nex	aegithalos_concinnus_ku_28044	375172	39388	10.499	0.6	0.4	99552	67953	66478	101801	0	0	0	0	0	0	0	0	0	0	0	0	0	802	38586
alignment.nex	aegithina_lafresnayei_ku_23213	375172	37347	9.955	0.601	0.399	100172	68062	66879	102712	0	0	0	0	0	0	0	0	0	0	0	0	0	586	36761
alignment.nex	ailuroedus_buccoides_ku_12226	375172	2926	0.78	0.601	0.399	110776	74855	73544	113071	0	0	0	0	0	0	0	0	0	0	0	0	0	741	2185
alignment.nex	artamus_cinereus_ku_6183	375172	18901	5.038	0.599	0.401	105605	71982	70883	107801	0	0	0	0	0	0	0	0	0	0	0	0	0	759	18142
alignment.nex	bleda_syndactylus_ku_29008	375172	2280	0.608	0.601	0.399	110951	74960	73801	113180	0	0	0	0	0	0	0	0	0	0	0	0	0	610	1670
alignment.nex	bombycilla_garrulus_ku_21744	375172	4892	1.304	0.601	0.399	110192	74387	73182	112519	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	3846
alignment.nex	certhia_americana_ku_30065	375172	4567	1.217	0.603	0.397	110517	74294	73014	112780	0	0	0	0	0	0	0	0	0	0	0	0	0	937	3630
alignment.nex	chaetops_aurantius_uwbm_52974	375172	6115	1.63	0.601	0.399	109860	74188	72960	112049	0	0	0	0	0	0	0	0	0	0	0	0	0	733	5382
alignment.nex	chelidorhynx_hypoxanthus_ku_28022	375172	18397	4.904	0.603	0.397	106542	71427	70148	108658	0	0	0	0	0	0	0	0	0	0	0	0	0	1329	17068
alignment.nex	chloropsis_sonnerati_ku_24451	375172	4425	1.179	0.601	0.399	110299	74585	73260	112603	0	0	0	0	0	0	0	0	0	0	0	0	0	852	3573
alignment.nex	cinclosoma_punctatum_uwbm_57790	375172	3374	0.899	0.601	0.399	110542	74845	73637	112774	0	0	0	0	0	0	0	0	0	0	0	0	0	710	2664
alignment.nex	cinclus_pallasii_ku_11246	375172	2936	0.783	0.603	0.397	111005	74641	73304	113286	0	0	0	0	0	0	0	0	0	0	0	0	0	996	1940
alignment.nex	cisticola_anonymus_ku_29165	375172	30218	8.054	0.597	0.403	101886	70113	68977	103978	0	0	0	0	0	0	0	0	0	0	0	0	0	864	29354
alignment.nex	climacteris_melanurus_ku_8858	375172	93223	24.848	0.596	0.404	82819	57699	56274	85157	0	0	0	0	0	0	0	0	0	0	0	0	0	511	92712
alignment.nex	cnemophilus_loriae_ku_16529	375172	30817	8.214	0.599	0.401	101893	69800	68424	104238	0	0	0	0	0	0	0	0	0	0	0	0	0	414	30403
alignment.nex	coracina_tenuirostris_ku_23644	375172	59049	15.739	0.598	0.402	93432	64121	62975	95595	0	0	0	0	0	0	0	0	0	0	0	0	0	421	58628
alignment.nex	cormobates_leucophaea_uwbm_57452	375172	3808	1.015	0.602	0.398	110790	74399	73229	112946	0	0	0	0	0	0	0	0	0	0	0	0	0	984	2824
alignment.nex	corvus_corax_ku_30042	375172	4926	1.313	0.602	0.398	110327	74347	72991	112581	0	0	0	0	0	0	0	0	0	0	0	0	0	653	4273
alignment.nex	culicicapa_ceylonensis_ku_9948	375172	2563	0.683	0.602	0.398	111034	74749	73467	113359	0	0	0	0	0	0	0	0	0	0	0	0	0	981	1582
alignment.nex	daphoenositta_chrysoptera_ku_23086	375172	3770	1.005	0.601	0.399	110465	74816	73446	112675	0	0	0	0	0	0	0	0	0	0	0	0	0	652	3118
alignment.nex	donacobius_atricapilla_ku_1037	375172	58324	15.546	0.596	0.404	93206	64508	63456	95678	0	0	0	0	0	0	0	0	0	0	0	0	0	589	57735
alignment.nex	dulus_dominicus_ku_6414	375172	29048	7.743	0.599	0.401	102515	69957	68766	104886	0	0	0	0	0	0	0	0	0	0	0	0	0	714	28334
alignment.nex	eopsaltria_griseogularis_ku_8850	375172	9245	2.464	0.6	0.4	108707	73762	72469	110989	0	0	0	0	0	0	0	0	0	0	0	0	0	704	8541
alignment.nex	eremophila_alpestris_ku_28950	375172	3159	0.842	0.599	0.401	110269	75145	73906	112693	0	0	0	0	0	0	0	0	0	0	0	0	0	957	2202
alignment.nex	erythrocercus_mccallii_ku_8688	375172	5940	1.583	0.602	0.398	110120	73963	72845	112304	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	4835
alignment.nex	estrilda_melpoda_ku_19721	375172	3344	0.891	0.603	0.397	110987	74356	73196	113289	0	0	0	0	0	0	0	0	0	0	0	0	0	948	2396
alignment.nex	eulacestoma_nigropectus_ku_16397	375172	150193	40.033	0.591	0.409	65243	46560	45440	67736	0	0	0	0	0	0	0	0	0	0	0	0	0	179	150014
alignment.nex	falcunculus_frontatus_uwbm_57627	375172	3154	0.841	0.601	0.399	110788	74712	73591	112927	0	0	0	0	0	0	0	0	0	0	0	0	0	640	2514
alignment.nex	foulehaio_carunculatus_ku_26344	375172	5952	1.586	0.601	0.399	109926	74234	72913	112147	0	0	0	0	0	0	0	0	0	0	0	0	0	806	5146
alignment.nex	fringilla_montifringilla_ku_4293	375172	5540	1.477	0.6	0.4	109720	74480	73408	112024	0	0	0	0	0	0	0	0	0	0	0	0	0	939	4601
alignment.nex	furnarius_rufus_ku_11920	375172	50418	13.439	0.597	0.403	95829	66154	64593	98178	0	0	0	0	0	0	0	0	0	0	0	0	0	1145	49273
alignment.nex	hirundo_rustica_ku_28789	375172	4345	1.158	0.601	0.399	110327	74570	73453	112477	0	0	0	0	0	0	0	0	0	0	0	0	0	983	3362
alignment.nex	hydrornis_cyanea_ku_31228	375172	25066	6.681	0.601	0.399	104242	70368	69196	106300	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	23034
alignment.nex	hylia_prasina_ku_29144	375172	13502	3.599	0.6	0.4	107330	72857	71635	109848	0	0	0	0	0	0	0	0	0	0	0	0	0	869	12633
alignment.nex	hyliota_flavigaster_fmnh_439359	375172	7320	1.951	0.602	0.398	109607	73928	72494	111823	0	0	0	0	0	0	0	0	0	0	0	0	0	792	6528
alignment.nex	irena_puella_ku_24448	375172	2277	0.607	0.601	0.399	110958	74926	73725	113286	0	0	0	0	0	0	0	0	0	0	0	0	0	832	1445
alignment.nex	lamprolia_victoriae_ku_24329	375172	62522	16.665	0.598	0.402	92192	63267	62351	94840	0	0	0	0	0	0	0	0	0	0	0	0	0	520	62002
alignment.nex	lanius_excubitor_ku_28984	375172	3164	0.843	0.603	0.397	110982	74430	73364	113232	0	0	0	0	0	0	0	0	0	0	0	0	0	960	2204
alignment.nex	leptocoma_sperata_ku_20350	375172	12292	3.276	0.601	0.399	107958	73013	71651	110258	0	0	0	0	0	0	0	0	0	0	0	0	0	779	11513
alignment.nex	loboparadisea_sericea_ku_18403	375172	19619	5.229	0.599	0.401	105296	71911	70700	107646	0	0	0	0	0	0	0	0	0	0	0	0	0	483	19136
alignment.nex	locustella_lanceolata_ku_4248	375172	5771	1.538	0.601	0.399	109822	74339	73142	112098	0	0	0	0	0	0	0	0	0	0	0	0	0	762	5009
alignment.nex	machaerirhynchus_nigripectus_ku_4734	375172	16306	4.346	0.6	0.4	106647	72365	71106	108748	0	0	0	0	0	0	0	0	0	0	0	0	0	618	15688
alignment.nex	macrosphenus_flavicans_ku_29199	375172	122449	32.638	0.592	0.408	73664	52127	50992	75940	0	0	0	0	0	0	0	0	0	0	0	0	0	391	122058
alignment.nex	malurus_alboscapulatus_ku_16459	375172	4125	1.099	0.601	0.399	110370	74639	73478	112560	0	0	0	0	0	0	0	0	0	0	0	0	0	1190	2935
alignment.nex	melanocharis_versteri_ku_18286	375172	12694	3.384	0.6	0.4	107569	73084	71965	109860	0	0	0	0	0	0	0	0	0	0	0	0	0	449	12245
alignment.nex	meliphaga_montana_ku_12276	375172	82852	22.084	0.596	0.404	85892	59684	58398	88346	0	0	0	0	0	0	0	0	0	0	0	0	0	460	82392
alignment.nex	menura_novaehollandiae_uwbm_76638	375172	1889	0.504	0.602	0.398	111254	74900	73626	113503	0	0	0	0	0	0	0	0	0	0	0	0	0	728	1161
alignment.nex	microeca_papuana_ku_18304	375172	1446	0.385	0.601	0.399	111155	75157	73967	113447	0	0	0	0	0	0	0	0	0	0	0	0	0	689	757
alignment.nex	modulatrix_stictigula_fmnh_356751	375172	87417	23.301	0.597	0.403	84670	58703	57338	87044	0	0	0	0	0	0	0	0	0	0	0	0	0	392	87025
alignment.nex	mohoua_albicilla_ypm_96717	375172	210865	56.205	0.589	0.411	47247	34329	33253	49478	0	0	0	0	0	0	0	0	0	0	0	0	0	35	210830
alignment.nex	monarcha_takatsukasae_ku_22596	375172	10249	2.732	0.6	0.4	108350	73563	72375	110635	0	0	0	0	0	0	0	0	0	0	0	0	0	661	9588
alignment.nex	motacilla_alba_ku_10218	375172	3006	0.801	0.601	0.399	110657	74947	73644	112918	0	0	0	0	0	0	0	0	0	0	0	0	0	930	2076
alignment.nex	muscicapa_striata_ku_26606	375172	42292	11.273	0.6	0.4	98728	67290	65838	101024	0	0	0	0	0	0	0	0	0	0	0	0	0	1035	41257
alignment.nex	nicator_chloris_ku_29190	375172	63099	16.819	0.597	0.403	91897	63623	62287	94266	0	0	0	0	0	0	0	0	0	0	0	0	0	499	62600
alignment.nex	oedistoma_iliolophus_ku_16163	375172	1206	0.321	0.6	0.4	111042	75501	74202	113221	0	0	0	0	0	0	0	0	0	0	0	0	0	386	820
alignment.nex	oreocharis_arfaki_ku_16440	375172	7532	2.008	0.6	0.4	109245	74088	72875	111432	0	0	0	0	0	0	0	0	0	0	0	0	0	656	6876
alignment.nex	oreoica_gutturalis_ku_8884	375172	96409	25.697	0.595	0.405	81653	57078	55814	84218	0	0	0	0	0	0	0	0	0	0	0	0	0	346	96063
alignment.nex	oriolus_chinensis_ku_10450	375172	29654	7.904	0.599	0.401	102443	69990	68701	104384	0	0	0	0	0	0	0	0	0	0	0	0	0	538	29116
alignment.nex	orthonyx_temminckii_uwbm_76694	375172	15937	4.248	0.601	0.399	106845	72235	71015	109140	0	0	0	0	0	0	0	0	0	0	0	0	0	523	15414
alignment.nex	orthotomus_castaneiceps_ku_25615	375172	2977	0.794	0.6	0.4	110570	75206	73778	112641	0	0	0	0	0	0	0	0	0	0	0	0	0	823	2154
alignment.nex	oxylabes_madagascariensis_fmnh_352915	375172	1757	0.468	0.602	0.398	111222	74993	73786	113414	0	0	0	0	0	0	0	0	0	0	0	0	0	634	1123
alignment.nex	pachycephala_vitiensis_ku_19410	375172	3591	0.957	0.601	0.399	110533	74769	73513	112766	0	0	0	0	0	0	0	0	0	0	0	0	0	608	2983
alignment.nex	panurus_biarmicus_ku_28797	375172	4952	1.32	0.6	0.4	109946	74553	73384	112337	0	0	0	0	0	0	0	0	0	0	0	0	0	821	4131
alignment.nex	paradisaea_minor_ku_16148	375172	82392	21.961	0.596	0.404	85955	59819	58497	88509	0	0	0	0	0	0	0	0	0	0	0	0	0	348	82044
alignment.nex	pardalotus_striatus_ku_8886	375172	2370	0.632	0.602	0.398	111161	74811	73508	113322	0	0	0	0	0	0	0	0	0	0	0	0	0	638	1732
alignment.nex	parus_major_ku_11167	375172	21089	5.621	0.601	0.399	105218	71251	70167	107447	0	0	0	0	0	0	0	0	0	0	0	0	0	814	20275
alignment.nex	passer_domesticus_ku_28860	375172	4993	1.331	0.601	0.399	110097	74448	73173	112461	0	0	0	0	0	0	0	0	0	0	0	0	0	991	4002
alignment.nex	pericrocotus_divaricatus_ku_10261	375172	141459	37.705	0.592	0.408	67855	48230	47037	70591	0	0	0	0	0	0	0	0	0	0	0	0	0	230	141229
alignment.nex	petroica_multicolor_ku_24355	375172	4159	1.109	0.601	0.399	110246	74703	73507	112557	0	0	0	0	0	0	0	0	0	0	0	0	0	934	3225
alignment.nex	peucedramus_taeniatus_ku_9399	375172	1661	0.443	0.602	0.398	111402	74932	73585	113592	0	0	0	0	0	0	0	0	0	0	0	0	0	758	903
alignment.nex	philesturnus_carunculatus_ku_14862	375172	2164	0.577	0.601	0.399	111038	74981	73718	113271	0	0	0	0	0	0	0	0	0	0	0	0	0	449	1715
alignment.nex	phylloscopus_trochilus_ku_15495	375172	3259	0.869	0.601	0.399	110644	74843	73620	112806	0	0	0	0	0	0	0	0	0	0	0	0	0	932	2327
alignment.nex	picathartes_gymnocephalus_amnh_dot2030	375172	2347	0.626	0.602	0.398	111156	74879	73548	113242	0	0	0	0	0	0	0	0	0	0	0	0	0	781	1566
alignment.nex	ploceus_cucullatus_ku_20062	375172	4053	1.08	0.602	0.398	110627	74482	73161	112849	0	0	0	0	0	0	0	0	0	0	0	0	0	771	3282
alignment.nex	pnoepyga_pusilla_ku_15250	375172	4753	1.267	0.601	0.399	110306	74531	73172	112410	0	0	0	0	0	0	0	0	0	0	0	0	0	733	4020
alignment.nex	pomatostomus_superciliosus_ku_8792	375172	16713	4.455	0.599	0.401	106270	72488	71212	108489	0	0	0	0	0	0	0	0	0	0	0	0	0	840	15873
alignment.nex	prionops_plumatus_ku_26690	375172	5190	1.383	0.601	0.399	110049	74353	73131	112449	0	0	0	0	0	0	0	0	0	0	0	0	0	812	4378
alignment.nex	progne_subis_ku_6623	375172	11487	3.062	0.601	0.399	108202	73093	72036	110354	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	10473
alignment.nex	promerops_gurneyi_uwbm_70395	375172	1892	0.504	0.602	0.398	111183	74987	73749	113361	0	0	0	0	0	0	0	0	0	0	0	0	0	638	1254
alignment.nex	prunella_fulvescens_ku_28764	375172	5217	1.391	0.601	0.399	110038	74494	73161	112262	0	0	0	0	0	0	0	0	0	0	0	0	0	863	4354
alignment.nex	psaltriparus_minimus_ku_22642	375172	3114	0.83	0.602	0.398	111035	74552	73353	113118	0	0	0	0	0	0	0	0	0	0	0	0	0	1174	1940
alignment.nex	psophodes_occidentalis_ku_6204	375172	117437	31.302	0.594	0.406	75156	52944	51722	77913	0	0	0	0	0	0	0	0	0	0	0	0	0	369	117068
alignment.nex	pteruthius_flaviscapis_ku_17806	375172	98434	26.237	0.596	0.404	81212	56584	55233	83709	0	0	0	0	0	0	0	0	0	0	0	0	0	439	97995
alignment.nex	ptilonorhynchus_violaceus_ku_10756	375172	68127	18.159	0.598	0.402	90469	62253	61046	93277	0	0	0	0	0	0	0	0	0	0	0	0	0	512	67615
alignment.nex	ptilorrhoa_leucosticta_ku_16514	375172	8376	2.233	0.601	0.399	109123	73752	72511	111410	0	0	0	0	0	0	0	0	0	0	0	0	0	639	7737
alignment.nex	pycnonotus_jocosus_ku_23591	375172	3491	0.931	0.601	0.399	110484	74757	73551	112889	0	0	0	0	0	0	0	0	0	0	0	0	0	796	2695
alignment.nex	regulus_regulus_ku_6778	375172	14050	3.745	0.6	0.4	107234	72788	71517	109583	0	0	0	0	0	0	0	0	0	0	0	0	0	1058	12992
alignment.nex	remiz_coronatus_ku_28817	375172	2889	0.77	0.603	0.397	111204	74457	73188	113434	0	0	0	0	0	0	0	0	0	0	0	0	0	1165	1724
alignment.nex	rhagologus_leucostigma_ku_18382	375172	10735	2.861	0.601	0.399	108167	73305	72264	110701	0	0	0	0	0	0	0	0	0	0	0	0	0	564	10171
alignment.nex	rhipidura_javanica_ku_17717	375172	2731	0.728	0.601	0.399	110779	74945	73751	112966	0	0	0	0	0	0	0	0	0	0	0	0	0	729	2002
alignment.nex	seicercus_montis_ku_17754	375172	6053	1.613	0.6	0.4	109627	74448	73157	111887	0	0	0	0	0	0	0	0	0	0	0	0	0	817	5236
alignment.nex	sitta_europaea_ku_30442	375172	11026	2.939	0.601	0.399	108171	73253	72101	110621	0	0	0	0	0	0	0	0	0	0	0	0	0	951	10075
alignment.nex	struthidea_cinerea_ku_10728	375172	27971	7.456	0.6	0.4	102863	70086	68907	105345	0	0	0	0	0	0	0	0	0	0	0	0	0	545	27426
alignment.nex	sturnus_vulgaris_ku_3510	375172	4024	1.073	0.602	0.398	110609	74471	73221	112847	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	2982
alignment.nex	sylvia_nana_ku_28718	375172	2579	0.687	0.6	0.4	110639	75063	73947	112944	0	0	0	0	0	0	0	0	0	0	0	0	0	718	1861
alignment.nex	sylvietta_virens_ku_29174	375172	5598	1.492	0.6	0.4	109736	74573	73128	112137	0	0	0	0	0	0	0	0	0	0	0	0	0	689	4909
alignment.nex	tesia_cyaniventer_ku_27982	375172	43396	11.567	0.599	0.401	98320	67130	65827	100499	0	0	0	0	0	0	0	0	0	0	0	0	0	664	42732
alignment.nex	timalia_pileata_ku_23375	375172	7013	1.869	0.602	0.398	109647	73953	72706	111853	0	0	0	0	0	0	0	0	0	0	0	0	0	658	6355
alignment.nex	timeliopsis_fulvigula_12152	375172	9794	2.611	0.601	0.399	108716	73448	72159	111055	0	0	0	0	0	0	0	0	0	0	0	0	0	757	9037
alignment.nex	toxorhamphus_novaeguineae_ku_12252	375172	3066	0.817	0.6	0.4	110650	75044	73785	112627	0	0	0	0	0	0	0	0	0	0	0	0	0	384	2682
alignment.nex	troglodytes_troglodytes_ku_6774	375172	8044	2.144	0.601	0.399	109163	74020	72538	111407	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	6958
alignment.nex	vidua_regia_ku_26698	375172	4086	1.089	0.603	0.397	110855	74276	73003	112952	0	0	0	0	0	0	0	0	0	0	0	0	0	788	3298
alignment.nex	vireo_solitarius_ku_25186	375172	56472	15.052	0.6	0.4	94420	64340	63023	96917	0	0	0	0	0	0	0	0	0	0	0	0	0	638	55834
