Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	E0_1_Anorasema_pallidipes_D0408	3111	1180	37.93	0.515	0.485	493	418	518	502	0	0	0	0	0	0	0	0	0	0	0	0	0	147	1033
alignment.nex	E0_1_Anorasema_pallidipes_D2840	3111	1887	60.656	0.624	0.376	340	211	249	424	0	0	0	0	0	0	0	0	0	0	0	0	0	105	1782
alignment.nex	E0_2_Gollumiella_antennata_D0351_2	3111	1988	63.902	0.441	0.559	252	284	344	243	0	0	0	0	0	0	0	0	0	0	0	0	0	156	1832
alignment.nex	E0_2_Gollumiella_bicolor_D0853a	3111	730	23.465	0.555	0.445	637	467	593	684	0	0	0	0	0	0	0	0	0	0	0	0	0	168	562
alignment.nex	E0_2_Gollumiella_longipetiolata_D0405c	3111	744	23.915	0.558	0.442	635	463	584	685	0	0	0	0	0	0	0	0	0	0	0	0	0	168	576
alignment.nex	E0_2_Gollumiella_minuta_D1261	3111	1271	40.855	0.571	0.429	493	349	440	558	0	0	0	0	0	0	0	0	0	0	0	0	0	168	1103
alignment.nex	E0_2_Gollumiella_ochreata_D0426	3111	976	31.373	0.526	0.474	550	447	564	574	0	0	0	0	0	0	0	0	0	0	0	0	0	156	820
alignment.nex	E0_2_Gollumiella_ochreata_D2834	3111	1649	53.005	0.527	0.473	379	312	378	391	1	0	0	1	0	0	0	0	0	0	0	0	0	155	1494
alignment.nex	E0_2_Gollumiella_sp_D0994c	3111	976	31.373	0.528	0.472	551	444	564	576	0	0	0	0	0	0	0	0	0	0	0	0	0	156	820
alignment.nex	E0_2_Gollumiella_sp_D2839	3111	1374	44.166	0.568	0.432	480	340	411	506	0	0	0	0	0	0	0	0	0	0	0	1	0	185	1188
alignment.nex	E1_1_Orasemorpha_eribotes_D0162	3111	723	23.24	0.565	0.435	631	453	585	719	0	0	0	0	0	0	0	0	0	0	0	0	0	161	562
alignment.nex	E1_1_Orasemorpha_tridentata_D0165	3111	721	23.176	0.565	0.435	636	456	584	714	0	0	0	0	0	0	0	0	0	0	0	0	0	159	562
alignment.nex	E1_2_Indosema_indica_D2212	3111	1990	63.967	0.45	0.55	253	278	339	251	0	0	0	0	0	0	0	0	0	0	0	2	0	162	1826
alignment.nex	E1_2_Indosema_sp_D2213	3111	1743	56.027	0.504	0.496	328	306	373	361	0	0	0	0	0	0	0	0	0	0	0	2	0	181	1560
alignment.nex	E1_3_Timioderus_peridentatus_D0116	3111	1196	38.444	0.507	0.493	475	421	523	496	0	0	0	0	0	0	0	0	0	0	0	0	0	163	1033
alignment.nex	E1_4_Orasema_coloradensis_D0251	3111	1968	63.259	0.515	0.485	278	245	309	311	0	0	0	0	0	0	0	0	0	0	0	0	0	155	1813
alignment.nex	E1_4_Orasema_communis_D0951	3111	721	23.176	0.557	0.443	625	465	593	707	0	0	0	0	0	0	0	0	0	0	0	0	0	159	562
alignment.nex	E1_4_Orasema_costaricensis_D0342	3111	2214	71.167	0.438	0.562	199	224	280	194	0	0	0	0	0	0	0	0	0	0	0	0	0	143	2071
alignment.nex	E1_4_Orasema_delicatula_D0632	3111	719	23.112	0.566	0.434	644	453	586	709	0	0	0	0	0	0	0	0	0	0	0	0	0	157	562
alignment.nex	E1_4_Orasema_glabra_D0183	3111	1980	63.645	0.446	0.554	238	281	346	266	0	0	0	0	0	0	0	0	0	0	0	0	0	148	1832
alignment.nex	E1_4_Orasema_minutissima_D0194	3111	721	23.176	0.567	0.433	642	455	579	714	0	0	0	0	0	0	0	0	0	0	0	0	0	159	562
alignment.nex	E1_4_Orasema_monomoria_D0638	3111	2214	71.167	0.43	0.57	191	230	281	195	0	0	0	0	0	0	0	0	0	0	0	0	0	143	2071
