Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Abalistes_stellatusA	8577	472	5.503	0.451	0.549	1937	2264	2180	1721	0	0	1	2	0	0	0	0	0	0	0	0	0	240	232
alignment.nex	Abudefduf_saxatilisA	8577	2046	23.854	0.449	0.551	1593	1816	1779	1340	0	1	1	1	0	0	0	0	0	0	0	0	0	234	1812
alignment.nex	Acanthaphritis_unoorumA	8577	3067	35.758	0.457	0.543	1305	1504	1489	1210	0	0	1	1	0	0	0	0	0	0	0	0	0	82	2985
alignment.nex	Acanthochaenus_luetkeniiA	8577	2749	32.051	0.459	0.541	1449	1576	1574	1227	1	0	0	1	0	0	0	0	0	0	0	1	0	102	2646
alignment.nex	Acanthurus_bahianusA	8577	358	4.174	0.459	0.541	2006	2269	2171	1766	0	0	1	6	0	0	0	0	0	0	0	0	0	243	115
alignment.nex	Acanthurus_nigricansA	8577	270	3.148	0.459	0.541	2023	2294	2193	1784	1	0	2	7	2	1	0	0	0	0	0	0	0	243	27
alignment.nex	Achirus_lineatusA	8577	3120	36.376	0.474	0.526	1427	1420	1449	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	93	3027
alignment.nex	Acreichthys_tomentosusA	8577	2786	32.482	0.468	0.532	1466	1544	1538	1240	1	0	0	0	1	1	0	0	0	0	0	0	0	99	2687
alignment.nex	Acropoma_japonicaA	8577	520	6.063	0.453	0.547	1921	2221	2186	1728	0	0	0	0	1	0	0	0	0	0	0	0	0	243	277
alignment.nex	Acros_spA	8577	1859	21.674	0.443	0.557	1601	1902	1839	1375	0	0	0	1	0	0	0	0	0	0	0	11	0	237	1611
alignment.nex	Aeoliscus_strigatusA	8577	2490	29.031	0.463	0.537	1448	1652	1616	1368	0	0	1	2	0	0	0	0	0	0	0	1	0	87	2402
alignment.nex	Aethiomastecembelus_cunnA	8577	1745	20.345	0.481	0.519	1724	1790	1756	1561	0	0	1	0	0	0	0	0	0	0	0	0	0	222	1523
alignment.nex	Aleipsaurus_feroxA	8577	2041	23.796	0.438	0.562	1593	1912	1758	1271	0	0	0	2	0	0	0	0	0	0	0	0	0	231	1810
alignment.nex	Aleipsaurus_feroxB	8577	1476	17.209	0.438	0.562	1713	2059	1928	1398	0	0	2	1	0	0	0	0	0	0	0	0	0	261	1215
alignment.nex	Allolepis_hollandiA	8577	4142	48.292	0.44	0.56	1069	1290	1195	881	0	0	0	0	0	0	0	0	0	0	0	0	0	219	3923
alignment.nex	Ambassis_urotaeniaA	8577	416	4.85	0.465	0.535	2030	2215	2148	1765	1	0	1	0	0	1	0	0	0	0	0	0	0	240	176
alignment.nex	Ambloplites_rupestrisCB	8577	274	3.195	0.459	0.541	2016	2281	2214	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	243	31
alignment.nex	Amblycirrhitus_pinosA	8577	954	11.123	0.44	0.56	1802	2156	2108	1554	1	0	2	0	0	0	0	0	0	0	0	0	0	231	723
alignment.nex	Ameiurus_natalisA	8577	1471	17.151	0.492	0.508	1809	1841	1772	1684	0	0	0	0	0	0	0	0	0	0	0	1	0	237	1233
alignment.nex	Ammodytes_dubiusA	8577	2791	32.541	0.447	0.553	1411	1619	1577	1169	1	2	2	4	1	0	0	0	0	0	0	0	0	225	2566
alignment.nex	Ammodytes_hexA	8577	1307	15.238	0.445	0.555	1698	2037	1992	1529	0	1	6	6	0	1	0	0	0	0	0	4	0	225	1078
alignment.nex	Ammodytes_hexB	8577	2850	33.228	0.445	0.555	1396	1613	1564	1153	0	1	0	0	0	0	0	0	0	0	0	0	0	225	2625
alignment.nex	Anarhichas_lupusA	8577	303	3.533	0.443	0.557	1936	2332	2275	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	249	54
alignment.nex	Anisotremus_surinamensisA	8577	1346	15.693	0.451	0.549	1795	2005	1966	1464	0	0	0	1	0	0	0	0	0	0	0	0	0	243	1103
alignment.nex	Anomalops_katA	8577	340	3.964	0.458	0.542	1993	2286	2176	1781	0	0	1	0	0	0	0	0	0	0	0	0	0	249	91
alignment.nex	Anomalops_katB	8577	335	3.906	0.458	0.542	1993	2290	2175	1780	1	0	2	1	0	0	0	0	0	0	0	0	0	249	86
alignment.nex	Anomalops_katC	8577	387	4.512	0.458	0.542	1972	2273	2167	1775	0	1	0	2	0	0	0	0	0	0	0	0	0	249	138
alignment.nex	Anoplogaster_cornutaA	8577	1397	16.288	0.443	0.557	1683	2029	1965	1491	0	1	2	5	2	2	0	0	0	0	0	1	0	126	1270
alignment.nex	Anoplopoma_fimbriaA	8577	909	10.598	0.433	0.567	1759	2212	2125	1560	1	0	3	4	3	1	0	0	0	0	0	1	0	243	665
alignment.nex	Anotopterus_pharaoA	8577	3612	42.113	0.423	0.577	1166	1461	1399	934	0	0	2	2	1	0	0	0	0	0	0	1	0	99	3512
alignment.nex	Antennarius_striatusA	8577	1351	15.751	0.473	0.527	1869	1921	1890	1545	0	0	0	1	0	0	0	0	0	0	0	0	0	246	1105
alignment.nex	Antigonia_caprosA	8577	864	10.073	0.453	0.547	1871	2138	2083	1621	0	0	0	0	0	0	0	0	0	0	0	0	0	243	621
alignment.nex	Antigonia_rubescensA	8577	498	5.806	0.452	0.548	1932	2240	2184	1721	0	0	1	1	0	0	0	0	0	0	0	0	0	243	255
alignment.nex	Apeltes_quadracusA	8577	587	6.844	0.42	0.58	1779	2343	2279	1573	0	1	5	9	0	1	0	0	0	0	0	0	0	249	338
alignment.nex	Aphredoderus_Sayanus	8577	3639	42.427	0.44	0.56	1197	1422	1345	974	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3438
alignment.nex	Aphredoderus_sayA	8577	2839	33.1	0.446	0.554	1416	1632	1545	1142	0	1	1	1	0	0	0	0	0	0	0	0	0	261	2578
alignment.nex	Aplodinotus_grunniensA	8577	352	4.104	0.462	0.538	2031	2248	2178	1763	0	0	2	3	0	0	0	0	0	0	0	6	0	243	103
alignment.nex	Apogon_lateralisA	8577	413	4.815	0.472	0.528	2037	2180	2129	1811	0	0	1	5	0	1	0	0	0	0	0	1	0	249	163
alignment.nex	Aracana_auritaA	8577	550	6.412	0.467	0.533	1954	2174	2105	1791	0	0	1	2	0	0	0	0	0	0	0	0	0	258	292
alignment.nex	Archoplites_interuptusA	8577	246	2.868	0.458	0.542	2028	2295	2223	1784	0	0	0	1	0	0	0	0	0	0	0	0	0	243	3
alignment.nex	Argentina_silusA	8577	2527	29.463	0.444	0.556	1456	1703	1660	1228	0	0	1	2	0	0	0	0	0	0	0	2	0	261	2264
alignment.nex	Argyropelecus_affinisA	8577	3629	42.311	0.432	0.568	1160	1495	1312	978	0	0	1	2	0	0	0	0	0	0	0	0	0	213	3416
alignment.nex	Argyropelecus_gigasA	8577	2907	33.893	0.434	0.566	1334	1681	1529	1124	0	0	1	1	0	0	0	0	0	0	0	0	0	249	2658
alignment.nex	Arothron_nigropunctatusA	8577	983	11.461	0.441	0.559	1772	2167	2072	1566	1	0	3	10	1	2	0	0	0	0	0	0	0	225	758
alignment.nex	Arrhamphus_sclerolepisA	8577	2536	29.567	0.451	0.549	1413	1724	1595	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	192	2344
alignment.nex	Artediellus_uncinatusA	8577	1317	15.355	0.429	0.571	1721	2099	2043	1396	0	0	1	0	0	0	0	0	0	0	0	1	0	249	1067
alignment.nex	Aseraggodes_kobensisA	8577	2249	26.221	0.469	0.531	1594	1673	1688	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	204	2045
alignment.nex	Aspidophoroides_monA	8577	1370	15.973	0.424	0.576	1674	2111	2040	1377	0	0	1	3	1	0	0	0	0	0	0	0	0	255	1115
alignment.nex	Assurger_anzacA	8577	553	6.447	0.452	0.548	1916	2242	2156	1707	0	0	2	0	0	1	0	0	0	0	0	0	0	252	301
alignment.nex	Astrapogon_stellatusA	8577	555	6.471	0.472	0.528	1983	2110	2122	1802	0	0	2	3	0	0	0	0	0	0	0	0	0	240	315
alignment.nex	Astronesthes_leucopogonA	8577	4419	51.522	0.442	0.558	997	1226	1090	841	0	0	0	4	0	0	0	0	0	0	0	0	0	174	4245
alignment.nex	Astroscopus_y_graecumA	8577	312	3.638	0.456	0.544	2019	2297	2195	1741	2	1	4	6	0	0	0	0	0	0	0	3	0	243	66
alignment.nex	Ateleopus_japonicusA	8577	1690	19.704	0.434	0.566	1552	1967	1926	1436	1	0	2	3	0	0	0	0	0	0	0	0	0	120	1570
alignment.nex	Atherinomorus_lacunosusA	8577	1060	12.359	0.445	0.555	1789	2107	2065	1554	0	1	0	1	0	0	0	0	0	0	0	5	0	249	806
alignment.nex	Aulichthys_japonicusA	8577	1107	12.907	0.43	0.57	1680	2107	2073	1495	5	12	28	42	25	3	0	0	0	0	0	0	0	132	975
alignment.nex	Aulorhynchus_flavidusA	8577	380	4.43	0.43	0.57	1867	2372	2298	1652	0	0	1	5	1	1	0	0	0	0	0	0	0	249	131
alignment.nex	Aulostomus_chinensisA	8577	295	3.439	0.47	0.53	2041	2219	2169	1852	0	0	0	1	0	0	0	0	0	0	0	0	0	249	46
alignment.nex	Aulostomus_maculatusA	8577	385	4.489	0.47	0.53	2025	2177	2161	1829	0	0	0	0	0	0	0	0	0	0	0	3	0	249	133
alignment.nex	Aulotrachichthys_prosthemiusA	8577	2392	27.889	0.442	0.558	1475	1774	1678	1258	0	0	0	0	0	0	0	0	0	0	0	1	0	213	2178
alignment.nex	Aulotrachichthys_sajA	8577	334	3.894	0.444	0.556	1942	2366	2214	1720	0	0	0	1	0	0	0	0	0	0	0	1	0	255	78
alignment.nex	Auxis_rocheiA	8577	920	10.726	0.461	0.539	1878	2084	2038	1653	0	0	2	2	0	0	0	0	0	0	0	0	0	243	677
alignment.nex	Badis_pyemaA	8577	1575	18.363	0.482	0.518	1766	1806	1823	1607	0	0	0	0	0	0	0	0	0	0	0	0	0	213	1362
alignment.nex	Balistapus_undulatusA	8577	2583	30.115	0.46	0.54	1524	1634	1597	1232	1	0	3	2	1	0	0	0	0	0	0	1	0	90	2492
alignment.nex	Balistes_capriscusA	8577	2166	25.254	0.462	0.538	1615	1737	1713	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2046
alignment.nex	Balistes_vetulaA	8577	1038	12.102	0.457	0.543	1823	2074	2016	1616	0	0	1	7	1	1	0	0	0	0	0	3	0	120	915
alignment.nex	Banjos_banjosA	8577	2608	30.407	0.451	0.549	1465	1661	1618	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	243	2365
alignment.nex	Barathronus_maculatusA	8577	1351	15.751	0.465	0.535	1767	1973	1894	1591	0	0	0	1	0	0	0	0	0	0	0	0	0	249	1102
alignment.nex	Barbourisia_rufaA	8577	405	4.722	0.444	0.556	1915	2326	2217	1711	0	0	0	3	0	0	0	0	0	0	0	2	0	252	151
