Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cephalotes	688	32	4.651	47	1	55	57	23	52	8	46	62	46	13	27	26	25	27	27	44	55	2	13	0	0	0	0	0	0	32	0
alignment.nex	A__echinatior	688	32	4.651	47	1	55	57	23	52	8	46	62	46	13	27	26	25	27	27	44	55	2	13	0	0	0	0	0	0	32	0
alignment.nex	A__florea	688	4	0.581	51	2	55	60	24	54	8	46	64	50	14	30	26	25	30	29	44	54	2	16	0	0	0	0	0	0	4	0
alignment.nex	A__mellifera	688	30	4.36	47	1	54	57	25	52	7	45	67	48	14	27	26	23	28	27	44	51	2	13	0	0	0	0	0	0	30	0
alignment.nex	A__pisum	688	29	4.215	47	2	52	56	25	50	8	46	61	44	14	31	27	23	28	30	45	54	3	13	0	0	0	0	0	0	29	0
alignment.nex	B__impatiens	688	31	4.506	45	2	52	60	26	50	7	45	63	46	14	27	26	24	28	29	44	53	2	14	0	0	0	0	0	0	31	0
alignment.nex	B__mori	688	33	4.797	49	2	57	54	25	46	8	40	64	45	12	29	25	31	26	26	42	58	3	13	0	0	0	0	0	0	33	0
alignment.nex	B__terrestris	688	33	4.797	45	1	53	58	27	52	7	43	65	47	13	27	26	24	28	26	44	54	2	13	0	0	0	0	0	0	33	0
alignment.nex	C__floridanus	688	32	4.651	48	1	53	58	23	51	8	44	64	48	13	26	26	26	26	28	44	54	2	13	0	0	0	0	0	0	32	0
alignment.nex	C__quinquefasciatus	688	31	4.506	55	2	57	55	23	49	7	40	63	49	13	28	25	24	27	28	41	56	1	14	0	0	0	0	0	0	31	0
alignment.nex	D__melanogaster	688	32	4.651	50	2	55	54	24	53	9	42	64	51	10	29	26	26	26	28	37	55	2	13	0	0	0	0	0	0	32	0
alignment.nex	H__saltator	688	32	4.651	45	1	55	59	24	51	8	43	62	48	13	26	26	25	27	26	49	53	2	13	0	0	0	0	0	0	32	0
alignment.nex	L__humile	688	32	4.651	50	1	55	57	23	52	8	45	63	49	12	27	26	25	26	25	43	54	2	13	0	0	0	0	0	0	32	0
alignment.nex	N__vitrepennis	688	29	4.215	50	1	56	56	23	52	8	45	66	47	13	26	24	27	26	30	42	52	2	13	0	0	0	0	0	0	29	0
alignment.nex	P__barbatus	688	32	4.651	47	1	53	59	23	52	8	47	62	47	12	27	26	25	27	27	44	54	2	13	0	0	0	0	0	0	32	0
alignment.nex	S__invicta	688	32	4.651	47	1	56	56	23	52	8	46	62	46	12	27	26	25	28	27	44	55	2	13	0	0	0	0	0	0	32	0
alignment.nex	T__castaneum	688	117	17.006	43	3	47	42	24	44	8	37	50	39	13	26	20	21	27	22	38	55	3	9	0	0	0	0	0	0	117	0
