Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cephalotes_h1	680	29	4.265	55	6	44	49	24	55	7	47	54	47	13	32	25	24	27	33	53	38	2	16	0	0	0	0	0	0	29	0
alignment.nex	A__cephalotes_h2	680	32	4.706	57	6	43	49	26	51	6	44	54	47	14	32	23	23	29	37	48	43	2	14	0	0	0	0	0	0	32	0
alignment.nex	A__echinatior_h1	680	29	4.265	54	6	44	49	24	55	7	47	54	47	13	32	26	24	27	34	52	38	2	16	0	0	0	0	0	0	29	0
alignment.nex	A__echinatior_h2	680	37	5.441	57	6	43	50	26	50	6	43	54	45	13	32	23	23	28	38	49	41	2	14	0	0	0	0	0	0	37	0
alignment.nex	A__florea_h1	680	30	4.412	54	6	44	49	24	57	7	44	54	46	14	32	26	24	27	31	50	42	2	17	0	0	0	0	0	0	30	0
alignment.nex	A__florea_h2	680	41	6.029	51	6	42	50	26	50	8	43	53	44	13	34	22	22	29	33	55	42	2	14	0	0	0	0	0	0	41	0
alignment.nex	A__mellifera_h1	680	30	4.412	54	6	44	49	24	57	7	44	54	46	14	32	26	24	27	31	50	42	2	17	0	0	0	0	0	0	30	0
alignment.nex	A__mellifera_h2	680	40	5.882	51	6	42	50	26	51	8	45	53	43	13	34	22	23	29	33	54	41	2	14	0	0	0	0	0	0	40	0
alignment.nex	A__pisum_h1	680	26	3.824	53	4	41	53	24	57	6	48	54	42	16	38	27	21	27	34	53	39	2	15	0	0	0	0	0	0	26	0
alignment.nex	A__pisum_h2	680	19	2.794	53	4	47	48	25	62	6	46	55	41	19	36	28	20	27	33	53	41	2	15	0	0	0	0	0	0	19	0
alignment.nex	B__impatiens	680	49	7.206	55	6	45	44	27	42	5	47	49	43	9	39	19	25	33	35	51	39	2	16	0	0	0	0	0	0	49	0
alignment.nex	B__impatiens_h1	680	34	5.0	53	6	44	49	24	55	7	44	54	46	13	32	25	24	27	31	51	42	2	17	0	0	0	0	0	0	34	0
alignment.nex	B__mori	680	31	4.559	54	4	45	51	26	55	7	45	56	44	15	33	25	25	26	31	52	38	2	15	0	0	0	0	0	0	31	0
alignment.nex	B__terrestris	680	49	7.206	54	6	43	44	27	41	5	49	48	43	10	42	19	25	33	36	51	37	2	16	0	0	0	0	0	0	49	0
alignment.nex	B__terrestris_h1	680	34	5.0	53	6	44	49	24	55	7	44	54	46	13	33	25	24	27	30	51	42	2	17	0	0	0	0	0	0	34	0
alignment.nex	C__floridanus_h1	680	25	3.676	56	6	43	50	24	61	7	46	54	46	14	32	25	25	27	31	51	39	2	16	0	0	0	0	0	0	25	0
alignment.nex	C__floridanus_h2	680	37	5.441	54	6	42	52	26	51	6	47	54	43	12	32	24	22	28	36	51	41	2	14	0	0	0	0	0	0	37	0
alignment.nex	C__quinquefasciatus_h1	680	34	5.0	57	5	47	47	26	52	10	43	50	45	17	34	28	22	28	35	47	39	2	12	0	0	0	0	0	0	34	0
alignment.nex	C__quinquefasciatus_h2	680	25	3.676	59	7	47	48	26	53	8	44	54	47	13	34	26	22	27	34	53	38	2	13	0	0	0	0	0	0	25	0
alignment.nex	D__melanogaster	680	29	4.265	58	5	48	47	24	53	8	43	51	50	12	32	25	23	30	31	55	40	2	14	0	0	0	0	0	0	29	0
alignment.nex	H__saltator_h1	680	18	2.647	55	6	44	49	24	64	7	45	55	46	14	33	27	24	28	30	52	40	3	16	0	0	0	0	0	0	18	0
alignment.nex	H__saltator_h2	680	42	6.176	52	6	43	51	25	47	7	46	53	42	13	31	23	24	28	39	51	41	2	14	0	0	0	0	0	0	42	0
alignment.nex	L__humile_h1	680	29	4.265	56	6	44	49	24	56	7	46	54	46	14	33	26	25	27	32	49	39	2	16	0	0	0	0	0	0	29	0
alignment.nex	L__humile_h2	680	33	4.853	56	6	44	50	26	54	7	47	53	41	13	32	24	24	28	37	52	37	2	14	0	0	0	0	0	0	33	0
alignment.nex	N__vitripennis_h1	680	25	3.676	57	6	44	49	24	60	7	46	52	45	14	33	25	25	27	33	48	42	2	16	0	0	0	0	0	0	25	0
alignment.nex	N__vitripennis_h2	680	35	5.147	53	6	44	48	24	50	5	47	51	46	12	32	26	27	28	40	50	39	2	15	0	0	0	0	0	0	35	0
alignment.nex	P__barbatus_h1	680	28	4.118	55	6	44	49	24	57	7	46	54	46	13	32	26	25	27	31	53	39	2	16	0	0	0	0	0	0	28	0
alignment.nex	P__barbatus_h2	680	33	4.853	56	6	44	49	27	53	7	47	53	43	13	32	24	23	28	36	50	40	2	14	0	0	0	0	0	0	33	0
alignment.nex	S__invicta_h1	680	146	21.471	46	5	37	43	17	47	5	38	45	43	10	25	19	19	22	28	41	30	1	13	0	0	0	0	0	0	146	0
alignment.nex	S__invicta_h2	680	36	5.294	57	6	44	50	26	49	6	46	53	43	13	31	24	23	29	40	48	40	2	14	0	0	0	0	0	0	36	0
alignment.nex	T__castaneum	680	31	4.559	56	5	44	51	24	54	7	46	53	44	14	35	26	24	28	34	48	38	2	16	0	0	0	0	0	0	31	0
