Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cephalotes	811	42	5.179	36	8	56	95	31	34	13	49	85	68	22	30	22	26	30	51	34	48	4	27	0	0	0	0	0	0	42	0
alignment.nex	A__echinatior	811	87	10.727	32	8	57	94	27	32	12	46	83	61	22	30	21	22	29	46	31	44	4	23	0	0	0	0	0	0	87	0
alignment.nex	A__florea_h1	811	94	11.591	31	6	52	90	28	35	12	52	80	58	18	36	17	24	25	43	40	43	4	23	0	0	0	0	0	0	94	0
alignment.nex	A__florea_h2	811	87	10.727	35	8	57	92	27	33	12	47	81	59	21	31	24	22	29	43	30	46	4	23	0	0	0	0	0	0	87	0
alignment.nex	A__mellifera_h1	811	93	11.467	32	6	52	92	28	34	13	51	80	58	19	35	18	24	25	44	37	43	4	23	0	0	0	0	0	0	93	0
alignment.nex	A__mellifera_h2	811	87	10.727	35	8	57	91	27	34	12	47	81	59	21	31	24	22	29	43	30	46	4	23	0	0	0	0	0	0	87	0
alignment.nex	A__pisum_1	811	52	6.412	35	6	57	84	30	32	14	53	81	62	22	34	22	25	28	59	38	49	5	23	0	0	0	0	0	0	52	0
alignment.nex	A__pisum_2	811	83	10.234	37	6	60	86	25	32	12	49	79	61	20	29	22	25	28	51	33	47	4	22	0	0	0	0	0	0	83	0
alignment.nex	B__impatiens_h1	811	94	11.591	34	6	49	93	27	36	13	46	78	59	20	31	19	24	27	41	40	47	4	23	0	0	0	0	0	0	94	0
alignment.nex	B__impatiens_h2	811	86	10.604	34	8	56	94	27	33	12	48	81	59	21	29	23	22	30	45	30	46	4	23	0	0	0	0	0	0	86	0
alignment.nex	B__mori	811	95	11.714	38	6	54	90	23	34	13	45	75	60	20	31	22	22	31	43	31	47	4	27	0	0	0	0	0	0	95	0
alignment.nex	B__terrestris_h1	811	94	11.591	34	6	46	96	27	36	13	46	78	59	20	33	19	24	27	42	37	47	4	23	0	0	0	0	0	0	94	0
alignment.nex	B__terrestris_h2	811	86	10.604	34	8	56	94	27	33	12	48	81	59	21	29	23	22	30	45	30	46	4	23	0	0	0	0	0	0	86	0
alignment.nex	C__floridanus	811	89	10.974	34	8	56	92	27	33	12	45	81	61	21	30	23	22	29	45	32	44	4	23	0	0	0	0	0	0	89	0
alignment.nex	C__quinquefasciatus_1	811	92	11.344	45	6	61	79	28	36	10	44	77	64	22	28	19	25	25	47	28	46	4	25	0	0	0	0	0	0	92	0
alignment.nex	C__quinquefasciatus_2	811	95	11.714	43	6	61	80	28	37	10	44	77	62	20	28	19	24	25	48	28	47	4	25	0	0	0	0	0	0	95	0
alignment.nex	C__quinquefasciatus_3	811	95	11.714	44	6	61	80	28	37	10	44	77	62	20	29	19	24	25	47	28	46	4	25	0	0	0	0	0	0	95	0
alignment.nex	D__melanogaster	811	94	11.591	41	5	64	76	29	33	10	43	77	61	20	32	20	23	26	50	36	44	4	23	0	0	0	0	0	0	94	0
alignment.nex	H__saltator	811	88	10.851	36	8	59	90	27	32	12	47	81	61	21	31	24	22	29	42	30	44	4	23	0	0	0	0	0	0	88	0
alignment.nex	L__humile_X1	811	88	10.851	35	8	56	93	27	32	12	45	80	62	20	31	23	22	31	42	31	46	4	23	0	0	0	0	0	0	88	0
alignment.nex	L__humile_X2	811	88	10.851	35	8	54	95	27	32	12	46	81	61	21	31	23	22	30	42	32	44	4	23	0	0	0	0	0	0	88	0
alignment.nex	N__vitripennis_h1	811	116	14.303	35	7	52	89	24	33	12	41	81	59	18	31	20	19	26	42	28	49	4	25	0	0	0	0	0	0	116	0
alignment.nex	N__vitripennis_h2	811	180	22.195	33	8	45	69	27	30	12	44	64	56	20	29	16	23	26	42	25	39	3	20	0	0	0	0	0	0	180	0
alignment.nex	P__barbatus	811	89	10.974	33	8	56	92	27	33	12	48	81	61	22	31	22	22	29	44	32	42	4	23	0	0	0	0	0	0	89	0
alignment.nex	T__castaneum	811	90	11.097	40	6	54	89	27	37	11	47	81	59	19	32	19	23	30	44	32	44	4	23	0	0	0	0	0	0	90	0
