Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cepahlotes	704	63	8.949	57	3	38	53	19	47	4	37	62	47	16	25	22	42	22	41	37	54	1	14	0	0	0	0	0	0	63	0
alignment.nex	A__echinatior	704	105	14.915	52	2	38	50	18	43	4	33	58	46	15	23	21	38	21	39	34	51	1	12	0	0	0	0	0	0	105	0
alignment.nex	A__florea	704	17	2.415	55	5	42	51	21	50	5	39	60	52	18	28	24	46	31	45	46	55	1	13	0	0	0	0	0	0	17	0
alignment.nex	A__mellifera	704	17	2.415	55	5	42	51	21	50	5	39	60	52	18	27	24	46	31	46	46	55	1	13	0	0	0	0	0	0	17	0
alignment.nex	A__pisum	704	24	3.409	58	3	42	46	19	51	4	41	57	53	12	29	23	50	25	50	47	57	1	12	0	0	0	0	0	0	24	0
alignment.nex	B__impatiens	704	17	2.415	59	4	44	50	21	49	5	40	62	51	17	26	24	47	28	41	48	55	1	15	0	0	0	0	0	0	17	0
alignment.nex	B__mori	704	14	1.989	61	4	44	49	20	55	6	35	52	52	18	27	24	48	35	40	48	58	1	13	0	0	0	0	0	0	14	0
alignment.nex	B__terrestris	704	18	2.557	59	4	44	51	21	49	5	40	62	52	15	25	24	46	28	42	48	55	1	15	0	0	0	1	0	0	17	0
alignment.nex	C__floridanus	704	45	6.392	62	4	40	49	20	46	5	33	61	55	15	28	23	42	26	36	43	56	1	14	0	0	0	0	0	0	45	0
alignment.nex	C__quinquefasciatus	704	31	4.403	63	4	44	50	18	54	7	37	61	51	17	29	20	32	27	50	41	57	1	10	0	0	0	0	0	0	31	0
alignment.nex	D__melanogaster	704	18	2.557	61	4	39	52	19	54	7	39	58	56	17	29	24	32	28	58	43	54	1	11	0	0	0	0	0	0	18	0
alignment.nex	H__saltator	704	19	2.699	58	3	42	51	21	50	5	40	64	52	17	27	23	42	26	46	43	60	1	14	0	0	0	0	0	0	19	0
alignment.nex	L__humile	704	18	2.557	62	4	40	55	20	47	5	37	64	53	15	29	22	45	26	42	43	61	1	15	0	0	0	0	0	0	18	0
alignment.nex	N__vitrepennis	704	17	2.415	66	4	39	56	23	53	5	37	61	46	18	27	25	47	30	35	45	56	1	13	0	0	0	0	0	0	17	0
alignment.nex	P__barbatus	704	40	5.682	64	4	37	53	22	45	5	41	65	43	16	27	22	43	25	40	42	55	1	14	0	0	0	0	0	0	40	0
alignment.nex	S__invicta	704	129	18.324	51	6	34	44	24	31	3	33	56	45	13	31	18	34	23	35	36	44	0	14	0	0	0	6	0	0	123	0
alignment.nex	T__castaneum	704	14	1.989	58	4	41	58	20	54	6	37	67	46	20	28	22	33	28	49	43	60	1	15	0	0	0	0	0	0	14	0
