Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cephalotes	385	36	9.351	25	4	25	23	22	37	8	21	35	25	5	9	22	9	21	19	19	9	1	10	0	0	0	0	0	0	36	0
alignment.nex	A__echinatior	385	36	9.351	27	4	25	23	22	37	8	22	35	25	5	9	22	9	21	19	17	8	1	10	0	0	0	0	0	0	36	0
alignment.nex	A__florea	385	48	12.468	20	3	22	21	19	38	6	21	37	24	3	11	19	12	18	20	17	15	1	10	0	0	0	0	0	0	48	0
alignment.nex	A__mellifera	385	48	12.468	20	3	22	21	19	39	6	21	37	24	3	11	19	12	18	19	17	15	1	10	0	0	0	0	0	0	48	0
alignment.nex	A__pisum	385	44	11.429	20	3	27	18	18	32	6	21	37	18	9	12	19	11	17	24	16	19	1	13	0	0	0	0	0	0	44	0
alignment.nex	B__impatiens	385	32	8.312	20	3	27	20	21	42	7	24	36	24	4	10	19	12	20	18	20	15	1	10	0	0	0	0	0	0	32	0
alignment.nex	B__mori	385	34	8.831	21	1	26	22	21	40	9	20	39	21	9	7	21	11	18	18	21	15	1	10	0	0	0	0	0	0	34	0
alignment.nex	B__terrestris	385	32	8.312	20	3	27	20	21	42	7	24	36	24	4	10	19	12	20	18	20	15	1	10	0	0	0	0	0	0	32	0
alignment.nex	C__floridanus	385	36	9.351	25	4	24	24	22	38	8	22	35	24	6	10	23	9	21	17	18	8	1	10	0	0	0	0	0	0	36	0
alignment.nex	C__quinquefasciatus	385	39	10.13	14	2	24	24	24	28	9	17	42	26	5	13	19	9	16	27	19	14	2	12	0	0	0	0	0	0	39	0
alignment.nex	D__melanogaster	385	35	9.091	21	2	27	19	26	29	8	17	40	23	7	9	20	13	18	23	18	17	1	12	0	0	0	0	0	0	35	0
alignment.nex	H__saltator	385	34	8.831	27	4	27	22	22	39	8	20	35	24	6	8	24	9	21	16	19	9	1	10	0	0	0	0	0	0	34	0
alignment.nex	L__humile	385	34	8.831	26	4	25	23	22	40	8	23	35	23	6	8	23	9	21	18	18	8	1	10	0	0	0	0	0	0	34	0
alignment.nex	N__vitripennis	385	149	38.701	18	2	19	16	14	38	4	11	25	14	4	3	10	6	10	8	14	11	1	8	0	0	0	0	0	0	149	0
alignment.nex	P__barbatus	385	23	5.974	26	6	25	26	22	38	8	20	32	27	5	12	22	9	25	22	18	10	1	8	0	0	0	0	0	0	23	0
alignment.nex	S__invicta	385	35	9.091	25	4	25	23	23	39	8	20	35	24	4	9	23	9	21	17	19	11	1	10	0	0	0	0	0	0	35	0
alignment.nex	T__castaneum	385	37	9.61	23	3	29	16	20	31	8	22	35	21	5	13	24	8	19	24	18	14	1	14	0	0	0	0	0	0	37	0
