Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	LSUMZ_H13961	7282	1225	16.822	0.519	0.481	1594	1672	1240	1551	0	0	0	0	0	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H13962	7282	1225	16.822	0.519	0.481	1594	1672	1239	1548	0	1	1	2	0	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H13964	7282	1225	16.822	0.519	0.481	1595	1671	1239	1550	0	0	1	1	0	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H18733	7282	927	12.73	0.526	0.474	1672	1677	1334	1670	0	0	1	1	0	0	0	0	0	0	0	0	0	121	806
alignment.nex	LSUMZ_H20683	7282	200	2.746	0.525	0.475	1864	1892	1471	1855	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H20684	7282	200	2.746	0.525	0.475	1864	1891	1471	1855	0	0	0	1	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H20685	7282	200	2.746	0.525	0.475	1864	1891	1471	1855	0	0	0	1	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H20686	7282	200	2.746	0.525	0.475	1864	1891	1471	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21699	7282	931	12.785	0.511	0.489	1610	1735	1373	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	125	806
alignment.nex	LSUMZ_H21700	7282	931	12.785	0.51	0.49	1609	1736	1374	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	125	806
alignment.nex	LSUMZ_H21701	7282	1225	16.822	0.522	0.478	1601	1662	1233	1557	0	1	1	2	0	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H21702	7282	1225	16.822	0.521	0.479	1601	1663	1234	1556	0	0	0	3	0	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H21705	7282	1225	16.822	0.519	0.481	1595	1671	1241	1547	1	0	0	1	1	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H21706	7282	1225	16.822	0.519	0.481	1595	1671	1241	1548	0	0	0	1	1	0	0	0	0	0	0	0	0	119	1106
alignment.nex	LSUMZ_H21707	7282	1224	16.809	0.521	0.479	1605	1669	1230	1550	1	0	1	2	0	0	0	0	0	0	0	0	0	118	1106
alignment.nex	LSUMZ_H21708	7282	201	2.76	0.525	0.475	1864	1891	1468	1856	0	0	2	0	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	LSUMZ_H21709	7282	200	2.746	0.526	0.474	1865	1885	1467	1859	1	0	1	4	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21710	7282	201	2.76	0.526	0.474	1866	1891	1468	1855	1	0	0	0	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	LSUMZ_H21711	7282	201	2.76	0.525	0.475	1848	1882	1480	1866	1	0	1	3	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	LSUMZ_H21712	7282	200	2.746	0.526	0.474	1865	1889	1468	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21713	7282	201	2.76	0.524	0.476	1846	1883	1483	1865	1	0	0	3	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	LSUMZ_H21714	7282	200	2.746	0.526	0.474	1865	1889	1468	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21715	7282	225	3.09	0.525	0.475	1853	1891	1460	1852	1	0	0	0	0	0	0	0	0	0	0	0	0	200	25
alignment.nex	LSUMZ_H21718	7282	238	3.268	0.531	0.469	1863	1852	1450	1878	0	0	0	1	0	0	0	0	0	0	0	0	0	179	59
alignment.nex	LSUMZ_H21719	7282	238	3.268	0.531	0.469	1863	1852	1450	1878	0	0	0	1	0	0	0	0	0	0	0	0	0	179	59
alignment.nex	LSUMZ_H21720	7282	238	3.268	0.531	0.469	1863	1851	1450	1878	0	0	0	2	0	0	0	0	0	0	0	0	0	179	59
alignment.nex	LSUMZ_H21724	7282	200	2.746	0.525	0.475	1863	1891	1472	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21725	7282	186	2.554	0.521	0.479	1847	1902	1496	1851	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
alignment.nex	LSUMZ_H21726	7282	186	2.554	0.521	0.479	1847	1902	1496	1851	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
alignment.nex	LSUMZ_H21727	7282	203	2.788	0.525	0.475	1862	1894	1469	1850	0	0	0	4	0	0	0	0	0	0	0	0	0	203	0
alignment.nex	LSUMZ_H21729	7282	203	2.788	0.526	0.474	1862	1884	1470	1860	0	0	0	3	0	0	0	0	0	0	0	0	0	203	0
alignment.nex	LSUMZ_H21730	7282	200	2.746	0.524	0.476	1856	1897	1475	1852	0	0	1	1	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H21731	7282	180	2.472	0.52	0.48	1839	1911	1500	1850	0	0	0	2	0	0	0	0	0	0	0	0	0	180	0
alignment.nex	LSUMZ_H21733	7282	185	2.541	0.525	0.475	1851	1885	1489	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
alignment.nex	LSUMZ_H21734	7282	185	2.541	0.525	0.475	1850	1885	1489	1872	0	0	1	0	0	0	0	0	0	0	0	0	0	185	0
alignment.nex	LSUMZ_H21735	7282	185	2.541	0.525	0.475	1851	1885	1489	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0
alignment.nex	LSUMZ_H21736	7282	185	2.541	0.525	0.475	1851	1884	1488	1872	0	0	1	0	1	0	0	0	0	0	0	0	0	185	0
alignment.nex	LSUMZ_H21737	7282	180	2.472	0.52	0.48	1839	1911	1500	1849	0	0	0	3	0	0	0	0	0	0	0	0	0	180	0
alignment.nex	LSUMZ_H21738	7282	180	2.472	0.52	0.48	1839	1911	1500	1851	0	0	0	1	0	0	0	0	0	0	0	0	0	180	0
alignment.nex	LSUMZ_H21739	7282	185	2.541	0.525	0.475	1851	1884	1489	1872	0	0	1	0	0	0	0	0	0	0	0	0	0	185	0
alignment.nex	LSUMZ_H21741	7282	186	2.554	0.522	0.478	1843	1897	1495	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
alignment.nex	LSUMZ_H21742	7282	186	2.554	0.522	0.478	1845	1897	1493	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
alignment.nex	LSUMZ_H21745	7282	208	2.856	0.525	0.475	1851	1889	1474	1859	0	0	1	0	0	0	0	0	0	0	0	0	0	208	0
alignment.nex	LSUMZ_H21746	7282	208	2.856	0.525	0.475	1852	1889	1474	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0
alignment.nex	LSUMZ_H21747	7282	208	2.856	0.524	0.476	1850	1889	1475	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0
alignment.nex	LSUMZ_H21748	7282	674	9.256	0.53	0.47	1754	1742	1366	1745	0	0	0	0	1	0	0	0	0	0	0	0	0	110	564
alignment.nex	LSUMZ_H21751	7282	1259	17.289	0.518	0.482	1591	1666	1239	1526	0	0	0	0	1	0	0	0	0	0	0	0	0	153	1106
alignment.nex	LSUMZ_H21752	7282	1259	17.289	0.519	0.481	1593	1659	1239	1531	0	0	0	0	1	0	0	0	0	0	0	0	0	153	1106
alignment.nex	LSUMZ_H21753	7282	1259	17.289	0.519	0.481	1592	1659	1240	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	153	1106
alignment.nex	LSUMZ_H21755	7282	322	4.422	0.533	0.467	1817	1814	1439	1889	0	0	1	0	0	0	0	0	0	0	0	0	0	158	164
alignment.nex	LSUMZ_H21756	7282	297	4.079	0.537	0.463	1837	1795	1434	1908	1	0	6	2	2	0	0	0	0	0	0	0	0	157	140
alignment.nex	LSUMZ_H21761	7282	1212	16.644	0.507	0.493	1549	1705	1287	1527	0	0	0	2	0	0	0	0	0	0	0	0	0	106	1106
alignment.nex	LSUMZ_H21763	7282	684	9.393	0.528	0.472	1728	1744	1372	1754	0	0	0	0	0	0	0	0	0	0	0	0	0	120	564
alignment.nex	LSUMZ_H21764	7282	684	9.393	0.528	0.472	1728	1741	1373	1754	0	0	1	1	0	0	0	0	0	0	0	0	0	120	564
alignment.nex	LSUMZ_H21765	7282	684	9.393	0.528	0.472	1729	1744	1373	1751	0	0	0	0	0	1	0	0	0	0	0	0	0	120	564
alignment.nex	LSUMZ_H21766	7282	212	2.911	0.523	0.477	1851	1908	1465	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21768	7282	212	2.911	0.523	0.477	1850	1907	1465	1847	0	0	0	0	0	1	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21769	7282	212	2.911	0.523	0.477	1850	1907	1465	1846	0	0	0	1	0	1	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21771	7282	212	2.911	0.523	0.477	1851	1908	1465	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21815	7282	212	2.911	0.523	0.477	1848	1907	1467	1846	0	0	0	0	0	2	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21831	7282	212	2.911	0.523	0.477	1849	1907	1465	1847	0	0	1	0	0	1	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H21872	7282	212	2.911	0.523	0.477	1851	1908	1465	1846	0	0	0	0	0	0	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H6420	7282	1237	16.987	0.506	0.494	1544	1718	1267	1515	0	0	0	0	0	1	0	0	0	0	0	0	0	106	1131
alignment.nex	LSUMZ_H6758	7282	205	2.815	0.525	0.475	1844	1875	1483	1871	1	0	0	3	0	0	0	0	0	0	0	0	0	205	0
alignment.nex	LSUMZ_H6760	7282	200	2.746	0.526	0.474	1862	1890	1468	1859	0	0	2	1	0	0	0	0	0	0	0	0	0	200	0
alignment.nex	LSUMZ_H6903	7282	225	3.09	0.525	0.475	1852	1893	1462	1849	0	0	0	1	0	0	0	0	0	0	0	0	0	200	25
alignment.nex	LSUMZ_H6976	7282	238	3.268	0.531	0.469	1863	1854	1450	1877	0	0	0	0	0	0	0	0	0	0	0	0	0	179	59
alignment.nex	LSUMZ_H6978	7282	187	2.568	0.517	0.483	1838	1932	1495	1829	0	0	1	0	0	0	0	0	0	0	0	0	0	187	0
alignment.nex	LSUMZ_H6982	7282	201	2.76	0.526	0.474	1867	1890	1467	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	LSUMZ_H6984	7282	205	2.815	0.525	0.475	1844	1875	1483	1871	1	0	0	3	0	0	0	0	0	0	0	0	0	205	0
alignment.nex	LSUMZ_H6985	7282	212	2.911	0.517	0.483	1829	1929	1486	1825	0	0	0	1	0	0	0	0	0	0	0	0	0	187	25
alignment.nex	LSUMZ_H6990	7282	274	3.763	0.537	0.463	1841	1799	1442	1920	0	0	4	0	2	0	0	0	0	0	0	0	0	157	117
alignment.nex	LSUMZ_H6992	7282	217	2.98	0.537	0.463	1864	1808	1462	1929	0	0	2	0	0	0	0	0	0	0	0	0	0	157	60
alignment.nex	LSUMZ_H6995	7282	187	2.568	0.523	0.477	1860	1910	1476	1849	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0
alignment.nex	LSUMZ_H6998	7282	919	12.62	0.502	0.498	1605	1792	1377	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	105	814
alignment.nex	LSUMZ_H7070	7282	186	2.554	0.521	0.479	1847	1901	1496	1852	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0
alignment.nex	LSUMZ_H7071	7282	745	10.231	0.516	0.484	1713	1765	1397	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	181	564
alignment.nex	LSUMZ_H7868	7282	931	12.785	0.51	0.49	1610	1736	1373	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	125	806
alignment.nex	LSUMZ_H7873	7282	1221	16.767	0.509	0.491	1567	1712	1261	1519	0	0	2	0	0	0	0	0	0	0	0	0	0	106	1115
