Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Acanthixalus_sonjae	12712	12185	95.854	0.548	0.452	161	134	104	128	0	0	0	0	0	0	0	0	0	0	0	0	0	12185	0
alignment.nex	Acanthixalus_spinosus	12712	11433	89.939	0.565	0.435	380	321	236	341	0	0	0	0	0	1	0	0	0	0	0	1	0	11432	0
alignment.nex	Acris_blanchardi	12712	11577	91.071	0.514	0.486	258	317	234	325	1	0	0	0	0	0	0	0	0	0	0	0	0	11577	0
alignment.nex	Acris_crepitans	12712	5762	45.327	0.54	0.46	1920	1628	1560	1828	1	2	2	6	2	1	0	0	0	0	0	0	0	5762	0
alignment.nex	Acris_gryllus	12712	8084	63.593	0.56	0.44	1425	1116	916	1164	0	1	3	3	0	0	0	0	0	0	0	0	0	8084	0
alignment.nex	Adelophryne_gutturosa	12712	5612	44.147	0.57	0.43	2131	1555	1496	1917	0	0	1	0	0	0	0	0	0	0	0	0	0	5612	0
alignment.nex	Adelotus_brevis	12712	9806	77.14	0.532	0.468	867	782	576	677	0	0	0	2	2	0	0	0	0	0	0	6	0	9800	0
alignment.nex	Adenomera_andreae	12712	12338	97.058	0.602	0.398	124	87	62	101	0	0	0	0	0	0	0	0	0	0	0	0	0	12338	0
alignment.nex	Adenomera_heyeri	12712	12347	97.129	0.605	0.395	126	79	65	95	0	0	0	0	0	0	0	0	0	0	0	0	0	12347	0
alignment.nex	Adenomera_hylaedactyla	12712	9818	77.234	0.559	0.441	905	727	550	711	0	0	1	0	0	0	0	0	0	0	0	0	0	9818	0
alignment.nex	Adenomus_kelaartii	12712	7190	56.561	0.578	0.422	1669	1140	1184	1520	2	1	0	6	0	0	0	0	0	0	0	0	0	7190	0
alignment.nex	Afrixalus_delicatus	12712	11423	89.86	0.577	0.423	405	295	249	338	1	0	0	1	0	0	0	0	0	0	0	1	0	11422	0
alignment.nex	Afrixalus_dorsalis	12712	7240	56.954	0.567	0.433	1549	1158	1202	1540	1	3	6	9	1	3	0	0	0	0	0	1	0	7239	0
alignment.nex	Afrixalus_fornasini	12712	9286	73.049	0.552	0.448	1029	826	707	857	1	0	1	3	1	1	0	0	0	0	0	3	0	9283	0
alignment.nex	Afrixalus_knysnae	12712	11841	93.148	0.582	0.418	291	186	178	216	0	0	0	0	0	0	0	0	0	0	0	0	0	11841	0
alignment.nex	Afrixalus_laevis	12712	11842	93.156	0.591	0.409	301	190	166	213	0	0	0	0	0	0	0	0	0	0	0	0	0	11842	0
alignment.nex	Afrixalus_paradorsalis	12712	10470	82.363	0.623	0.377	834	461	385	562	0	0	0	0	0	0	0	0	0	0	0	0	0	10470	0
alignment.nex	Afrixalus_stuhlmanni	12712	9575	75.323	0.548	0.452	983	770	644	727	0	2	6	4	0	1	0	0	0	0	0	0	0	9575	0
alignment.nex	Agalychnis_annae	12712	10062	79.154	0.55	0.45	736	648	543	722	0	0	1	0	0	0	0	0	0	0	0	0	0	10062	0
alignment.nex	Agalychnis_callidryas	12712	9459	74.41	0.536	0.464	941	844	666	801	1	0	0	0	0	0	0	0	0	0	0	1	0	9458	0
alignment.nex	Agalychnis_litodryas	12712	9299	73.151	0.604	0.396	1161	769	581	900	0	1	0	0	1	0	0	0	0	0	0	0	0	9299	0
alignment.nex	Agalychnis_moreletii	12712	9738	76.605	0.555	0.445	823	729	594	828	0	0	0	0	0	0	0	0	0	0	0	0	0	9738	0
alignment.nex	Agalychnis_saltator	12712	9188	72.278	0.592	0.408	1159	767	670	928	0	0	0	0	0	0	0	0	0	0	0	0	0	9188	0
alignment.nex	Agalychnis_spurrelli	12712	10712	84.267	0.572	0.428	643	499	358	500	0	0	0	0	0	0	0	0	0	0	0	0	0	10712	0
alignment.nex	Aglyptodactylus_laticeps	12712	11729	92.267	0.533	0.467	289	244	215	235	0	0	0	0	0	0	0	0	0	0	0	0	0	11729	0
alignment.nex	Aglyptodactylus_madagascariensis	12712	8540	67.181	0.567	0.433	1279	936	867	1084	0	0	1	5	0	0	0	0	0	0	0	2	0	8538	0
alignment.nex	Albericus_laurini	12712	11788	92.731	0.583	0.417	329	223	162	210	0	0	0	0	0	0	0	0	0	0	0	0	0	11788	0
alignment.nex	Alexteroon_obstetricans	12712	9746	76.668	0.556	0.444	892	704	613	757	0	0	0	0	0	0	0	0	0	0	0	0	0	9746	0
alignment.nex	Allobates_brunneus	12712	8842	69.556	0.566	0.434	1205	964	715	985	0	1	0	0	0	0	0	0	0	0	0	1	0	8841	0
alignment.nex	Allobates_caeruleodactylus	12712	8843	69.564	0.563	0.437	1159	956	734	1020	0	0	0	0	0	0	0	0	0	0	0	0	0	8843	0
alignment.nex	Allobates_conspicuus	12712	8852	69.635	0.571	0.429	1183	960	696	1018	0	0	0	2	0	1	0	0	0	0	0	0	0	8852	0
alignment.nex	Allobates_femoralis	12712	7989	62.846	0.546	0.454	1397	1198	942	1183	0	0	1	1	1	0	0	0	0	0	0	3	0	7986	0
alignment.nex	Allobates_gasconi	12712	9986	78.556	0.587	0.413	852	663	464	747	0	0	0	0	0	0	0	0	0	0	0	0	0	9986	0
alignment.nex	Allobates_juanii	12712	9237	72.664	0.57	0.43	1081	865	626	898	0	1	0	3	1	0	0	0	0	0	0	0	0	9237	0
alignment.nex	Allobates_nidicola	12712	8873	69.8	0.558	0.442	1175	974	721	969	0	0	0	0	0	0	0	0	0	0	0	0	0	8873	0
alignment.nex	Allobates_talamancae	12712	8852	69.635	0.565	0.435	1171	964	713	1011	0	0	0	0	1	0	0	0	0	0	0	0	0	8852	0
