Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Abi	1296042	9183	0.709	0.562	0.438	368682	244679	318989	354509	0	0	0	0	0	0	0	0	0	0	0	0	0	9183	0
alignment.nex	Aco	1296042	10845	0.837	0.574	0.426	370849	237492	310231	366625	0	0	0	0	0	0	0	0	0	0	0	0	0	10845	0
alignment.nex	Ame	1296042	10386	0.801	0.565	0.435	369955	241417	317852	356432	0	0	0	0	0	0	0	0	0	0	0	0	0	10386	0
alignment.nex	Ara	1296042	11703	0.903	0.562	0.438	369456	242301	320131	352451	0	0	0	0	0	0	0	0	0	0	0	0	0	11703	0
alignment.nex	Ath	1296042	7140	0.551	0.555	0.445	362643	254401	318891	352967	0	0	0	0	0	0	0	0	0	0	0	0	0	7140	0
alignment.nex	Atr	1296042	36850	2.843	0.552	0.448	348445	247665	316808	346274	0	0	0	0	0	0	0	0	0	0	0	1	0	36849	0
alignment.nex	Bdi	1296042	10020	0.773	0.506	0.494	332766	295087	340690	317479	0	0	0	0	0	0	0	0	0	0	0	0	0	10020	0
alignment.nex	Cep	1296042	9930	0.766	0.565	0.435	370259	241287	317622	356944	0	0	0	0	0	0	0	0	0	0	0	0	0	9930	0
alignment.nex	Cga	1296042	22722	1.753	0.558	0.442	360428	244972	317684	350236	0	0	0	0	0	0	0	0	0	0	0	0	0	22722	0
alignment.nex	Cun	1296042	11529	0.89	0.568	0.432	371835	239070	316073	357535	0	0	0	0	0	0	0	0	0	0	0	0	0	11529	0
alignment.nex	Cyc	1296042	10785	0.832	0.558	0.442	363300	243953	324239	353765	0	0	0	0	0	0	0	0	0	0	0	0	0	10785	0
alignment.nex	Eph	1296042	15156	1.169	0.572	0.428	376921	240634	307130	356201	0	0	0	0	0	0	0	0	0	0	0	0	0	15156	0
alignment.nex	Fok	1296042	14481	1.117	0.57	0.43	372382	237834	313723	357622	0	0	0	0	0	0	0	0	0	0	0	0	0	14481	0
alignment.nex	Gin	1296042	9156	0.706	0.561	0.439	366672	243779	321403	355032	0	0	0	0	0	0	0	0	0	0	0	0	0	9156	0
alignment.nex	Gma	1296042	8031	0.62	0.556	0.444	358659	254040	317222	358090	0	0	0	0	0	0	0	0	0	0	0	0	0	8031	0
alignment.nex	Gne	1296042	19125	1.476	0.567	0.433	368852	241343	312001	354721	0	0	0	0	0	0	0	0	0	0	0	0	0	19125	0
alignment.nex	Lja	1296042	91968	7.096	0.543	0.457	332926	243575	306182	321391	0	0	0	0	0	0	0	0	0	0	0	0	0	91968	0
alignment.nex	Ltu	1296042	143498	11.072	0.534	0.466	313144	240004	297012	301993	26	39	119	133	26	46	0	0	2	0	0	2	0	143496	0
alignment.nex	Mac	1296042	41391	3.194	0.538	0.462	341185	261471	318036	333959	0	0	0	0	0	0	0	0	0	0	0	0	0	41391	0
alignment.nex	Met	1296042	8370	0.646	0.57	0.43	374368	238516	315444	359344	0	0	0	0	0	0	0	0	0	0	0	0	0	8370	0
alignment.nex	Nad	1296042	81246	6.269	0.545	0.455	333071	244248	308060	329115	28	22	106	86	27	32	0	0	1	0	0	6	0	81240	0
alignment.nex	Nag	1296042	8058	0.622	0.569	0.431	374128	238509	316003	359344	0	0	0	0	0	0	0	0	0	0	0	0	0	8058	0
alignment.nex	Osa	1296042	21192	1.635	0.508	0.492	331704	289905	336693	316548	0	0	0	0	0	0	0	0	0	0	0	0	0	21192	0
alignment.nex	Paq	1296042	82164	6.34	0.538	0.462	331554	247285	313637	321402	0	0	0	0	0	0	0	0	0	0	0	0	0	82164	0
alignment.nex	Pda	1296042	169000	13.04	0.54	0.46	307681	230776	287120	301465	0	0	0	0	0	0	0	0	0	0	0	1	0	168999	0
alignment.nex	Pin	1296042	12990	1.002	0.563	0.437	368474	242495	317731	354352	0	0	0	0	0	0	0	0	0	0	0	0	0	12990	0
alignment.nex	Pla	1296042	10080	0.778	0.57	0.43	374529	238659	314283	358491	0	0	0	0	0	0	0	0	0	0	0	0	0	10080	0
alignment.nex	Pod	1296042	10884	0.84	0.569	0.431	372791	238560	315388	358419	0	0	0	0	0	0	0	0	0	0	0	0	0	10884	0
alignment.nex	Pse	1296042	16140	1.245	0.564	0.436	368416	241435	316119	353932	0	0	0	0	0	0	0	0	0	0	0	0	0	16140	0
alignment.nex	Ptr	1296042	5628	0.434	0.562	0.438	362673	246346	319386	362009	0	0	0	0	0	0	0	0	0	0	0	0	0	5628	0
alignment.nex	Sci	1296042	10551	0.814	0.566	0.434	371471	240749	316761	356510	0	0	0	0	0	0	0	0	0	0	0	0	0	10551	0
alignment.nex	Sly	1296042	24018	1.853	0.566	0.434	362342	240563	311614	357505	0	0	0	0	0	0	0	0	0	0	0	0	0	24018	0
alignment.nex	Tax	1296042	9051	0.698	0.565	0.435	370922	242625	317449	355995	0	0	0	0	0	0	0	0	0	0	0	0	0	9051	0
alignment.nex	Tor	1296042	11988	0.925	0.565	0.435	369632	241369	317263	355790	0	0	0	0	0	0	0	0	0	0	0	0	0	11988	0
alignment.nex	Vvi	1296042	54417	4.199	0.553	0.447	345748	243543	310846	341488	0	0	0	0	0	0	0	0	0	0	0	6	0	54411	0
alignment.nex	Wel	1296042	11088	0.856	0.572	0.428	376212	240454	309551	358737	0	0	0	0	0	0	0	0	0	0	0	0	0	11088	0
alignment.nex	Zam	1296042	16671	1.286	0.556	0.444	360918	243756	324126	350571	0	0	0	0	0	0	0	0	0	0	0	0	0	16671	0
alignment.nex	smi	1296042	6024	0.465	0.562	0.438	369416	245038	320067	355497	0	0	0	0	0	0	0	0	0	0	0	0	0	6024	0
