Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Acanthisitta_chloris_genome	137324	94162	68.569	0.558	0.442	11455	9279	9779	12649	0	0	0	0	0	0	0	0	0	0	0	132	0	93638	392
alignment.nex	Aegotheles_cristatus	137324	112025	81.577	0.547	0.453	6788	5667	5728	7005	4	9	42	40	12	4	0	0	0	0	0	224	0	111731	70
alignment.nex	Aegotheles_insignis	137324	98243	71.541	0.56	0.44	10473	8324	8837	11347	9	2	45	35	6	3	0	0	0	0	0	1021	0	95978	1244
alignment.nex	Aerodramus_vanikorensis	137324	100516	73.196	0.551	0.449	9802	8134	8356	10443	5	5	21	30	8	4	0	0	0	0	0	312	0	99908	296
alignment.nex	Alectura_lathami	137324	109371	79.644	0.535	0.465	7269	6538	6449	7682	0	0	6	5	2	1	0	1	0	0	0	409	0	108958	4
alignment.nex	Alisterus_scapularis	137324	108965	79.349	0.547	0.453	7565	6478	6365	7926	1	1	9	6	8	0	0	0	0	0	0	193	0	108746	26
alignment.nex	Amazona_autumnalis	137324	110152	80.213	0.541	0.459	7091	6339	6114	7565	8	6	22	21	3	3	0	0	0	0	0	309	0	106808	3035
alignment.nex	Anas_platyrhynchos_genome	137324	94121	68.539	0.571	0.429	11864	9057	9474	12808	0	0	0	0	0	0	0	0	0	0	0	172	0	92815	1134
alignment.nex	Anhinga_anhinga	137324	106855	77.812	0.548	0.452	8145	6875	6867	8543	4	3	10	18	3	1	0	0	0	0	0	167	0	106610	78
alignment.nex	Anser_erythropus	137324	109304	79.596	0.544	0.456	7559	6449	6288	7652	5	6	24	23	6	8	0	0	0	0	0	1013	0	108185	106
alignment.nex	Anseranas_semipalmata	137324	107111	77.999	0.555	0.445	8166	6718	6686	8578	10	3	24	20	6	2	0	0	0	0	0	321	0	106788	2
alignment.nex	Antrostomus_carolinensis_genome	137324	92034	67.02	0.565	0.435	12130	9565	10154	13441	0	0	0	0	0	0	0	0	0	0	0	192	0	91233	609
alignment.nex	Apaloderma_narina	137324	109445	79.698	0.546	0.454	7402	6326	6299	7787	2	2	26	31	3	1	0	0	0	0	0	295	0	109081	69
alignment.nex	Apaloderma_vittatum_genome	137324	93465	68.062	0.562	0.438	11693	9268	9934	12964	0	0	0	0	0	0	0	0	0	0	0	214	0	91494	1757
alignment.nex	Aptenodytes_forsteri_genome	137324	91040	66.296	0.565	0.435	12474	9704	10428	13678	0	0	0	0	0	0	0	0	0	0	0	231	0	90675	134
alignment.nex	Aptenodytes_patagonicus	137324	111897	81.484	0.553	0.447	6765	5615	5724	7282	3	3	19	13	1	2	0	0	0	0	0	235	0	111611	51
