Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Ashmeadiella_xenomastax	3692	173	4.686	0.609	0.391	1023	666	709	1120	1	0	0	0	0	0	0	0	0	0	0	0	0	173	0
alignment.nex	Atoposmia_copelandica	3692	978	26.49	0.555	0.445	738	594	612	765	0	0	2	3	0	0	0	0	0	0	0	0	0	978	0
alignment.nex	Atoposmia_mirifica	3692	989	26.788	0.554	0.446	741	602	603	757	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0
alignment.nex	Haetosmia_circumventa	3692	987	26.733	0.57	0.43	761	571	590	781	0	1	1	0	0	0	0	0	0	0	0	0	0	987	0
alignment.nex	Hoplitis_albifrons	3692	211	5.715	0.609	0.391	1013	672	689	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0
alignment.nex	Hoplitis_bisulca	3692	980	26.544	0.567	0.433	771	586	587	768	0	0	0	0	0	0	0	0	0	0	0	0	0	980	0
alignment.nex	Hoplitis_nasuta	3692	988	26.761	0.547	0.453	717	597	621	753	3	1	6	4	0	2	0	0	0	0	0	0	0	988	0
alignment.nex	Hoplosmia_pinquis	3692	986	26.706	0.554	0.446	742	599	607	755	0	0	0	3	0	0	0	0	0	0	0	0	0	986	0
alignment.nex	Hoplosmia_scutellaris	3692	1032	27.952	0.551	0.449	726	590	605	739	0	0	0	0	0	0	0	0	0	0	0	10	0	1022	0
alignment.nex	Hoplosmia_spinulosa	3692	989	26.788	0.558	0.442	747	590	605	761	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0
alignment.nex	OS01	3692	236	6.392	0.599	0.401	983	691	693	1085	0	0	2	2	0	0	0	0	0	0	0	3	0	233	0
alignment.nex	OS02	3692	158	4.28	0.596	0.404	1007	711	716	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
alignment.nex	OS03	3692	1091	29.55	0.546	0.454	697	586	594	724	0	0	0	0	0	0	0	0	0	0	0	0	0	1091	0
alignment.nex	OS04	3692	1415	38.326	0.62	0.38	670	436	429	740	0	1	0	1	0	0	0	0	0	0	0	0	0	1415	0
alignment.nex	OS05	3692	394	10.672	0.602	0.398	943	649	657	1035	1	1	3	5	2	2	0	0	0	0	0	10	0	384	0
alignment.nex	OS06	3692	158	4.28	0.598	0.402	994	705	709	1088	1	1	8	7	0	21	0	0	0	0	0	0	0	158	0
alignment.nex	OS07	3692	201	5.444	0.596	0.404	993	698	711	1088	0	0	0	1	0	0	0	0	0	0	0	0	0	201	0
alignment.nex	OS08	3692	161	4.361	0.598	0.402	1009	703	715	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
alignment.nex	OS09	3692	1033	27.979	0.614	0.386	762	495	530	871	0	0	1	0	0	0	0	0	0	0	0	0	0	1033	0
alignment.nex	OS10	3692	1441	39.03	0.621	0.379	665	430	423	730	0	1	0	2	0	0	0	0	0	0	0	0	0	1441	0
alignment.nex	OS11	3692	1421	38.489	0.623	0.377	665	428	429	749	0	0	0	0	0	0	0	0	0	0	0	0	0	1421	0
alignment.nex	OS12	3692	644	17.443	0.6	0.4	856	603	606	955	1	0	4	16	1	6	0	0	0	0	0	43	0	601	0
alignment.nex	OS13	3692	492	13.326	0.6	0.4	918	630	651	999	0	1	0	0	0	1	0	0	0	0	0	0	0	492	0
alignment.nex	OS14	3692	254	6.88	0.6	0.4	986	684	691	1073	1	0	1	1	0	1	0	0	0	0	0	0	0	254	0
alignment.nex	OS15	3692	558	15.114	0.608	0.392	912	607	623	992	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0
alignment.nex	OS16	3692	505	13.678	0.607	0.393	920	618	634	1014	0	0	1	0	0	0	0	0	0	0	0	0	0	505	0
alignment.nex	OS17	3692	585	15.845	0.603	0.397	899	604	629	974	1	0	0	0	0	0	0	0	0	0	0	0	0	585	0
alignment.nex	OS18	3692	192	5.2	0.594	0.406	988	706	715	1090	0	1	0	0	0	0	0	0	0	0	0	0	0	192	0
alignment.nex	OS19	3692	154	4.171	0.594	0.406	1010	720	718	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
alignment.nex	OS20	3692	158	4.28	0.599	0.401	1004	705	710	1106	1	0	2	4	1	1	0	0	0	0	0	2	0	156	0
alignment.nex	OS21	3692	516	13.976	0.601	0.399	898	628	628	977	2	1	7	18	0	17	0	0	0	0	0	0	0	516	0
alignment.nex	OS22	3692	158	4.28	0.594	0.406	1006	719	717	1091	0	0	0	0	0	1	0	0	0	0	0	0	0	158	0
alignment.nex	OS23	3692	186	5.038	0.597	0.403	993	700	706	1092	0	4	3	8	0	0	0	0	0	0	0	5	0	181	0
alignment.nex	OS24	3692	1420	38.462	0.619	0.381	671	441	425	735	0	0	0	0	0	0	0	0	0	0	0	0	0	1420	0
alignment.nex	OS25	3692	160	4.334	0.596	0.404	1007	711	714	1099	0	0	0	1	0	0	0	0	0	0	0	0	0	160	0
alignment.nex	OS26	3692	211	5.715	0.598	0.402	989	698	703	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0
alignment.nex	OS27	3692	158	4.28	0.593	0.407	1007	721	716	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
alignment.nex	OS28	3692	161	4.361	0.598	0.402	1012	699	719	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
alignment.nex	OS29	3692	123	3.332	0.595	0.405	1003	720	727	1119	0	0	0	0	0	0	0	0	0	0	0	4	0	119	0
alignment.nex	OS30	3692	166	4.496	0.598	0.402	1007	705	708	1095	0	0	2	6	1	2	0	0	0	0	0	0	0	166	0
alignment.nex	OS31	3692	189	5.119	0.601	0.399	985	689	699	1079	4	2	7	15	0	23	0	0	0	0	0	0	0	189	0
alignment.nex	OS32	3692	304	8.234	0.598	0.402	960	682	677	1060	0	1	3	4	0	1	0	0	0	0	0	0	0	304	0
alignment.nex	OS33	3692	162	4.388	0.597	0.403	1004	708	713	1101	0	0	0	2	1	1	0	0	0	0	0	0	0	162	0
alignment.nex	OS34	3692	606	16.414	0.604	0.396	886	604	617	976	0	1	2	0	0	0	0	0	0	0	0	0	0	606	0
alignment.nex	OS35	3692	157	4.252	0.592	0.408	992	707	726	1085	1	2	4	11	0	6	0	0	1	0	0	0	0	157	0
alignment.nex	OS36	3692	156	4.225	0.593	0.407	991	719	720	1100	0	0	0	4	0	2	0	0	0	0	0	0	0	156	0
alignment.nex	OS37	3692	555	15.033	0.608	0.392	910	599	628	993	1	0	0	5	1	0	0	0	0	0	0	0	0	555	0
alignment.nex	OS38	3692	537	14.545	0.608	0.392	913	606	631	1004	0	0	0	1	0	0	0	0	0	0	0	0	0	537	0
alignment.nex	OS39	3692	155	4.198	0.592	0.408	991	723	721	1101	0	0	0	1	0	0	0	0	0	0	0	0	0	155	0
alignment.nex	OS40	3692	492	13.326	0.604	0.396	910	618	650	1021	0	1	0	0	0	0	0	0	0	0	0	0	0	492	0
alignment.nex	OS41	3692	1597	43.256	0.628	0.372	625	396	383	691	0	0	0	0	0	0	0	0	0	0	0	0	0	1597	0
alignment.nex	OS42	3692	557	15.087	0.608	0.392	910	611	616	992	0	0	4	2	0	0	0	0	0	0	0	0	0	557	0
alignment.nex	OS43	3692	164	4.442	0.594	0.406	999	721	710	1096	1	0	0	0	0	1	0	0	0	0	0	0	0	164	0
alignment.nex	OS55	3692	138	3.738	0.598	0.402	1006	702	726	1114	0	2	0	2	0	2	0	0	0	0	0	4	0	134	0
alignment.nex	OS56	3692	313	8.478	0.592	0.408	951	681	692	1047	0	1	2	2	2	1	0	0	0	0	0	1	0	312	0
alignment.nex	OS57	3692	182	4.93	0.599	0.401	1002	698	709	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0
alignment.nex	OS58	3692	450	12.189	0.6	0.4	929	632	658	1009	1	1	3	6	2	1	0	0	0	0	0	0	0	450	0
alignment.nex	OS59	3692	1059	28.684	0.614	0.386	750	511	503	864	0	0	0	4	0	1	0	0	0	0	0	0	0	1059	0
alignment.nex	OS60	3692	137	3.711	0.593	0.407	1002	721	725	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0
alignment.nex	OS61	3692	209	5.661	0.6	0.4	992	687	706	1095	1	0	0	2	0	0	0	0	0	0	0	11	0	198	0
alignment.nex	OS62	3692	357	9.67	0.6	0.4	954	657	675	1041	0	0	2	6	0	0	0	0	0	0	0	13	0	344	0
alignment.nex	OS63	3692	187	5.065	0.599	0.401	1001	692	711	1097	0	1	0	2	0	1	0	0	0	0	0	0	0	187	0
alignment.nex	OS64	3692	348	9.426	0.599	0.401	961	666	674	1039	0	0	1	2	1	0	0	0	0	0	0	1	0	347	0
alignment.nex	OS65	3692	187	5.065	0.595	0.405	999	709	711	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0
alignment.nex	OS66	3692	984	26.652	0.619	0.381	783	513	518	891	0	0	1	1	0	1	0	0	0	0	0	0	0	984	0
alignment.nex	OS67	3692	1064	28.819	0.605	0.395	773	504	532	815	0	1	0	3	0	0	0	0	0	0	0	170	0	894	0
alignment.nex	OS68	3692	319	8.64	0.612	0.388	983	658	652	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0
alignment.nex	OS69	3692	557	15.087	0.607	0.393	904	609	624	997	0	0	1	0	0	0	0	0	0	0	0	0	0	557	0
alignment.nex	Osmia_anceps	3692	983	26.625	0.532	0.468	715	631	636	727	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0
alignment.nex	Osmia_andrenoides	3692	993	26.896	0.557	0.443	740	588	608	763	0	0	0	0	0	0	0	0	0	0	0	0	0	993	0
alignment.nex	Osmia_apicata	3692	990	26.815	0.546	0.454	728	609	618	747	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0
alignment.nex	Osmia_aurulenta	3692	977	26.463	0.545	0.455	731	619	616	748	0	0	0	0	0	1	0	0	0	0	0	0	0	977	0
alignment.nex	Osmia_bicolor	3692	990	26.815	0.558	0.442	739	589	606	768	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0
alignment.nex	Osmia_brevicornis	3692	988	26.761	0.55	0.45	731	599	618	756	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0
alignment.nex	Osmia_coloradensis	3692	377	10.211	0.599	0.401	949	670	658	1036	0	1	1	0	0	0	0	0	0	0	0	0	0	377	0
alignment.nex	Osmia_cornuta	3692	990	26.815	0.55	0.45	732	601	616	753	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0
alignment.nex	Osmia_difficilis	3692	987	26.733	0.554	0.446	737	596	607	758	0	1	3	3	0	0	0	0	0	0	0	0	0	987	0
alignment.nex	Osmia_ferruginea	3692	981	26.571	0.551	0.449	741	603	613	754	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0
alignment.nex	Osmia_gallarum	3692	982	26.598	0.555	0.445	743	594	613	760	0	0	0	0	0	0	0	0	0	0	0	0	0	982	0
alignment.nex	Osmia_glauca	3692	173	4.686	0.587	0.413	1000	729	726	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0
alignment.nex	Osmia_integra	3692	203	5.498	0.593	0.407	987	706	713	1081	0	0	0	1	0	1	0	0	0	0	0	0	0	203	0
alignment.nex	Osmia_juxta	3692	207	5.607	0.599	0.401	998	696	703	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0
alignment.nex	Osmia_latisulcata	3692	256	6.934	0.597	0.403	977	685	699	1073	0	0	0	2	0	0	0	0	0	0	0	0	0	256	0
alignment.nex	Osmia_lignaria	3692	994	26.923	0.551	0.449	738	598	613	749	0	0	0	0	0	0	0	0	0	0	0	10	0	984	0
alignment.nex	Osmia_montana	3692	908	24.594	0.612	0.388	807	523	558	896	0	0	0	0	0	0	0	0	0	0	0	0	0	908	0
alignment.nex	Osmia_nemoris	3692	200	5.417	0.594	0.406	992	701	709	1071	1	1	6	10	0	0	0	0	1	0	0	0	0	200	0
