Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Alfaroa_williamsii	5444	3838	70.5	0.603	0.397	461	336	301	508	0	0	0	0	0	0	0	0	0	0	0	0	0	496	3342
alignment.nex	Alfaropsis_roxburghiana	5444	3821	70.187	0.608	0.392	465	335	301	522	0	0	0	0	0	0	0	0	0	0	0	0	0	479	3342
alignment.nex	Betula_platyphylla	5444	582	10.691	0.595	0.405	1455	938	1029	1438	0	0	0	2	0	0	0	0	0	0	0	0	0	582	0
alignment.nex	Carpinus_betulus	5444	605	11.113	0.593	0.407	1448	943	1027	1421	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0
alignment.nex	Carya_illinoinensis	5444	2461	45.206	0.59	0.41	839	587	635	922	0	0	0	0	0	0	0	0	0	0	0	7	0	543	1911
alignment.nex	Castanea_sativa	5444	631	11.591	0.583	0.417	1410	955	1052	1396	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0
alignment.nex	Casuarina_equisetifolia	5444	1503	27.608	0.575	0.425	1152	789	887	1113	0	0	0	0	0	0	0	0	0	0	0	0	0	510	993
alignment.nex	Chrysolepis_sempervirens	5444	2228	40.926	0.536	0.464	871	703	789	853	0	0	0	0	0	0	0	0	0	0	0	0	0	203	2025
alignment.nex	Comptonia_peregrina	5444	1404	25.79	0.576	0.424	1178	802	909	1151	0	0	0	0	0	0	0	0	0	0	0	0	0	411	993
alignment.nex	Cucumis_sativus	5444	1123	20.628	0.613	0.387	1328	774	900	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	495	628
alignment.nex	Cyclocarya_paliurus	5444	669	12.289	0.599	0.401	1431	910	1007	1427	0	0	0	0	0	0	0	0	0	0	0	1	0	668	0
alignment.nex	Engelhardia_fenzelii	5444	1124	20.647	0.618	0.382	1335	764	885	1336	0	0	0	0	0	0	0	0	0	0	0	0	0	496	628
alignment.nex	Fagus_grandifolia	5444	1114	20.463	0.578	0.422	1265	863	965	1236	0	0	1	0	0	0	0	0	0	0	0	2	0	1112	0
alignment.nex	Juglans_nigra	5444	586	10.764	0.597	0.403	1456	924	1035	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0
alignment.nex	Lithocarpus_henryi	5444	889	16.33	0.58	0.42	1324	910	1002	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0
alignment.nex	Lotus_japonicus	5444	2156	39.603	0.595	0.405	1006	592	739	951	0	0	0	0	0	0	0	0	0	0	0	0	0	61	2095
alignment.nex	Morella_cerifera	5444	2260	41.514	0.579	0.421	937	649	692	905	0	0	1	0	0	0	0	0	0	0	0	1	0	1266	993
alignment.nex	Nothofagus_aequilateralis	5444	4019	73.824	0.596	0.404	418	296	280	431	0	0	0	0	0	0	0	0	0	0	0	0	0	1634	2385
alignment.nex	Nothofagus_alessandri	5444	526	9.662	0.589	0.411	1460	961	1062	1435	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0
alignment.nex	Nothofagus_alpina	5444	2819	51.782	0.558	0.442	716	562	597	750	0	0	0	0	0	0	0	0	0	0	0	0	0	434	2385
alignment.nex	Nothofagus_antarctica	5444	580	10.654	0.59	0.41	1456	952	1041	1415	0	0	0	0	0	0	0	0	0	0	0	1	0	579	0
