Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Amida_ccoc079	2253	196	8.7	0.62	0.38	594	390	392	681	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0
alignment.nex	Amphix_CO318	2253	223	9.898	0.625	0.375	592	384	378	676	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0
alignment.nex	Apolinus_ccoc239	2253	1038	46.072	0.555	0.445	325	270	271	349	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	0
alignment.nex	Aspidimerus_ccoc134	2253	875	38.837	0.568	0.432	357	281	314	426	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0
alignment.nex	Axion_ccoc123	2253	243	10.786	0.602	0.398	586	391	408	625	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0
alignment.nex	Brachiacantha_ccoc124	2253	877	38.926	0.569	0.431	363	276	317	420	0	0	0	0	0	0	0	0	0	0	0	0	0	877	0
alignment.nex	Brumoides_ccoc098	2253	197	8.744	0.637	0.363	627	368	379	682	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
alignment.nex	Bucolellus_ccoc144	2253	802	35.597	0.591	0.409	426	280	314	431	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0
alignment.nex	Bucolus_ccoc056	2253	1646	73.058	0.776	0.224	212	74	62	259	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	0
alignment.nex	Bulaea_AG04	2253	149	6.613	0.618	0.382	629	398	405	672	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
alignment.nex	Carinodulinka_ccoc109	2253	879	39.015	0.7	0.3	446	234	178	516	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0
alignment.nex	Cephaloscymnus_ccoc111	2253	226	10.031	0.635	0.365	578	368	372	709	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0
alignment.nex	Chaetolotis_ccoc069	2253	796	35.331	0.588	0.412	421	291	309	436	0	0	0	0	0	0	0	0	0	0	0	0	0	796	0
alignment.nex	Chilocorellus_AGNM04	2253	262	11.629	0.656	0.344	618	330	355	688	0	0	0	0	0	0	0	0	0	0	0	1	0	261	0
alignment.nex	Chilocorus_ccoc118	2253	881	39.103	0.586	0.414	377	264	304	427	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0
alignment.nex	Chnoodes_ccoc231	2253	910	40.391	0.559	0.441	343	278	314	408	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0
alignment.nex	Chnootriba_ccoc210	2253	207	9.188	0.619	0.381	588	389	390	679	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0
alignment.nex	Coccidophilus_AGNM05	2253	158	7.013	0.597	0.403	592	417	426	656	0	1	0	2	1	0	0	0	0	0	0	0	0	158	0
alignment.nex	Coccidula_ccoc223	2253	245	10.874	0.614	0.386	585	383	392	648	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0
alignment.nex	Coccinella_CO571	2253	469	20.817	0.649	0.351	534	320	306	624	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0
alignment.nex	Cranophorus_AG06	2253	147	6.525	0.614	0.386	558	410	403	735	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
alignment.nex	Cryptognatha_CO727	2253	163	7.235	0.629	0.371	628	380	395	687	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0
alignment.nex	Cryptolaemus_AG05	2253	309	13.715	0.641	0.359	578	332	365	669	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0
alignment.nex	Cryptolaemus_ccoc238	2253	948	42.077	0.539	0.461	326	289	312	378	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0
alignment.nex	Curticornis_ccoc228	2253	226	10.031	0.618	0.382	592	397	378	660	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0
alignment.nex	Cynegetis_ccoc226	2253	892	39.592	0.561	0.439	375	302	296	388	0	0	0	0	0	0	0	0	0	0	0	0	0	892	0
alignment.nex	Cyra_ccoc232	2253	342	15.18	0.61	0.39	535	375	370	631	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0
alignment.nex	Delphastus_CO577	2253	156	6.924	0.621	0.379	636	386	409	666	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
alignment.nex	Diomus_ccoc165	2253	279	12.383	0.62	0.38	575	356	395	648	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0
alignment.nex	Diomus_ccoc175	2253	286	12.694	0.635	0.365	583	342	375	667	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0
alignment.nex	Epilachna_ccoc052	2253	123	5.459	0.629	0.371	632	391	400	707	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
