Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	BJS001	3982	303	7.609	0.532	0.468	1012	768	954	942	0	1	0	0	1	1	0	0	0	0	0	0	0	200	103
alignment.nex	BJS003	3982	1088	27.323	0.521	0.479	778	610	771	727	1	1	3	0	2	1	0	0	0	0	0	0	0	205	883
alignment.nex	BJS007	3982	2020	50.728	0.53	0.47	532	405	517	508	0	0	0	0	0	0	0	0	0	0	0	0	0	149	1871
alignment.nex	BJS008	3982	440	11.05	0.514	0.486	929	776	944	892	0	0	0	1	0	0	0	0	0	0	0	1	0	206	233
alignment.nex	BJS010	3982	246	6.178	0.522	0.478	1004	795	956	920	8	8	8	16	14	7	0	0	0	0	0	0	0	206	40
alignment.nex	BJS011	3982	365	9.166	0.526	0.474	989	784	929	915	0	0	0	0	0	0	0	0	0	0	0	3	0	204	158
alignment.nex	BJS012	3982	219	5.5	0.521	0.479	1012	802	999	948	0	0	0	1	1	0	0	0	0	0	0	0	0	207	12
alignment.nex	BJS013	3982	743	18.659	0.524	0.476	873	679	863	821	0	1	0	0	0	2	0	0	0	0	0	1	0	205	537
alignment.nex	BJS014	3982	1669	41.914	0.537	0.463	631	463	607	611	0	1	0	0	0	0	0	0	0	0	0	0	0	205	1464
alignment.nex	BJS015	3982	2161	54.269	0.484	0.516	438	406	523	435	1	1	6	3	5	3	0	0	0	0	0	3	0	195	1963
alignment.nex	BJS017	3982	302	7.584	0.532	0.468	1004	742	964	943	6	1	3	9	6	2	0	0	0	0	0	16	0	206	80
alignment.nex	BJS018	3982	205	5.148	0.527	0.473	1032	794	989	956	1	0	3	1	1	0	0	0	0	0	0	1	0	204	0
alignment.nex	BJS019	3982	382	9.593	0.52	0.48	985	790	930	882	2	0	5	3	2	1	0	0	0	0	0	7	0	207	168
alignment.nex	BJS020	3982	273	6.856	0.543	0.457	1041	741	947	963	1	3	2	3	3	5	0	0	0	0	0	0	0	212	61
alignment.nex	BJS021	3982	310	7.785	0.52	0.48	983	803	961	925	0	0	0	0	0	0	0	0	0	0	0	0	0	207	103
alignment.nex	BJS022	3982	360	9.041	0.529	0.471	986	749	955	930	1	0	0	0	1	0	0	0	0	0	0	0	0	204	156
alignment.nex	BJS023	3982	930	23.355	0.517	0.483	811	644	829	768	0	0	0	0	0	0	0	0	0	0	0	0	0	204	726
alignment.nex	BJS024	3982	239	6.002	0.537	0.463	1055	773	960	952	0	1	1	1	0	0	0	0	0	0	0	0	0	207	32
alignment.nex	BJS025	3982	280	7.032	0.514	0.486	1000	811	986	904	0	1	0	0	0	0	0	0	0	0	0	0	0	205	75
