Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Alloascoidea_hylecoeti	1162805	124989	10.749	56675	12134	60712	68812	47386	54615	20558	82579	78214	106613	18671	56767	41770	37058	46783	84677	56603	59154	12192	35843	0	0	0	69538	0	0	55451	0
alignment.nex	Ambrosiozyma_kashinagacola	1162805	112916	9.711	58975	13564	65598	69382	49173	54537	20579	72958	79484	111889	21261	54026	41089	39762	44376	80492	59269	64423	11356	37696	0	0	0	69553	0	0	43363	0
alignment.nex	Ambrosiozyma_monospora	1162805	117369	10.094	60401	13515	63547	68916	49554	54747	20969	69498	81121	110585	21468	53190	41422	40036	44692	80692	57017	65957	11402	36707	0	0	0	74672	0	0	42697	0
alignment.nex	Arthrobotrys_oligospora	1162805	136358	11.727	79576	12371	59191	70275	42353	63642	22518	60857	63634	102377	22564	38554	47400	37842	58755	72578	58178	68638	14033	31111	0	0	0	67674	0	0	68684	0
alignment.nex	Arxula_adeninivorans	1162805	127483	10.963	78601	12075	63240	69100	42232	61044	22796	57576	62469	102676	22317	40234	46292	41943	58929	77593	54524	74811	12893	33977	0	0	0	58803	0	0	68680	0
alignment.nex	Ascoidea_asiatica	1162805	172583	14.842	37790	11567	54756	60890	54004	42183	15362	97520	90080	108436	15240	86617	34162	31013	34217	84876	43959	41080	9879	36591	0	0	0	124691	0	0	47892	0
alignment.nex	Ascoidea_rubescens	1162805	194498	16.727	42315	11804	56293	57840	51113	42559	16982	85089	81642	105683	14864	72957	35199	33556	36482	83687	45590	47944	10030	36678	0	0	0	149962	0	0	44536	0
alignment.nex	Ashbya_aceri	1162805	224839	19.336	69649	12994	53774	63445	40600	52084	21501	52859	56511	101267	20229	38624	38938	37868	53137	66721	48848	64928	11174	32815	0	0	0	177077	0	0	47762	0
alignment.nex	Aspergillus_nidulans	1162805	154914	13.322	83049	11966	58038	68578	40782	60695	22687	55952	55576	102580	20916	36246	48605	39177	64122	73074	55380	66769	13814	29885	0	0	0	83071	0	0	71843	0
alignment.nex	Babjeviella_inositovora	1162805	90634	7.794	85594	13820	60415	70009	48379	59534	23913	60969	65792	110093	23258	43671	45183	40571	54322	79894	60965	77411	12549	35829	0	0	0	39320	0	0	51314	0
alignment.nex	Botrytis_cinerea	1162805	307683	26.46	68751	10264	49373	59410	34384	54079	18654	49984	52943	84512	19498	32105	39111	32140	48608	60984	47893	55666	11784	24979	0	0	0	205581	0	0	102102	0
alignment.nex	Brettanomyces_anomalus	1162805	147140	12.654	61476	15002	60639	66597	46374	54952	20543	67046	76727	103821	23108	47115	39672	36577	52393	79013	52173	64273	11294	36870	0	0	0	99820	0	0	47320	0
