Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Acontias_meleagris_AY028880	5054	780	15.433	0.583	0.417	1507	1042	739	986	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0
alignment.nex	Agama_agama_GU128439	5054	1065	21.072	0.575	0.425	1357	983	711	935	0	0	2	0	1	0	0	0	0	0	0	0	0	1065	0
alignment.nex	Alopoglossus_copii_AF420745	5054	1300	25.722	0.581	0.419	1224	925	649	956	0	0	0	0	0	0	0	0	0	0	0	0	0	1300	0
alignment.nex	Amphisbaena_fuliginosa_FJ441683	5054	685	13.554	0.551	0.449	1364	1142	817	1042	0	0	3	1	0	0	0	0	0	0	0	0	0	680	5
alignment.nex	Anolis_carolinenesis_NC010972	5054	545	10.784	0.581	0.419	1451	1074	816	1167	0	0	1	0	0	0	0	0	0	0	0	0	0	545	0
alignment.nex	Archaius_tigris_Caltig2	5054	292	5.778	0.589	0.411	1568	1117	842	1235	0	0	0	0	0	0	0	0	0	0	0	0	0	222	70
alignment.nex	Aspidoscelis_tigris_AY046494	5054	708	14.009	0.576	0.424	1434	1028	813	1070	0	0	0	0	1	0	0	0	0	0	0	0	0	688	20
alignment.nex	Bradypodion_atromontanum_Swartberg_KT016	5054	1469	29.066	0.578	0.422	1194	853	659	879	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	135
alignment.nex	Bradypodion_caeruleogula_Ngoya_KTH676	5054	1535	30.372	0.574	0.426	1162	839	658	859	0	0	0	1	0	0	0	0	0	0	0	0	0	1394	141
alignment.nex	Bradypodion_caffer_PortStJohns_CT167	5054	1742	34.468	0.581	0.419	1109	776	611	813	0	0	2	1	0	0	0	0	0	0	0	0	0	1543	199
alignment.nex	Bradypodion_damaranum_Witelsbos_KTH118	5054	2112	41.789	0.594	0.406	1001	685	509	747	0	0	0	0	0	0	0	0	0	0	0	0	0	1983	129
alignment.nex	Bradypodion_dracomontanum_MH1057	5054	2865	56.688	0.575	0.425	757	518	412	502	0	0	0	0	0	0	0	0	0	0	0	0	0	978	1887
alignment.nex	Bradypodion_gutturale_Karoo_KT047	5054	1772	35.061	0.579	0.421	1100	777	604	799	0	0	0	1	1	0	0	0	0	0	0	0	0	1616	156
alignment.nex	Bradypodion_kentanicum_Mazeppa_CT183	5054	1565	30.966	0.582	0.418	1178	828	630	853	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	136
alignment.nex	Bradypodion_melanocephalum_Hilton_CT016	5054	1413	27.958	0.584	0.416	1213	872	640	912	0	0	3	0	0	1	0	0	0	0	0	0	0	1227	186
alignment.nex	Bradypodion_nemorale_Qudeni_CT146	5054	1274	25.208	0.575	0.425	1239	904	701	936	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	133
