Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	B__leucopteron	6827	1131	16.567	0.559	0.441	1487	1762	750	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	B__longianalis	6827	1133	16.596	0.557	0.443	1461	1766	756	1711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1133
alignment.nex	B__madagascariensis	6827	1131	16.567	0.559	0.441	1495	1770	742	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	B__marojejy	6827	1131	16.567	0.565	0.435	1487	1742	733	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	B__sp__Ankavia	6827	1684	24.667	0.562	0.438	1319	1564	687	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1684
alignment.nex	B__sp__Namorona	6827	1131	16.567	0.56	0.44	1462	1746	758	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	C__alleni	6827	170	2.49	0.533	0.467	1682	2078	1029	1867	0	0	0	1	0	0	0	0	0	0	0	0	0	159	11
alignment.nex	C__axelrodi_AS	6827	957	14.018	0.532	0.468	1495	1848	897	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	159	798
alignment.nex	C__bleheri	6827	169	2.475	0.534	0.466	1697	2079	1026	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0
alignment.nex	C__bulolo	6827	148	2.168	0.53	0.47	1676	2075	1061	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
alignment.nex	C__campsi	6827	166	2.432	0.53	0.47	1691	2096	1037	1837	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0
alignment.nex	C__crassispinosa	6827	148	2.168	0.531	0.469	1675	2070	1060	1874	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
alignment.nex	C__fasciata_I	6827	169	2.475	0.534	0.466	1699	2080	1020	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	157	12
alignment.nex	C__fasciata_II	6827	160	2.344	0.532	0.468	1689	2083	1037	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0
alignment.nex	C__fasciata_III	6827	169	2.475	0.534	0.466	1691	2069	1030	1867	0	0	0	0	1	0	0	0	0	0	0	0	0	157	12
alignment.nex	C__fasciata_IV	6827	169	2.475	0.533	0.467	1696	2079	1033	1849	0	0	0	1	0	0	0	0	0	0	0	0	0	169	0
alignment.nex	C__lorentzi_MT	6827	1131	16.567	0.535	0.465	1433	1870	780	1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	C__lorentzi_S7	6827	5860	85.836	0.558	0.442	257	178	249	281	0	1	0	1	0	0	0	0	0	0	0	0	0	155	5705
alignment.nex	C__pricei	6827	168	2.461	0.535	0.465	1697	2072	1026	1864	0	0	0	0	0	0	0	0	0	0	0	0	0	157	11
alignment.nex	C__rhombosomoides	6827	465	6.811	0.541	0.459	1585	1938	979	1859	0	1	0	0	0	0	0	0	0	0	0	0	0	174	291
alignment.nex	C__sentaniensis	6827	157	2.3	0.533	0.467	1686	2071	1045	1867	0	0	0	1	0	0	0	0	0	0	0	0	0	157	0
alignment.nex	C__sp__Gidomen	6827	155	2.27	0.532	0.468	1687	2082	1042	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
alignment.nex	C__sp__Sepik	6827	166	2.432	0.528	0.472	1689	2103	1037	1831	0	0	0	0	1	0	0	0	0	0	0	0	0	166	0
alignment.nex	G__dorityi	6827	163	2.388	0.528	0.472	1678	2117	1031	1838	0	0	0	0	0	0	0	0	0	0	0	0	0	142	21
alignment.nex	G__incisus	6827	151	2.212	0.527	0.473	1681	2117	1039	1839	0	0	0	0	0	0	0	0	0	0	0	0	0	142	9
alignment.nex	G__kabia_I	6827	189	2.768	0.529	0.471	1674	2102	1027	1834	0	0	0	1	0	0	0	0	0	0	0	0	0	160	29
alignment.nex	G__kabia_II	6827	183	2.681	0.527	0.473	1666	2110	1034	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	180	3
alignment.nex	G__kabia_III	6827	189	2.768	0.527	0.473	1665	2105	1033	1835	0	0	0	0	0	0	0	0	0	0	0	0	0	180	9
alignment.nex	G__leggetti	6827	163	2.388	0.53	0.47	1692	2109	1023	1840	0	0	0	0	0	0	0	0	0	0	0	0	0	142	21
alignment.nex	G__maculosus_AS	6827	168	2.461	0.536	0.464	1673	2047	1043	1896	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
alignment.nex	G__multisquamata	6827	163	2.388	0.531	0.469	1692	2104	1023	1844	0	0	1	0	0	0	0	0	0	0	0	0	0	142	21
alignment.nex	G__pseudoincisus	6827	153	2.241	0.527	0.473	1680	2117	1038	1839	0	0	0	0	0	0	0	0	0	0	0	0	0	144	9
alignment.nex	G__ramuensis	6827	168	2.461	0.536	0.464	1670	2046	1047	1896	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
alignment.nex	G__sp__Gidomen_S7	6827	5856	85.777	0.558	0.442	261	179	250	281	0	0	0	0	0	0	0	0	0	0	0	0	0	160	5696
alignment.nex	G__wanamensis_AS	6827	189	2.768	0.528	0.472	1665	2104	1032	1837	0	0	0	0	0	0	0	0	0	0	0	0	0	180	9
alignment.nex	Hypoatherina_tsurugae	6827	1131	16.567	0.533	0.467	1386	1839	821	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	I__werneri_I	6827	236	3.457	0.539	0.461	1685	2038	1003	1865	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0
alignment.nex	I__werneri_II	6827	240	3.515	0.538	0.462	1688	2044	1002	1853	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0
alignment.nex	M__affinis_II	6827	166	2.432	0.534	0.466	1678	2060	1043	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	157	9
alignment.nex	M__affinis_I_AS	6827	166	2.432	0.536	0.464	1688	2060	1032	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	157	9
alignment.nex	M__ammeri	6827	171	2.505	0.542	0.458	1665	2015	1033	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	162	9
alignment.nex	M__angfa_AS	6827	171	2.505	0.543	0.457	1674	2016	1023	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	162	9
alignment.nex	M__arfakensis_AS	6827	180	2.637	0.545	0.455	1684	2011	1014	1938	0	0	0	0	0	0	0	0	0	0	0	0	0	162	18
alignment.nex	M__australis_I	6827	155	2.27	0.531	0.469	1676	2092	1036	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0
alignment.nex	M__australis_II	6827	164	2.402	0.533	0.467	1684	2083	1029	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	155	9
alignment.nex	M__australis_III_MT	6827	1131	16.567	0.529	0.471	1439	1902	780	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1131
alignment.nex	M__batanta	6827	163	2.388	0.548	0.452	1695	1984	1030	1955	0	0	0	0	0	0	0	0	0	0	0	0	0	162	1
alignment.nex	M__boesemani_AS	6827	171	2.505	0.546	0.454	1677	1997	1027	1955	0	0	0	0	0	0	0	0	0	0	0	0	0	162	9
alignment.nex	M__caerulea	6827	173	2.534	0.538	0.462	1714	2070	1006	1864	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0
alignment.nex	M__catherinae_I	6827	167	2.446	0.548	0.452	1670	1988	1022	1979	0	0	0	0	1	0	0	0	0	0	0	0	0	166	1
alignment.nex	M__catherinae_II	6827	167	2.446	0.547	0.453	1672	1998	1017	1973	0	0	0	0	0	0	0	0	0	0	0	0	0	166	1
alignment.nex	M__duboulayi_I	6827	158	2.314	0.531	0.469	1691	2099	1028	1851	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0
