Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Abudefduf_saxatilisA	8439	1908	22.609	0.449	0.551	1593	1816	1779	1340	0	1	1	1	0	0	0	0	0	0	0	0	0	99	1809
alignment.nex	Acanthurus_bahianusA	8439	220	2.607	0.459	0.541	2006	2269	2171	1766	0	0	1	6	0	0	0	0	0	0	0	0	0	105	115
alignment.nex	Aeoliscus_strigatusA	8439	2352	27.871	0.463	0.537	1448	1652	1616	1368	0	0	1	2	0	0	0	0	0	0	0	1	0	21	2330
alignment.nex	Ambassis_urotaeniaA	8439	278	3.294	0.465	0.535	2030	2215	2148	1765	1	0	1	0	0	1	0	0	0	0	0	0	0	102	176
alignment.nex	Ambloplites_rupestrisCB	8439	136	1.612	0.459	0.541	2016	2281	2214	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	105	31
alignment.nex	Anarhichas_lupusA	8439	165	1.955	0.443	0.557	1936	2332	2275	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	111	54
alignment.nex	Anoplopoma_fimbriaA	8439	771	9.136	0.433	0.567	1759	2212	2125	1560	1	0	3	4	3	1	0	0	0	0	0	1	0	111	659
alignment.nex	Aplodinotus_grunniensA	8439	214	2.536	0.462	0.538	2031	2248	2178	1763	0	0	2	3	0	0	0	0	0	0	0	6	0	105	103
alignment.nex	Apogon_lateralisA	8439	275	3.259	0.472	0.528	2037	2180	2129	1811	0	0	1	5	0	1	0	0	0	0	0	1	0	111	163
alignment.nex	Arrhamphus_sclerolepisA	8439	2398	28.416	0.451	0.549	1413	1724	1595	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	105	2293
alignment.nex	Astroscopus_y_graecumA	8439	174	2.062	0.456	0.544	2019	2297	2195	1741	2	1	4	6	0	0	0	0	0	0	0	3	0	105	66
alignment.nex	Atherinomorus_lacunosusA	8439	922	10.925	0.445	0.555	1789	2107	2065	1554	0	1	0	1	0	0	0	0	0	0	0	5	0	117	800
alignment.nex	Aulorhynchus_flavidusA	8439	242	2.868	0.43	0.57	1867	2372	2298	1652	0	0	1	5	1	1	0	0	0	0	0	0	0	111	131
alignment.nex	Aulostomus_maculatusA	8439	247	2.927	0.47	0.53	2025	2177	2161	1829	0	0	0	0	0	0	0	0	0	0	0	3	0	111	133
alignment.nex	Bembrops_anatirostrisA	8439	2125	25.181	0.426	0.574	1483	1833	1789	1208	0	1	0	0	0	0	0	0	0	0	0	0	0	105	2020
alignment.nex	Bembrops_gobioidesA	8439	1876	22.23	0.426	0.574	1541	1907	1861	1254	0	0	0	0	0	0	0	0	0	0	0	0	0	105	1771
alignment.nex	Beryx_decadactylusA	8439	1694	20.073	0.444	0.556	1580	1899	1852	1412	0	0	0	2	0	0	0	0	0	0	0	5	0	18	1671
alignment.nex	Betta_splendensA	8439	2473	29.304	0.459	0.541	1481	1615	1611	1256	0	0	1	2	0	0	0	0	0	0	0	0	0	90	2383
alignment.nex	Bodianus_rufusA	8439	902	10.688	0.452	0.548	1786	2097	2033	1618	0	0	0	3	0	0	0	0	0	0	0	0	0	102	800
alignment.nex	Brotula_multibarbataA	8439	802	9.503	0.442	0.558	1806	2159	2097	1571	0	1	1	2	0	0	0	0	0	0	0	0	0	33	769
alignment.nex	Caulolatilus_princepsA	8439	202	2.394	0.449	0.551	1989	2304	2231	1711	0	0	1	1	0	0	0	0	0	0	0	0	0	102	100
alignment.nex	Centrogenys_vaigiensisA	8439	173	2.05	0.449	0.551	1962	2299	2251	1742	1	1	3	5	2	0	0	0	0	0	0	6	0	102	65
alignment.nex	Centropomus_undecimalisA	8439	222	2.631	0.446	0.554	1961	2335	2215	1705	0	0	0	1	0	0	0	0	0	0	0	0	0	105	117
alignment.nex	Cephalopholis_argusA	8439	867	10.274	0.451	0.549	1805	2098	2060	1607	0	0	0	2	0	0	0	0	0	0	0	0	0	111	756
alignment.nex	Cetoscarus_bicolorA	8439	376	4.456	0.449	0.551	1946	2287	2158	1671	0	0	0	0	0	1	0	0	0	0	0	0	0	108	268
alignment.nex	Chaenopsis_alepidotaA	8439	1936	22.941	0.434	0.566	1578	1875	1801	1245	0	2	1	1	0	0	0	0	0	0	0	1	0	105	1830
alignment.nex	Chaetodon_ornatissimusA	8439	176	2.086	0.461	0.539	2016	2252	2197	1795	0	0	0	3	0	0	0	0	0	0	0	0	0	102	74
alignment.nex	Chaetodontoplus_melanasomaA	8439	892	10.57	0.448	0.552	1797	2110	2056	1580	0	0	1	3	0	0	0	0	0	0	0	0	0	37	855
alignment.nex	Channa_striataA	8439	138	1.635	0.462	0.538	2024	2253	2216	1807	0	0	0	1	0	0	0	0	0	0	0	0	0	102	36
alignment.nex	Chaunax_spA	8439	288	3.413	0.469	0.531	2032	2185	2142	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	108	180
alignment.nex	Cheilodactylus_variegatusA	8439	1210	14.338	0.44	0.56	1752	2055	1995	1424	0	1	1	1	0	0	0	0	0	0	0	0	0	105	1105
alignment.nex	Cheilodipterus_quA	8439	208	2.465	0.476	0.524	2065	2170	2141	1853	0	0	1	1	0	0	0	0	0	0	0	0	0	111	97
alignment.nex	Cheilopogon_pinA	8439	2646	31.354	0.444	0.556	1339	1628	1593	1230	0	0	2	1	0	0	0	0	0	0	0	1	0	15	2630
alignment.nex	Chilomycterus_schoepfiiA	8439	146	1.73	0.479	0.521	2087	2185	2116	1874	4	2	7	15	3	0	0	0	0	0	0	0	0	108	38
alignment.nex	Chionobathyscus_dewittiB	8439	157	1.86	0.443	0.557	1935	2347	2268	1730	0	0	2	0	0	0	0	0	0	0	0	0	0	141	16
alignment.nex	Chlorurus_sordidusA	8439	874	10.357	0.451	0.549	1822	2123	2026	1582	0	0	1	10	0	1	0	0	0	0	0	0	0	93	781
alignment.nex	Chromis_cyaneaA	8439	912	10.807	0.442	0.558	1759	2131	2061	1561	2	1	4	8	0	0	0	0	0	0	0	0	0	99	813
alignment.nex	Cichla_temensisA	8439	177	2.097	0.477	0.523	2065	2160	2161	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	102	75
alignment.nex	Clepticus_parraeA	8439	989	11.719	0.452	0.548	1759	2079	2001	1607	0	0	2	1	0	1	0	0	0	0	0	0	0	102	887
alignment.nex	Congrogadus_subducensA	8439	186	2.204	0.455	0.545	1987	2273	2227	1766	0	0	0	0	0	0	0	0	0	0	0	1	0	102	83
alignment.nex	Coris_batuensisA	8439	3686	43.678	0.459	0.541	1141	1341	1227	1039	0	0	1	3	1	0	0	0	0	0	0	0	0	24	3662
alignment.nex	Coris_gaimardA	8439	781	9.255	0.453	0.547	1881	2142	2039	1587	1	0	3	4	1	0	0	0	0	0	0	0	0	51	730
alignment.nex	Cottus_carolinaeA	8439	998	11.826	0.433	0.567	1701	2154	2065	1520	0	0	0	1	0	0	0	0	0	0	0	0	0	111	887
alignment.nex	Ctenochaetus_strigosusA	8439	151	1.789	0.463	0.537	2037	2266	2177	1800	0	2	3	3	0	0	0	0	0	0	0	0	0	105	46
alignment.nex	Ctenopoma_kingsleyaeA	8439	872	10.333	0.467	0.533	1893	2021	2011	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	102	770
alignment.nex	Cubiceps_baxteriA	8439	328	3.887	0.454	0.546	1960	2240	2185	1721	1	2	0	2	0	0	0	0	0	0	0	1	0	114	213
alignment.nex	Cyclopterus_lumpusA	8439	278	3.294	0.435	0.565	1892	2345	2263	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	120	158
alignment.nex	Cymatogaster_aggregattaA	8439	989	11.719	0.446	0.554	1746	2111	2019	1574	0	0	0	0	0	0	0	0	0	0	0	0	0	102	887
alignment.nex	Cypselurus_melanurusA	8439	2635	31.224	0.44	0.56	1334	1637	1609	1218	2	0	0	4	0	0	0	0	0	0	0	0	0	15	2620
alignment.nex	Damalichthys_vaccaA	8439	184	2.18	0.446	0.554	1951	2305	2268	1730	0	0	1	0	0	0	0	0	0	0	0	0	0	102	82
alignment.nex	Dermogenys_colletteiA	8439	2596	30.762	0.454	0.546	1443	1602	1591	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	90	2506
alignment.nex	Diademichthys_lineatusA	8439	264	3.128	0.463	0.537	1994	2252	2137	1791	0	1	0	0	0	0	0	0	0	0	0	0	0	114	150
alignment.nex	Diodon_holocanthusA	8439	210	2.488	0.486	0.514	2091	2136	2090	1901	2	1	2	5	0	1	0	0	0	0	0	0	0	111	99
alignment.nex	Diproctacanthus_xanB	8439	1527	18.095	0.477	0.523	1747	1803	1808	1546	0	1	3	4	0	0	0	0	0	0	0	1	0	30	1496
alignment.nex	Dissostichus_eleginoidesB	8439	194	2.299	0.447	0.553	1945	2318	2239	1743	0	0	0	0	0	0	0	0	0	0	0	0	0	135	59
alignment.nex	Eleotris_pisonisA	8439	986	11.684	0.466	0.534	1835	1999	1976	1634	0	1	1	5	0	2	0	0	0	0	0	2	0	60	924
alignment.nex	Embiotoca_jacksoniA	8439	185	2.192	0.445	0.555	1954	2315	2265	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	102	83
alignment.nex	Embiotoca_lateralisA	8439	1024	12.134	0.446	0.554	1735	2095	2011	1574	0	0	0	0	0	0	0	0	0	0	0	0	0	102	922
alignment.nex	Epibulus_brevisA	8439	188	2.228	0.452	0.548	2003	2309	2213	1724	0	0	0	1	0	1	0	0	0	0	0	0	0	111	77
alignment.nex	Epibulus_insidiatorA	8439	2436	28.866	0.472	0.528	1574	1598	1569	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2412
alignment.nex	Etheostoma_atripinneA	8439	969	11.482	0.455	0.545	1779	2072	1991	1619	1	0	0	7	1	0	0	0	0	0	0	0	0	105	864
alignment.nex	Etroplus_maculatusA	8439	133	1.576	0.469	0.531	2040	2210	2197	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	102	31
alignment.nex	Eucinostomus_lefroyiA	8439	245	2.903	0.462	0.538	1986	2225	2185	1797	0	0	0	1	0	0	0	0	0	0	0	1	0	108	136
alignment.nex	Eugerres_plumieriA	8439	236	2.797	0.46	0.54	1998	2248	2182	1770	0	0	2	2	0	1	0	0	0	0	0	2	0	111	123
alignment.nex	Forcipiger_flavissimusA	8439	121	1.434	0.452	0.548	1992	2323	2235	1760	0	1	4	1	1	1	0	0	0	0	0	0	0	102	19
alignment.nex	Fundulus_heteroclitus	8439	1473	17.455	0.438	0.562	1623	2046	1868	1429	0	0	0	0	0	0	0	0	0	0	0	0	0	102	1371
alignment.nex	Gadopsis_marmoratusA	8439	983	11.648	0.46	0.54	1791	2030	1996	1637	1	0	1	0	0	0	0	0	0	0	0	0	0	84	899
alignment.nex	Gambusia_affinisA	8439	181	2.145	0.466	0.534	2044	2238	2172	1802	0	0	1	0	1	0	0	0	0	0	0	0	0	99	82
alignment.nex	Gasterosteus_acuC	8439	316	3.745	0.424	0.576	1827	2370	2301	1603	1	2	8	9	0	2	0	0	0	0	0	0	0	111	205
alignment.nex	Gazza_minutaA	8439	1859	22.029	0.45	0.55	1651	1827	1792	1309	0	1	0	0	0	0	0	0	0	0	0	0	0	60	1799
alignment.nex	Gigantactis_vA	8439	2746	32.539	0.46	0.54	1430	1554	1519	1185	0	0	3	1	1	0	0	0	0	0	0	0	0	54	2692
alignment.nex	Gillellus_semicinctusA	8439	2807	33.262	0.419	0.581	1321	1696	1576	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	102	2705
alignment.nex	Gobiesox_maeandricusA	8439	1489	17.644	0.456	0.544	1700	1898	1885	1467	0	0	0	0	0	0	0	0	0	0	0	0	0	39	1450
alignment.nex	Gomphosus_variusA	8439	1083	12.833	0.459	0.541	1790	1992	1958	1562	5	4	14	24	3	4	0	0	0	0	0	0	0	102	981
alignment.nex	Gramma_loretoA	8439	228	2.702	0.442	0.558	1949	2328	2249	1682	0	0	1	2	0	0	0	0	0	0	0	1	0	102	125
alignment.nex	Haemulon_sciurusA	8439	327	3.875	0.446	0.554	1950	2292	2200	1666	1	0	1	2	0	0	0	0	0	0	0	2	0	105	220
alignment.nex	Haletta_semifasciataA	8439	1778	21.069	0.477	0.523	1699	1735	1749	1477	0	0	0	1	0	0	0	0	0	0	0	0	0	78	1700
alignment.nex	Halichoeres_bivutatusA	8439	181	2.145	0.449	0.551	1981	2323	2217	1722	2	0	5	6	1	1	0	0	0	0	0	0	0	120	61
alignment.nex	Halichoeres_margaritaceusA	8439	3082	36.521	0.448	0.552	1249	1546	1407	1145	0	1	1	8	0	0	0	0	0	0	0	0	0	93	2989
alignment.nex	Hemanthias_aureorubensA	8439	1007	11.933	0.443	0.557	1736	2076	2063	1551	0	1	1	3	1	0	0	0	0	0	0	0	0	42	965
alignment.nex	Herichthys_cyanoguttatus	8439	2145	25.418	0.475	0.525	1560	1692	1611	1431	0	0	0	0	0	0	0	0	0	0	0	0	0	90	2055
alignment.nex	Heros_appendictulatusA	8439	326	3.863	0.477	0.523	2019	2138	2103	1850	0	0	1	2	0	0	0	0	0	0	0	0	0	102	224
alignment.nex	Heterochromis_multidensA	8439	229	2.714	0.475	0.525	2036	2152	2159	1863	0	0	0	0	0	0	0	0	0	0	0	2	0	102	125
alignment.nex	Hexagrammos_otakiiA	8439	235	2.785	0.435	0.565	1894	2360	2279	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	111	124
alignment.nex	Holocanthus_passerA	8439	791	9.373	0.445	0.555	1813	2155	2088	1591	0	0	0	1	0	0	0	0	0	0	0	0	0	33	758
alignment.nex	Hoplostethus_atlanticusA	8439	194	2.299	0.451	0.549	1976	2323	2199	1745	0	0	0	2	0	0	0	0	0	0	0	1	0	111	82
alignment.nex	Hyperprosopon_argenteumA	8439	204	2.417	0.447	0.553	1951	2295	2255	1733	0	0	1	0	0	0	0	0	0	0	0	0	0	102	102
alignment.nex	Hypoplecterus_puellaA	8439	1823	21.602	0.447	0.553	1611	1848	1804	1345	1	0	4	3	0	0	0	0	0	0	0	0	0	111	1712
alignment.nex	Icosteus_aenigmaticusA	8439	4211	49.899	0.44	0.56	1044	1227	1139	816	0	0	0	2	0	0	0	0	0	0	0	0	0	117	4094
alignment.nex	Inermia_vitattaA	8439	1121	13.284	0.449	0.551	1801	2048	1981	1480	0	0	4	3	0	1	0	0	0	0	0	0	0	105	1016
alignment.nex	Kathetostoma_averruncusA	8439	1251	14.824	0.461	0.539	1810	1970	1903	1502	0	0	1	2	0	0	0	0	0	0	0	4	0	105	1142
alignment.nex	Kuhlia_marginataA	8439	225	2.666	0.454	0.546	1974	2266	2220	1753	0	0	0	1	0	0	0	0	0	0	0	0	0	102	123
alignment.nex	Kyphosus_elegansA	8439	151	1.789	0.452	0.548	1980	2293	2250	1762	0	0	0	3	0	0	0	0	0	0	0	0	0	102	49
alignment.nex	Labidesthes_sicculusA	8439	1146	13.58	0.47	0.53	1823	1973	1894	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	90	1056
alignment.nex	Labracinus_cyclophthalmusA	8439	106	1.256	0.442	0.558	1979	2366	2282	1698	0	0	1	5	2	0	0	0	0	0	0	0	0	81	25
alignment.nex	Labrichthys_unilineatusA	8439	829	9.823	0.465	0.535	1866	2051	2020	1672	0	0	1	0	0	0	0	0	0	0	0	0	0	93	736
alignment.nex	Labrisomus_multiporosaA	8439	1037	12.288	0.419	0.581	1676	2187	2112	1426	0	0	1	0	0	0	0	0	0	0	0	0	0	102	935
alignment.nex	Labropsis_australisA	8439	914	10.831	0.468	0.532	1867	2020	1983	1648	1	0	0	5	0	1	0	0	0	0	0	0	0	99	815
alignment.nex	Lachnolaimus_maA	8439	2234	26.472	0.463	0.537	1522	1688	1639	1352	0	0	0	4	0	0	0	0	0	0	0	0	0	30	2204
alignment.nex	Lactophrys_triqueterA	8439	294	3.484	0.469	0.531	2007	2179	2145	1811	0	0	1	1	0	1	0	0	0	0	0	2	0	123	169
alignment.nex	Lagodon_rhomboidesA	8439	1092	12.94	0.439	0.561	1772	2089	2027	1446	0	2	3	8	0	0	0	0	0	0	0	0	0	105	987
alignment.nex	Leiognathus_equulusA	8439	2062	24.434	0.452	0.548	1605	1758	1736	1278	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2002
