Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Abylopsis_tetragona	49388	14885	30.139	2334	658	1978	2441	1463	1904	902	2095	2590	3536	907	1417	1248	1341	1757	2045	1791	2498	368	1230	0	0	0	0	0	0	14885	0
alignment.nex	Acanthoeca_sp	49388	5500	11.136	3882	747	2534	2925	1864	2599	1139	2400	2768	4393	1228	1411	1711	1612	2717	2443	2259	3396	473	1387	0	0	0	0	0	0	5500	0
alignment.nex	Acroporadigitifera	49388	28307	57.316	1409	372	1127	1518	960	1078	560	1222	1554	2220	514	845	786	922	1186	1308	1059	1509	240	692	0	0	0	0	0	0	28307	0
alignment.nex	Agalma_elegans	49388	14012	28.371	2300	655	2010	2370	1561	1894	885	2351	2666	3650	946	1468	1302	1384	1726	2229	1783	2501	396	1299	0	0	0	0	0	0	14012	0
alignment.nex	Aiptasia_pallida	49388	3422	6.929	3084	854	2508	3154	2016	2392	1218	2789	3312	4866	1212	1859	1727	1865	2488	2875	2337	3254	531	1625	0	0	0	0	0	0	3422	0
alignment.nex	Amphimedon_queenslandica	49388	6237	12.629	2735	749	2323	2993	1827	2278	1174	2829	2981	4676	1095	1631	1681	1706	2379	2873	2199	3028	491	1503	0	0	0	0	0	0	6237	0
alignment.nex	Aphrocallistes_vastus	49388	3098	6.273	2903	912	2403	3153	2067	2401	1206	2964	2956	5307	1110	1758	1783	1927	2673	3305	2303	3055	510	1594	0	0	0	0	0	0	3098	0
alignment.nex	Beroe_abyssicola	49388	38687	78.333	678	231	583	682	474	516	256	679	722	1222	274	448	369	417	562	692	563	795	123	415	0	0	0	0	0	0	38687	0
alignment.nex	Beroe_forskalii	49388	41603	84.237	516	175	403	502	354	414	192	452	491	836	201	327	291	311	427	540	437	553	73	290	0	0	0	0	0	0	41603	0
alignment.nex	Beroe_ovata	49388	47045	95.256	178	38	123	170	91	135	54	121	151	226	60	97	76	101	152	163	129	159	33	86	0	0	0	0	0	0	47045	0
alignment.nex	Beroe_sp_Antarctica	49388	46514	94.181	172	73	147	198	115	152	78	181	198	323	85	120	104	110	169	159	155	205	31	99	0	0	0	0	0	0	46514	0
alignment.nex	Beroe_sp_Queensland_Australia	49388	42365	85.78	476	149	390	475	287	392	175	397	449	760	190	305	237	271	374	466	411	479	62	278	0	0	0	0	0	0	42365	0
alignment.nex	Bolinopsis_ashleyi	49388	41683	84.399	529	165	393	447	350	462	188	538	543	776	184	315	288	262	439	463	393	581	88	301	0	0	0	0	0	0	41683	0
alignment.nex	Bolinopsis_infundibulum	49388	47505	96.187	121	34	102	143	83	86	42	106	131	201	48	91	64	86	113	113	77	146	30	66	0	0	0	0	0	0	47505	0
alignment.nex	Bolocera_tuediae	49388	37320	75.565	797	210	592	822	504	682	326	781	971	1209	359	457	461	512	752	660	602	831	117	423	0	0	0	0	0	0	37320	0
alignment.nex	Callianira_Antarctica	49388	43483	88.044	356	145	304	368	267	329	179	360	385	636	182	251	211	214	316	366	297	454	71	214	0	0	0	0	0	0	43483	0
alignment.nex	Capitella_teleta	49388	2806	5.682	3323	907	2562	3120	2030	2406	1273	2727	3186	4977	1309	1815	1779	1985	2649	2801	2332	3274	549	1578	0	0	0	0	0	0	2806	0
alignment.nex	Cestum_veneris	49388	45305	91.733	261	94	191	233	204	223	108	281	244	460	114	181	143	138	204	257	235	297	51	164	0	0	0	0	0	0	45305	0
alignment.nex	Chondrilla_nucula	49388	23522	47.627	1735	473	1360	1795	1105	1408	721	1548	1895	2625	682	928	1044	992	1515	1630	1297	1930	287	896	0	0	0	0	0	0	23522	0
alignment.nex	Cliona_varians	49388	15816	32.024	2402	597	1757	2309	1463	1817	929	1931	2311	3631	899	1179	1344	1415	1938	2022	1695	2450	360	1123	0	0	0	0	0	0	15816	0
alignment.nex	Coeloplana_astericola	49388	38349	77.648	762	195	568	802	479	527	258	716	814	1186	275	498	376	438	588	679	597	768	100	413	0	0	0	0	0	0	38349	0
alignment.nex	Corticium_candelabrum	49388	29881	60.503	1416	387	1072	1261	771	1095	536	1114	1285	2072	511	707	730	834	1183	1179	1009	1460	208	677	0	0	0	0	0	0	29881	0
alignment.nex	Craseo_lathetica	49388	21399	43.328	1782	540	1518	1905	1190	1501	766	1859	2081	2862	722	1177	995	1137	1465	1741	1454	1962	299	1033	0	0	0	0	0	0	21399	0
alignment.nex	Crella_elegans	49388	30671	62.102	1311	324	952	1305	758	1069	507	1068	1304	1997	534	622	731	756	1112	1212	964	1372	199	620	0	0	0	0	0	0	30671	0
