Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Afrarchaea_grimaldii	5185	5185	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5185	0
alignment.nex	Afrarchaea_pilgrimsrest_hw59Af3	5185	1650	31.823	0.473	0.527	781	849	1014	891	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	0
alignment.nex	Afrarchaea_woodae_hw57Af1	5185	1368	26.384	0.477	0.523	848	890	1105	972	0	0	1	1	0	0	0	0	0	0	0	0	0	1368	0
alignment.nex	Aotearoa_magna_hw0050	5185	1061	20.463	0.499	0.501	969	921	1144	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	0
alignment.nex	Araneus_sp	5185	2114	40.771	0.524	0.476	766	663	796	842	0	0	0	1	2	1	0	0	0	0	0	0	0	2113	1
alignment.nex	Archaea_paradoxa	5185	5185	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5185	0
alignment.nex	Austrarchaea_davisae_hwAu066	5185	836	16.123	0.438	0.562	896	1100	1345	1006	0	0	0	2	0	0	0	0	0	0	0	0	0	836	0
alignment.nex	Austrarchaea_mainae_hw0075	5185	2257	43.529	0.484	0.516	656	664	847	760	0	0	0	1	0	0	0	0	0	0	0	0	0	2257	0
alignment.nex	Austrarchaea_nodosa_hw0074	5185	1818	35.063	0.483	0.517	776	753	987	851	0	0	0	0	0	0	0	0	0	0	0	0	0	1818	0
alignment.nex	Badumna_longinqua	5185	2056	39.653	0.471	0.529	692	767	889	781	0	0	0	0	0	0	0	0	0	0	0	0	0	2054	2
alignment.nex	Baltarchaea_conica	5185	5185	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5185	0
alignment.nex	Chilarchaea_quellon_hw0029	5185	1177	22.7	0.505	0.495	926	891	1093	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	0
alignment.nex	Dysdera_sp	5185	1734	33.443	0.489	0.511	777	779	983	912	0	0	0	0	0	0	0	0	0	0	0	0	0	1734	0
alignment.nex	Eriauchenius_bourgini_hw0061	5185	3839	74.041	0.546	0.454	324	283	326	411	0	0	1	0	1	0	0	0	0	0	0	0	0	3839	0
alignment.nex	Eriauchenius_workmani_hw0006	5185	1443	27.83	0.449	0.551	806	944	1114	874	0	0	0	2	1	1	0	0	0	0	0	0	0	1441	2
alignment.nex	Gnaphosidae_sp	5185	2069	39.904	0.478	0.522	721	767	858	770	0	0	0	0	0	0	0	0	0	0	0	0	0	2063	6
alignment.nex	Hickmania_troglodytes	5185	1685	32.498	0.503	0.497	794	775	949	950	3	3	9	13	3	1	0	0	0	0	0	0	0	1685	0
alignment.nex	Holarchaea_sp	5185	1993	38.438	0.543	0.457	832	672	788	900	0	0	0	0	0	0	0	0	0	0	0	0	0	1993	0
alignment.nex	Huttonia_sp_hwHutt41	5185	1908	36.798	0.511	0.489	790	720	878	878	0	2	2	3	0	3	1	0	0	0	0	0	0	1908	0
alignment.nex	Hypochilus_pococki	5185	2918	56.278	0.482	0.518	493	515	659	600	0	0	0	0	0	0	0	0	0	0	0	0	0	2918	0
alignment.nex	Kukulcania_hibernalis_hw	5185	2008	38.727	0.491	0.509	760	715	900	801	0	0	0	0	1	0	0	0	0	0	0	0	0	2008	0
