Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	1934|Avian|A/chicken/Rostock/45/1934_Germany|H7N1	1716	24	1.399	0.576	0.424	570	314	404	404	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
alignment.nex	1935|Avian|A/chicken/Brescia/1902_Italy|H7N7	1716	24	1.399	0.574	0.426	572	313	407	400	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
alignment.nex	1945|Avian|A/fowl/Egypt/45_Egypt|H7N1	1716	56	3.263	0.574	0.426	575	313	394	378	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
alignment.nex	1956|Equine|A/equine/Prague/1/1956_Czech_Republic|H7N7	1716	3	0.175	0.621	0.379	636	301	348	428	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1956|Equine|A/equine/Prague/2/1956_Czech_Republic|H7N7	1716	3	0.175	0.621	0.379	636	300	349	428	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1963|Avian|A/turkey/England/1963_United_Kingdom|H7N3	1716	27	1.573	0.567	0.433	563	308	423	395	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
alignment.nex	1964|Equine|A/equine/Detroit/1/64_USA|H7N7	1716	3	0.175	0.62	0.38	638	302	349	424	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1966|Equine|A/equine/Lexington/1/1966_USA|H7N7	1716	3	0.175	0.619	0.381	635	301	351	426	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1971|Avian|A/turkey/Oregon/1971_USA|H7N3	1716	33	1.923	0.576	0.424	570	315	399	399	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
alignment.nex	1972|Avian|A/duck/Hongkong/301/72_Hong_Kong|H7N1	1716	33	1.923	0.565	0.435	564	313	419	387	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
alignment.nex	1972|Equine|A/equine/Switzerland/137/72_Switzerland|H7N7	1716	3	0.175	0.62	0.38	635	302	349	427	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1973|Avian|A/parrot/Northern_Ireland/VF-73-67/73_United_Kingdom|H7N1	1716	33	1.923	0.561	0.439	553	314	425	391	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
alignment.nex	1973|Equine|A/equine/Cambridge/1/73_United_Kingdom|H7N7	1716	3	0.175	0.619	0.381	635	304	348	426	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1973|Equine|A/equine/London/1416/1973_United_Kingdom|H7N7	1716	3	0.175	0.619	0.381	633	301	351	428	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1974|Equine|A/equine/Cornell/16/74_USA|H7N7	1716	3	0.175	0.616	0.384	633	307	350	423	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1975|Equine|A/equine/Kentucky/1a/1975_USA|H7N7	1716	3	0.175	0.62	0.38	633	301	350	429	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1976|Avian|A/chicken/Victoria/1976_Australia|H7N1	1716	24	1.399	0.583	0.417	569	291	414	418	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
