Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	1935|Avian|A/chicken/Brescia/1902|Italy|H7N7	1416	0	0.0	0.557	0.443	463	281	346	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7	1416	0	0.0	0.581	0.419	481	270	324	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1956|Equine|A/equine/Prague/1/1956|Czech_Republic|H7N7	1416	6	0.424	0.614	0.386	529	257	287	337	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1956|Equine|A/equine/Prague/2/1956|Czech_Republic|H7N7	1416	6	0.424	0.614	0.386	529	257	287	337	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1966|Equine|A/equine/Lexington/1/1966|USA|H7N7	1416	6	0.424	0.616	0.384	526	252	289	343	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1974|Equine|A/Cor/16/1974|USA|H7N7	1416	6	0.424	0.617	0.383	528	252	288	342	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1975|Equine|A/equine/Kentucky/1a/1975|USA|H7N7	1416	6	0.424	0.618	0.382	531	253	285	341	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1976|Avian|A/chicken/Victoria/1976|Australia|H7N7	1416	0	0.0	0.566	0.434	467	280	335	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1976|Avian|A/duck/Victoria/1976|Australia|H7N7	1416	19	1.342	0.562	0.438	456	277	335	329	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
alignment.nex	1976|Equine|A/equine/Sao_Paulo/4/1976|Brazil|H7N7	1416	6	0.424	0.618	0.382	530	253	286	341	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1976|Equine|A/equine/Uruguay/1063/1976|Uruguay|H7N7	1416	6	0.424	0.617	0.383	530	254	286	340	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1977|Avian|A/pintail_duck/ALB/303/1977|Canada|H10N7	1416	3	0.212	0.565	0.435	481	282	333	317	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1977|Equine|A/equine/Argentina/1/1977|Argentina|H7N7	1416	6	0.424	0.618	0.382	531	254	285	340	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1977|Equine|A/equine/Santiago/77|Chile|H7N7	1416	6	0.424	0.617	0.383	528	253	287	342	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
alignment.nex	1979|Avian|A/goose/Leipzig/187-7/1979|Germany|H7N7	1416	108	7.627	0.57	0.43	429	251	311	317	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0
alignment.nex	1979|Avian|A/mallard_duck/Minnesota/19/1979|USA|H10N7	1416	3	0.212	0.567	0.433	478	277	335	323	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1980|Avian|A/duck/Potsdam/15/1980|Germany|H7N7	1416	18	1.271	0.576	0.424	474	269	324	331	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
alignment.nex	1984|Avian|A/redhead_duck/ALB/767/1984|Canada|H10N7	1416	3	0.212	0.565	0.435	479	279	336	319	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1985|Avian|A/chicken/Victoria/1985|Australia|H7N7	1416	0	0.0	0.577	0.423	474	271	328	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1985|Avian|A/starling/Victoria/1985|Australia|H7N7	1416	0	0.0	0.577	0.423	474	271	328	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1986|Avian|A/herring_gull/Delaware/471/1986|USA|H2N7	1416	3	0.212	0.57	0.43	482	274	334	323	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1986|Avian|A/laughing_gull/New_Jersey/798/1986|USA|H2N7	1416	3	0.212	0.571	0.429	483	274	332	324	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1987|Avian|A/ruddy_turnstone/DE/2764/1987|USA|H10N7	1416	3	0.212	0.564	0.436	479	279	337	318	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1988|Avian|A/green-winged_teal/LA/169GW/1988|USA|H10N7	1416	3	0.212	0.566	0.434	480	278	335	320	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1988|Avian|A/ruddy_turnstone/DE/2378/1988|USA|H7N7	1416	3	0.212	0.568	0.432	483	278	332	320	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1989|Avian|A/mallard/Ohio/122/1989|USA|H10N7	1416	3	0.212	0.565	0.435	480	280	334	319	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1989|Avian|A/red_knot/NJ/325/1989|USA|H7N7	1416	3	0.212	0.563	0.437	479	282	335	317	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1991|Avian|A/duck/Alaska/658/1991|USA|H10N7	1416	3	0.212	0.568	0.432	484	281	330	318	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alignment.nex	1991|Avian|A/turkey/VA/31409/1991|USA|H10N7	1416	3	0.212	0.561	0.439	476	282	338	317	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
