Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	1918|Human|A/Brevig_Mission/1/1918|USA|H1N1	1497	0	0.0	0.531	0.469	476	300	402	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1930|Swine|A/swine/Iowa/15/1930|USA|H1N1	1497	0	0.0	0.53	0.47	483	304	399	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1931|Swine|A/swine/USA/1976/1931|USA|H1N1	1497	0	0.0	0.53	0.47	483	305	399	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1934|Avian|A/chicken/Rostock/45/1934|Germany|H7N1	1497	0	0.0	0.514	0.486	461	307	420	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Avian|A/chicken/Brescia/1902|Italy|H7N7	1497	0	0.0	0.522	0.478	466	305	411	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Melbourne/1935|Australia|H1N1	1497	0	0.0	0.534	0.466	480	302	396	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Phila/1935|USA|H1N1	1497	0	0.0	0.53	0.47	480	306	398	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/bh/1935||H1N1	1497	0	0.0	0.533	0.467	482	303	396	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Swine|A/swine/Ohio/23/1935|USA|H1N1	1497	0	0.0	0.54	0.46	492	299	389	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1936|Human|A/Henry/1936|USA|H1N1	1497	0	0.0	0.535	0.465	483	302	394	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
