Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	1918|Human|A/Brevig_Mission/1/1918|USA|H1N1	2274	0	0.0	0.566	0.434	767	459	528	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1931|Swine|A/swine/1976/1931|USA|H1N1	2274	0	0.0	0.57	0.43	761	450	528	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1933|Human|A/Wilson-Smith/1933|United_Kingdom|H1N1	2274	0	0.0	0.577	0.423	786	449	513	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1934|Avian|A/chicken/Germany/1934|Germany|H7N1	2274	0	0.0	0.561	0.439	782	456	543	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Avian|A/chicken/Brescia/1902|Italy|H7N7	2274	0	0.0	0.565	0.435	793	450	539	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Melbourne/1935|Australia|H1N1	2274	0	0.0	0.577	0.423	782	446	516	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Phila/1935|USA|H1N1	2274	0	0.0	0.577	0.423	785	447	515	526	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Swine|A/swine/Ohio/23/1935|USA|H1N1	2274	0	0.0	0.569	0.431	759	450	529	534	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1936|Human|A/Henry/1936|USA|H1N1	2274	0	0.0	0.576	0.424	783	447	517	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1940|Human|A/Hickox/1940|USA|H1N1	2274	0	0.0	0.584	0.416	796	437	508	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1942|Human|A/Bellamy/1942|USA|H1N1	2274	0	0.0	0.582	0.418	791	438	513	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1943|Human|A/Iowa/1943|USA|H1N1	2274	0	0.0	0.581	0.419	793	442	510	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1943|Human|A/Weiss/1943|USA|H1N1	2274	0	0.0	0.58	0.42	792	445	510	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1945|Human|A/AA/Huston/1945|USA|H1N1	2274	0	0.0	0.581	0.419	792	443	510	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1946|Human|A/Cameron/1946|Australia|H1N1	2274	0	0.0	0.584	0.416	800	440	505	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1947|Human|A/Fort_Monmouth/1/1947|USA|H1N1	2274	0	0.0	0.585	0.415	799	439	505	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1948|Human|A/Albany/4835/1948|USA|H1N1	2274	0	0.0	0.582	0.418	792	441	510	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7	2274	0	0.0	0.568	0.432	797	452	530	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1949|Human|A/Netherlands/002K1/1949|Netherlands|H1N1	2274	0	0.0	0.585	0.415	799	439	504	531	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1949|Human|A/Roma/1949|Italy|H1N1	2274	0	0.0	0.582	0.418	793	441	510	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1950|Human|A/Albany/4836/1950|USA|H1N1	2274	0	0.0	0.581	0.419	789	442	511	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1950|Human|A/Tientsin/78/1977|China|H1N1*	2274	0	0.0	0.584	0.416	796	440	507	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1951|Human|A/Albany/12/1951|USA|H1N1	2274	0	0.0	0.585	0.415	794	435	508	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1951|Human|A/Memphis/20/1978|USA|H1N1*	2274	0	0.0	0.584	0.416	794	438	509	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1953|Human|A/Maryland/2/1980|USA|H1N1*	2274	0	0.0	0.584	0.416	793	438	508	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1953|Human|A/Netherlands/002W1/1953|Netherlands|H1N1	2274	0	0.0	0.584	0.416	792	436	509	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1954|Human|A/Baylor/4052/1981|USA|H1N1*	2274	0	0.0	0.584	0.416	793	437	508	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1954|Human|A/Netherlands/001H1/1954|Netherlands|H1N1	2274	0	0.0	0.586	0.414	795	434	508	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
