Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	AILUR_MEL	3050199	151183	4.956	190606	60926	148449	213198	108465	173552	75124	134489	182507	288698	62659	113140	165904	139084	157564	239678	151727	178337	33544	81365	0	0	0	0	0	0	74220	76963
alignment.nex	ANOLI_CAR	3050199	409765	13.434	168284	56488	135460	195554	100728	150339	68978	132075	175002	259195	60294	111692	140705	126033	137510	216814	138249	159310	30378	77346	0	0	0	0	0	0	262607	147158
alignment.nex	BALAE_ACU	3050199	427908	14.029	171327	55320	134152	192984	98415	154656	68553	122379	165255	262256	56238	103117	148122	125815	141805	217626	137642	162437	30547	73645	0	0	0	0	0	0	171437	256471
alignment.nex	BOS_MUT	3050199	287555	9.427	181384	57458	142062	203880	103633	163310	71486	128937	174435	276049	60028	108200	157232	132731	148928	227989	144546	170783	31973	77600	0	0	0	0	0	0	99837	187718
alignment.nex	BOS_TAU	3050199	329808	10.813	180617	56803	139194	200124	101420	162498	70219	125832	170778	271947	58814	105133	156666	130079	148460	225207	141581	167638	31465	75916	0	0	0	0	0	0	60364	269444
alignment.nex	CALLI_JAC	3050199	203750	6.68	182815	59742	145129	208518	107030	167347	74528	135703	180545	284071	62815	114176	160480	137314	151355	237977	150005	173461	33096	80342	0	0	0	0	0	0	87471	116279
alignment.nex	CAMEL_FER	3050199	234116	7.675	184931	59386	144940	207590	105848	166456	72926	131079	177525	281474	60936	110130	159128	135354	152110	232083	147678	174710	32620	79179	0	0	0	0	0	0	120154	113962
alignment.nex	CANIS_FAM	3050199	151042	4.952	189959	60551	148352	212867	108048	173042	75218	136623	183301	288970	63551	114289	165822	139651	156526	239076	151700	176424	33546	81641	0	0	0	0	0	0	72301	78741
alignment.nex	CAPRA_HIR	3050199	312853	10.257	177830	57451	140946	202468	103425	160288	70727	129317	174430	273874	59439	108289	153391	131964	146420	225181	143487	169429	31697	77293	0	0	0	0	0	0	159515	153338
alignment.nex	CAVIA_POR	3050199	217472	7.13	187848	61052	143883	204711	106654	168163	74849	131138	174853	285560	61548	109106	160483	137327	153448	234662	149047	175494	33305	79596	0	0	0	0	0	0	117837	99635
