Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	Abi	432014	3061	0.709	33617	6867	23351	29339	17995	29598	9319	24234	26933	43055	10185	15785	19595	15770	23338	29526	20620	30858	5790	13178	0	0	0	0	0	0	3061	0
alignment.nex	Aco	432014	3615	0.837	31986	6766	23880	29119	18268	29277	9070	24643	28056	42546	10156	16189	19405	15156	22355	30852	20558	31195	5628	13294	0	0	0	0	0	0	3615	0
alignment.nex	Ame	432014	3462	0.801	33512	6942	23348	29101	17985	29548	9498	24271	27145	42853	10335	16011	19407	15679	23114	29352	20443	30918	5805	13285	0	0	0	0	0	0	3462	0
alignment.nex	Ara	432014	3901	0.903	33887	6860	23183	29619	17788	29423	9380	23854	27267	42585	10420	15782	19604	15812	23191	28918	20337	31065	5804	13334	0	0	0	0	0	0	3901	0
alignment.nex	Ath	432014	2380	0.551	32338	6637	24069	29766	18267	29361	8823	24051	28674	42313	10300	16165	19403	14751	22436	31226	20937	31340	5576	13201	0	0	0	0	0	0	2380	0
alignment.nex	Atr	432014	12284	2.843	32122	6784	22983	28645	17858	29176	9218	23793	26524	42566	9989	15241	19432	14636	22838	29688	19477	30168	5596	12996	0	0	0	0	0	0	12284	0
alignment.nex	Bdi	432014	3340	0.773	35690	6727	24467	28513	17787	29988	9240	22797	26413	42554	10106	15029	20168	14795	23846	29844	20445	31673	5555	13037	0	0	0	0	0	0	3340	0
alignment.nex	Cep	432014	3310	0.766	33413	6938	23338	29212	18009	29520	9510	24302	27094	42984	10327	15982	19394	15688	23185	29421	20413	30837	5824	13313	0	0	0	0	0	0	3310	0
alignment.nex	Cga	432014	7574	1.753	33966	6842	23194	28570	17971	29124	9427	23376	26377	43200	10034	15105	19140	15521	23309	29650	20138	30790	5672	13034	0	0	0	0	0	0	7574	0
alignment.nex	Cun	432014	3843	0.89	33435	6838	23293	29343	17930	29495	9328	24276	27155	42912	10253	15997	19433	15764	23054	29334	20401	30860	5772	13298	0	0	0	0	0	0	3843	0
alignment.nex	Cyc	432014	3595	0.832	34218	6847	23153	29324	17882	29762	9456	24034	26446	43257	9952	15521	19604	15879	23873	28798	20244	31199	5865	13105	0	0	0	0	0	0	3595	0
