Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	10_KF000459_Helvellosebacina_helvelloide	5737	5124	89.315	0.532	0.468	172	110	177	154	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	11_AF465191_Sebacina_sp	5737	5112	89.106	0.52	0.48	171	121	179	154	0	0	0	0	0	0	0	0	0	0	0	0	0	5112	0
alignment.nex	12_AY393696_Sebacina_ocreatum	5737	4941	86.125	0.502	0.498	206	155	241	193	1	0	0	0	0	0	0	0	0	0	0	0	0	4941	0
alignment.nex	13_DQ520095_Sebacina_sp	5737	5113	89.123	0.519	0.481	173	121	179	151	0	0	0	0	0	0	0	0	0	0	0	0	0	5113	0
alignment.nex	14_JQ665539_Sebacina_incrustans	5737	5124	89.315	0.52	0.48	168	117	177	151	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	15_UDB016431_Sebacina_sp	5737	4786	83.423	0.511	0.489	260	185	280	226	0	0	0	0	0	0	0	0	0	0	0	0	0	4786	0
alignment.nex	16_JQ665490_Sebacina_epigaea	5737	5124	89.315	0.511	0.489	163	117	183	150	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	17_JQ665506_Sebacina_sp	5737	5124	89.315	0.511	0.489	162	117	183	151	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	18_JQ665511_Sebacina_cystidiata	5737	5127	89.367	0.516	0.484	166	117	178	149	0	0	0	0	0	0	0	0	0	0	0	0	0	5127	0
alignment.nex	19_AY745701_Sebacina_candida	5737	4435	77.305	0.505	0.495	355	267	377	303	0	0	0	0	0	0	0	0	0	0	0	0	0	4435	0
alignment.nex	1_KF061266_Paulisebacina_allantoidea	5737	5123	89.298	0.524	0.476	163	113	179	158	0	0	1	0	0	0	0	0	0	0	0	0	0	5123	0
alignment.nex	20_UDB016333_Sebacina_dimitica	5737	4784	83.389	0.51	0.49	255	184	283	231	0	0	0	0	0	0	0	0	0	0	0	0	0	4784	0
alignment.nex	21_KF000417_Sebacina_sp	5737	5124	89.315	0.519	0.481	165	116	179	153	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	22_JQ665560_Sebacina_pallida	5737	5124	89.315	0.529	0.471	166	112	177	158	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	23_JQ665494_Sebacina_flagelliformis	5737	5124	89.315	0.514	0.486	164	116	182	151	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	24_UDB016419_Sebacina_sp	5737	4782	83.354	0.516	0.484	262	184	278	231	0	0	0	0	0	0	0	0	0	0	0	0	0	4782	0
alignment.nex	25_KF000424_Sebacina_sp	5737	5111	89.088	0.507	0.493	171	125	183	146	0	0	0	1	0	0	0	0	0	0	0	0	0	5111	0
alignment.nex	26_DQ983816_Serendipita_sp_MAFF305838	5737	4682	81.611	0.498	0.502	280	215	314	244	0	0	0	2	0	0	0	0	0	0	0	0	0	4682	0
alignment.nex	27_AY505556_Piriformospora_wiliamsii	5737	4647	81.001	0.509	0.491	293	219	316	262	0	0	0	0	0	0	0	0	0	0	0	0	0	4647	0
alignment.nex	28_DQ983815_Serendipita_sp_MAFF305837	5737	4684	81.645	0.491	0.509	281	223	313	236	0	0	0	0	0	0	0	0	0	0	0	0	0	4684	0
alignment.nex	29_HM030724_Serendipita_vermifera	5737	5192	90.5	0.546	0.454	148	90	154	146	2	0	1	4	0	0	0	0	0	0	0	0	0	5192	0
alignment.nex	2_DQ520103_Craterocolla_cerasi	5737	4636	80.809	0.509	0.491	293	221	320	267	0	0	0	0	0	0	0	0	0	0	0	0	0	4636	0
alignment.nex	30_EU625994_Serendipita_sp_MAFF305827	5737	4657	81.175	0.523	0.477	295	203	312	270	0	0	0	0	0	0	0	0	0	0	0	0	0	4657	0
alignment.nex	31_KF061285_Serendipita_herbamans	5737	4434	77.288	0.513	0.487	353	263	370	313	0	0	1	3	0	0	0	0	0	0	0	0	0	4434	0
alignment.nex	32_EU625999_Serendipita_sp_MAFF305830	5737	4656	81.157	0.516	0.484	293	212	311	265	0	0	0	0	0	0	0	0	0	0	0	0	0	4656	0
alignment.nex	3_AF384860_Chaetospermum_sp	5737	5155	89.855	0.522	0.478	160	109	169	144	0	0	0	0	0	0	0	0	0	0	0	0	0	5155	0
alignment.nex	3_EF589735_Chaetospermum_artocarpi	5737	5186	90.396	0.517	0.483	140	100	166	145	0	0	0	0	0	0	0	0	0	0	0	0	0	5186	0
alignment.nex	3_JQ794488_Chaetospermum_camelliae	5737	5178	90.256	0.517	0.483	144	103	167	145	0	0	0	0	0	0	0	0	0	0	0	0	0	5178	0
alignment.nex	4_AY509550_Globulisebacina_rolleyi	5737	5122	89.28	0.499	0.501	161	121	187	146	0	0	0	0	0	0	0	0	0	0	0	0	0	5122	0
alignment.nex	5_KF061282_Tremelloscypha_dichroum	5737	5123	89.298	0.503	0.497	160	121	184	149	0	0	0	0	0	0	0	0	0	0	0	0	0	5123	0
alignment.nex	6_UDB013854_Sebacina_sp	5737	4785	83.406	0.505	0.495	254	189	282	227	0	0	0	0	0	0	0	0	0	0	0	0	0	4785	0
alignment.nex	7_UDB016423_Helvellosebacina_sp	5737	4787	83.441	0.512	0.488	260	182	282	226	0	0	0	0	0	0	0	0	0	0	0	0	0	4787	0
alignment.nex	8_JQ665516_Helvellosebacina_concrescens	5737	5124	89.315	0.519	0.481	169	114	181	149	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	9_KF000456_Sebacina_sp	5737	5124	89.315	0.52	0.48	169	114	180	150	0	0	0	0	0	0	0	0	0	0	0	0	0	5124	0
alignment.nex	AGAricus_augustus_AF291286	5737	5176	90.221	0.513	0.487	150	105	168	138	0	0	0	0	0	0	0	0	0	0	0	0	0	5176	0
alignment.nex	AGAricus_eburneoCAnus_NG_042583	5737	4913	85.637	0.502	0.498	217	162	248	197	0	0	0	0	0	0	0	0	0	0	0	0	0	4913	0
alignment.nex	AGAricus_inilleasper_JF495023	5737	4913	85.637	0.505	0.495	219	159	249	197	0	0	0	0	0	0	0	0	0	0	0	0	0	4913	0
alignment.nex	AGAricus_melanosporus_JF495026	5737	5015	87.415	0.496	0.504	190	140	224	168	0	0	0	0	0	0	0	0	0	0	0	0	0	5015	0
alignment.nex	AGAricus_subsubensis_EU284015	5737	4473	77.968	0.507	0.493	345	254	369	296	0	0	0	0	0	0	0	0	0	0	0	0	0	4473	0
alignment.nex	AGAricus_xanthodermulus_KP331529	5737	4860	84.713	0.496	0.504	231	173	269	204	0	0	0	0	0	0	0	0	0	0	0	0	0	4860	0
alignment.nex	Abortiporus_biennis	5737	2201	38.365	0.51	0.49	908	838	885	886	0	0	3	14	1	1	0	0	0	0	0	0	0	2201	0
