Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	AILUR_MEL	9150597	453364	4.954	0.502	0.498	2383746	2115266	2214076	1984145	0	0	0	0	0	0	0	0	0	0	0	1123	0	221352	230889
alignment.nex	ANOLI_CAR	9150597	1229269	13.434	0.532	0.468	2307896	1799399	1910235	1903798	0	0	0	0	0	0	0	0	0	0	0	109	0	787686	441474
alignment.nex	BALAE_ACU	9150597	1283241	14.024	0.504	0.496	2163994	1910668	1992090	1800604	0	0	0	0	0	0	0	0	0	0	0	8172	0	505656	769413
alignment.nex	BOS_MUT	9150597	862184	9.422	0.501	0.499	2271561	2023900	2107931	1885021	0	0	0	0	0	0	0	0	0	0	0	2612	0	296418	563154
alignment.nex	BOS_TAU	9150597	989367	10.812	0.497	0.503	2217782	2011770	2091063	1840615	0	0	0	0	0	0	0	0	0	0	0	36	0	180999	808332
alignment.nex	CALLI_JAC	9150597	611084	6.678	0.518	0.482	2408048	2007234	2108562	2015669	0	0	0	0	0	0	0	0	0	0	0	569	0	261678	348837
alignment.nex	CAMEL_FER	9150597	702109	7.673	0.501	0.499	2313442	2062493	2153735	1918818	0	0	0	0	0	0	0	0	0	0	0	1138	0	359085	341886
alignment.nex	CANIS_FAM	9150597	453076	4.951	0.509	0.491	2413553	2088342	2186326	2009300	0	0	0	0	0	0	0	0	0	0	0	232	0	216621	236223
alignment.nex	CAPRA_HIR	9150597	938126	10.252	0.506	0.494	2268349	1985893	2075100	1883129	0	0	0	0	0	0	0	0	0	0	0	2261	0	475851	460014
alignment.nex	CAVIA_POR	9150597	652311	7.129	0.499	0.501	2308797	2086916	2170111	1932462	0	0	0	0	0	0	0	0	0	0	0	444	0	352962	298905
alignment.nex	CERAT_SIM	9150597	260121	2.843	0.508	0.492	2463997	2130284	2239501	2056694	0	0	0	0	0	0	0	0	0	0	0	429	0	202209	57483
alignment.nex	CHINC_LAN	9150597	437387	4.78	0.494	0.506	2353265	2154891	2249857	1955197	0	0	0	0	0	0	0	0	0	0	0	398	0	370482	66507
alignment.nex	CHLOR_SAB	9150597	1205415	13.173	0.514	0.486	2224969	1887329	1972431	1860453	0	0	0	0	0	0	0	0	0	0	0	7575	0	336573	861267
alignment.nex	CHOLO_HOF	9150597	3142409	34.341	0.531	0.469	1741094	1367199	1450829	1449066	0	0	0	0	0	0	0	0	0	0	0	1261262	0	651888	1229259
alignment.nex	CHRYS_ASI	9150597	1654230	18.078	0.515	0.485	2091936	1789279	1849347	1765805	0	0	0	0	0	0	0	0	0	0	0	7341	0	800067	846822
alignment.nex	CONDY_CRI	9150597	644236	7.04	0.506	0.494	2351731	2061777	2141588	1951265	0	0	0	0	0	0	0	0	0	0	0	424	0	240303	403509
alignment.nex	CRICE_GRI	9150597	730713	7.985	0.511	0.489	2342057	2014652	2104764	1958409	0	0	1	0	1	0	0	0	0	0	0	2283	0	464481	263949
alignment.nex	DANIO_RER	9150597	1475155	16.121	0.493	0.507	2057844	1890632	1999929	1727037	0	0	0	0	0	0	0	0	0	0	0	454	0	823041	651660
alignment.nex	DASYP_NOV	9150597	2731449	29.85	0.514	0.486	1802072	1525191	1594081	1497804	0	0	0	0	0	0	0	0	0	0	0	1506327	0	543654	681468
alignment.nex	DAUBE_MAD	9150597	6306903	68.923	0.524	0.476	810054	663117	689809	680714	0	0	0	0	0	0	0	0	0	0	0	2670	0	4552773	1751460
alignment.nex	DIPOD_ORD	9150597	1882520	20.573	0.507	0.493	2008564	1759525	1824426	1675562	0	0	0	0	0	0	0	0	0	0	0	1040360	0	426954	415206
alignment.nex	ECHIN_TEL	9150597	2160718	23.613	0.486	0.514	1862413	1775976	1818250	1533240	0	0	0	0	0	0	0	0	0	0	0	1184071	0	583449	393198
alignment.nex	EIDOL_HEL	9150597	3256899	35.592	0.513	0.487	1645106	1408380	1463720	1376492	0	0	0	0	0	0	0	0	0	0	0	6252	0	1965570	1285077
alignment.nex	ELEPH_EDW	9150597	1823816	19.931	0.506	0.494	2013999	1786819	1835913	1690050	0	0	0	0	0	0	0	0	0	0	0	10934	0	826413	986469
alignment.nex	EPTES_FUS	9150597	1237340	13.522	0.494	0.506	2137635	1970175	2032809	1772638	0	0	0	0	0	0	0	0	0	0	0	11228	0	443874	782238
alignment.nex	EQUUS_CAB	9150597	536875	5.867	0.507	0.493	2377096	2073089	2176499	1987038	0	0	0	0	0	0	0	0	0	0	0	271	0	427263	109341
alignment.nex	ERINA_EUR	9150597	2500516	27.326	0.506	0.494	1839136	1618076	1667343	1525526	0	0	0	0	0	0	0	0	0	0	0	1246156	0	581082	673278
alignment.nex	FELIS_CAT	9150597	740959	8.097	0.504	0.496	2313632	2039145	2130557	1926304	0	0	0	0	0	0	0	0	0	0	0	1036	0	351867	388056
alignment.nex	GALEO_VAR	9150597	3948195	43.147	0.517	0.483	1459930	1216987	1296952	1228533	0	0	0	0	0	0	0	0	0	0	0	267	0	2553297	1394631
