Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Aglaiocercus	25919	22901	88.356	0.514	0.486	804	686	763	730	4	4	7	8	7	5	0	0	0	0	0	0	0	9	22892
alignment.nex	Agrionemys	25919	24888	96.022	0.501	0.499	278	247	266	237	1	1	0	1	0	0	0	0	0	0	0	0	0	27	24861
alignment.nex	Alethe	25919	21360	82.411	0.516	0.484	1309	1008	1164	1012	10	13	13	10	12	8	0	0	0	0	0	0	0	48	21312
alignment.nex	Alligator	25919	22059	85.107	0.496	0.504	1064	913	1033	850	0	0	0	0	0	0	0	0	0	0	0	0	0	36	22023
alignment.nex	AlligatorMVZ	25919	16946	65.381	0.549	0.451	2732	1844	2180	2174	6	12	7	4	10	4	0	0	0	0	0	0	0	165	16781
alignment.nex	Ambystoma	25919	3588	13.843	0.532	0.468	6577	4824	5626	5303	1	0	0	0	0	0	0	0	0	0	0	0	0	520	3068
alignment.nex	Anniella	25919	18241	70.377	0.563	0.437	2395	1466	1859	1877	14	15	17	18	6	11	0	0	0	0	0	0	0	66	18175
alignment.nex	Anolis	25919	1407	5.428	0.544	0.456	7346	5181	5999	5986	0	0	0	0	0	0	0	0	0	0	0	0	0	621	786
alignment.nex	Apalone	25919	20052	77.364	0.536	0.464	1725	1296	1423	1409	1	2	4	4	1	2	0	0	0	0	0	0	0	123	19929
alignment.nex	Aspidoscelis	25919	25066	96.709	0.489	0.511	231	193	242	184	1	0	1	0	0	1	0	0	0	0	0	0	0	0	25066
alignment.nex	Bipes	25919	25440	98.152	0.527	0.473	137	100	125	114	1	1	1	0	0	0	0	0	0	0	0	0	0	0	25440
alignment.nex	Bos	25919	1688	6.513	0.546	0.454	7301	5068	5926	5936	0	0	0	0	0	0	0	0	0	0	0	0	0	300	1388
alignment.nex	Callithrix	25919	1089	4.202	0.557	0.443	7654	5009	5985	6182	0	0	0	0	0	0	0	0	0	0	0	0	0	606	483
alignment.nex	Canis	25919	764	2.948	0.551	0.449	7596	5156	6129	6274	0	0	0	0	0	0	0	0	0	0	0	0	0	482	282
alignment.nex	Cavia	25919	1176	4.537	0.534	0.466	7299	5271	6250	5923	0	0	0	0	0	0	0	0	0	0	0	0	0	390	786
alignment.nex	Chelodina	25919	25067	96.713	0.487	0.513	237	205	232	178	0	0	0	0	0	0	0	0	0	0	0	0	0	21	25046
alignment.nex	Chelonia	25919	24957	96.288	0.484	0.516	252	233	249	200	4	8	3	4	5	4	0	0	0	0	0	0	0	21	24936
alignment.nex	Chelonoidis	25919	25148	97.025	0.516	0.484	219	167	205	177	0	0	2	1	0	0	0	0	0	0	0	0	0	0	25148
alignment.nex	Chelydra	25919	20669	79.745	0.548	0.452	1632	1067	1295	1232	1	1	6	10	2	4	0	0	0	0	0	0	0	57	20612
alignment.nex	Choloepus	25919	7502	28.944	0.559	0.441	5632	3708	4421	4656	0	0	0	0	0	0	0	0	0	0	0	0	0	744	6758
alignment.nex	Chrysemys	25919	14654	56.538	0.562	0.438	3514	2228	2675	2761	24	9	15	12	10	17	0	0	0	0	0	0	0	153	14501
alignment.nex	Claudius	25919	23839	91.975	0.539	0.461	597	442	498	500	2	6	14	11	3	7	0	0	0	0	0	0	0	9	23830
alignment.nex	Cuorag	25919	25776	99.448	0.559	0.441	53	27	36	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25776
alignment.nex	Cyrtodactylus	25919	14090	54.362	0.551	0.449	3587	2413	2872	2896	7	8	19	11	3	13	0	0	0	0	0	0	0	162	13928
alignment.nex	Danio	25919	4017	15.498	0.494	0.506	5922	5227	5865	4888	0	0	0	0	0	0	0	0	0	0	0	0	0	618	3399
alignment.nex	Dasypus	25919	6559	25.306	0.559	0.441	5970	3853	4682	4855	0	0	0	0	0	0	0	0	0	0	0	0	0	543	6016
alignment.nex	Dendropicos	25919	18211	70.261	0.526	0.474	2204	1658	1970	1828	12	9	11	11	2	3	0	0	0	0	0	0	0	78	18133
alignment.nex	Dermatemys	25919	25452	98.198	0.508	0.492	125	113	111	108	3	1	2	2	2	0	0	0	0	0	0	0	0	0	25452
alignment.nex	Dibamus	25919	19537	75.377	0.567	0.433	1973	1239	1487	1582	10	15	24	25	6	21	0	0	0	0	0	0	0	36	19501
alignment.nex	Dierochelys	25919	15830	61.075	0.556	0.444	3083	2034	2410	2478	7	17	10	29	11	10	0	0	0	0	0	0	0	138	15692
alignment.nex	Dipodomys	25919	6625	25.56	0.547	0.453	5879	4048	4691	4676	0	0	0	0	0	0	0	0	0	0	0	0	0	413	6212
alignment.nex	Dracob	25919	15450	59.609	0.549	0.451	3185	2106	2568	2493	14	15	31	23	12	22	0	0	0	0	0	0	0	102	15348
alignment.nex	Dracos	25919	20984	80.96	0.543	0.457	1523	995	1232	1128	11	10	12	11	6	7	0	0	0	0	0	0	0	51	20933
alignment.nex	Echinops	25919	6881	26.548	0.531	0.469	5651	4141	4796	4450	0	0	0	0	0	0	0	0	0	0	0	0	0	500	6381
alignment.nex	Equus	25919	1293	4.989	0.544	0.456	7382	5170	6071	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	483	810
alignment.nex	Eretmochelys	25919	22728	87.689	0.547	0.453	971	621	818	766	0	3	4	3	2	3	0	0	0	0	0	0	0	18	22710
alignment.nex	Erinaceus	25919	8134	31.382	0.54	0.46	5285	3768	4406	4326	0	0	0	0	0	0	0	0	0	0	0	0	0	755	7379
alignment.nex	Eurotestudo	25919	9012	34.77	0.553	0.447	5062	3418	4096	4228	16	15	15	21	12	24	0	0	0	0	0	0	0	192	8820
alignment.nex	Fejervarya	25919	24015	92.654	0.52	0.48	535	429	474	442	6	3	2	5	4	4	0	0	0	0	0	0	0	18	23997
alignment.nex	Felis	25919	10221	39.434	0.543	0.457	4670	3277	3903	3848	0	0	0	0	0	0	0	0	0	0	0	0	0	747	9474
alignment.nex	Gallus	25919	702	2.708	0.543	0.457	7562	5272	6258	6125	0	0	0	0	0	0	0	0	0	0	0	0	0	300	402
alignment.nex	Gasterosteus	25919	4011	15.475	0.453	0.547	5642	5873	6104	4289	0	0	0	0	0	0	0	0	0	0	0	0	0	411	3600
alignment.nex	Geochelone	25919	19210	74.116	0.55	0.45	1977	1398	1605	1689	6	3	13	8	4	6	0	0	0	0	0	0	0	51	19159
alignment.nex	Geoemyda	25919	22791	87.932	0.532	0.468	902	662	798	754	1	1	1	6	1	2	0	0	0	0	0	0	0	6	22785
alignment.nex	Gorilla	25919	8667	33.439	0.559	0.441	5354	3421	4188	4289	0	0	0	0	0	0	0	0	0	0	0	0	0	843	7824
alignment.nex	Hardella	25919	19854	76.6	0.567	0.433	1917	1172	1446	1508	4	6	4	3	1	4	0	0	0	0	0	0	0	72	19782
alignment.nex	Heloderma	25919	25584	98.708	0.476	0.524	77	81	93	80	0	0	2	1	0	1	0	0	0	0	0	0	0	0	25584
alignment.nex	Heternotia	25919	12719	49.072	0.55	0.45	3984	2752	3152	3233	12	10	12	23	8	14	0	0	0	0	0	0	0	153	12566
alignment.nex	Homo	25919	702	2.708	0.557	0.443	7743	5077	6091	6306	0	0	0	0	0	0	0	0	0	0	0	0	0	300	402
alignment.nex	Hynobius	25919	25061	96.69	0.466	0.534	224	212	246	175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25061
