Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	A__cephalotes	583	16	2.744	59	2	39	39	9	57	2	42	48	51	15	19	18	23	25	25	32	55	1	6	0	0	0	0	0	0	16	0
alignment.nex	A__echinatior	583	16	2.744	59	2	39	39	9	57	2	42	47	51	15	20	18	23	25	24	33	55	1	6	0	0	0	0	0	0	16	0
alignment.nex	A__florea	583	13	2.23	61	3	39	38	10	58	4	36	46	53	17	24	17	19	25	26	30	57	1	6	0	0	0	0	0	0	13	0
alignment.nex	A__mellifera	583	13	2.23	62	3	39	38	10	58	4	37	46	53	17	24	17	19	25	26	30	55	1	6	0	0	0	0	0	0	13	0
alignment.nex	A__pisum	583	11	1.887	59	2	36	45	13	65	0	45	48	43	18	24	17	17	21	26	29	55	1	8	0	0	0	0	0	0	11	0
alignment.nex	B__impatiens	583	13	2.23	61	3	39	38	9	58	4	37	46	53	17	24	17	19	25	25	31	57	1	6	0	0	0	0	0	0	13	0
alignment.nex	B__mori	583	11	1.887	55	3	37	41	11	57	2	41	47	45	20	24	18	21	25	27	32	58	1	7	0	0	0	0	0	0	11	0
alignment.nex	B__terrestris	583	14	2.401	62	3	39	38	9	58	4	37	46	53	17	24	17	19	25	25	30	56	1	6	0	0	0	1	0	0	13	0
alignment.nex	C__floridanus	583	15	2.573	59	2	40	38	9	57	2	42	48	50	17	19	18	22	26	27	32	53	1	6	0	0	0	0	0	0	15	0
alignment.nex	C__quinquefasciatus	583	10	1.715	63	7	39	38	11	62	3	37	42	46	18	20	15	20	27	32	28	57	1	7	0	0	0	0	0	0	10	0
alignment.nex	D__melanogaster	583	10	1.715	58	2	38	43	9	61	1	38	46	47	21	20	17	17	28	29	33	57	1	7	0	0	0	0	0	0	10	0
alignment.nex	H__saltator	583	12	2.058	62	2	37	41	9	59	2	41	46	52	20	21	16	23	26	25	33	49	1	6	0	0	0	0	0	0	12	0
alignment.nex	L__humile	583	15	2.573	59	2	40	38	8	57	1	39	45	53	16	20	17	22	27	26	36	54	1	7	0	0	0	0	0	0	15	0
alignment.nex	N__vitripennis	583	11	1.887	60	2	38	39	10	59	2	36	46	49	20	22	20	21	25	28	32	56	1	6	0	0	0	0	0	0	11	0
alignment.nex	P__barbatus	583	14	2.401	60	2	37	40	9	59	1	42	47	49	17	22	17	22	26	25	30	56	1	7	0	0	0	0	0	0	14	0
alignment.nex	S__invicta	583	17	2.916	59	2	39	39	10	57	2	39	47	50	17	19	18	23	26	25	33	54	1	6	0	0	0	0	0	0	17	0
alignment.nex	T__castaneum	583	9	1.544	54	3	34	43	9	60	1	43	48	47	16	24	19	22	23	27	36	54	2	9	0	0	0	0	0	0	9	0
