Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	ACACH	4519041	920177	20.362	231257	79148	182521	262764	140326	206015	92040	178948	235436	352032	81251	147741	187541	170499	184138	297937	192434	227171	42468	107197	0	0	0	1510	0	0	580853	337814
alignment.nex	ALLIG	4519041	1125956	24.916	214568	73049	171747	245774	132828	193679	86043	174823	223346	331970	77952	143703	176313	161317	173561	277284	182547	210336	39824	102421	0	0	0	162	0	0	512615	613179
alignment.nex	ANAPL	4519041	507952	11.24	256692	86869	203740	294128	155912	227997	101022	201922	265428	390117	90411	169059	208109	190016	205854	331281	214907	250659	46828	120138	0	0	0	1250	0	0	421555	85147
alignment.nex	ANOCA	4519041	1314976	29.099	203731	69020	163149	231201	128055	185816	82534	167567	210218	315903	75323	136195	166494	147582	165227	255315	168347	196136	38220	98032	0	0	0	5	0	0	439917	875054
alignment.nex	APAVI	4519041	912933	20.202	230965	77927	182975	262842	141306	205030	90691	180598	238358	352551	80887	150626	186449	169263	186161	298392	193645	227146	42180	108116	0	0	0	1195	0	0	628160	283578
alignment.nex	APTFO	4519041	373089	8.256	263778	89897	210082	302536	161650	236464	104500	209576	273969	403830	94014	174588	214709	195923	212695	342893	222645	259165	48635	124403	0	0	0	334	0	0	357818	14937
alignment.nex	BALRE	4519041	831913	18.409	233581	79533	187156	268955	144574	208921	92829	187521	244856	359141	83821	155675	189675	174516	188305	304274	198829	230983	43098	110885	0	0	0	722	0	0	600772	230419
alignment.nex	BUCRH	4519041	919621	20.35	231141	78247	182680	263038	140638	205040	90941	178850	236262	351803	80614	149114	186998	169220	186808	298156	192860	227122	42281	107607	0	0	0	539	0	0	601201	317881
alignment.nex	CALAN	4519041	453377	10.033	258319	88336	204330	298011	158688	233499	103460	203676	267397	398926	91738	168315	212805	193642	207761	338112	216973	252975	47833	120868	0	0	0	838	0	0	384458	68081
alignment.nex	CAPCA	4519041	993402	21.983	221431	76616	178901	257457	138420	199967	89148	179201	233683	343312	79734	149284	182008	166055	180366	291626	190146	220758	41426	106100	0	0	0	1071	0	0	671105	321226
alignment.nex	CARCR	4519041	867364	19.194	230566	79368	185047	266235	142884	207416	92072	185235	242131	355503	82921	154056	188093	172346	187289	302151	197021	228909	42827	109607	0	0	0	1070	0	0	610421	255873
alignment.nex	CATAU	4519041	1525855	33.765	188822	65699	150943	217081	118021	169800	75400	153290	198889	290926	67614	127577	153681	140102	152178	247902	161873	187511	35048	90829	0	0	0	1095	0	0	727952	796808
alignment.nex	CHAPE	4519041	450620	9.972	259749	88428	205400	297440	158588	232603	103322	202590	267402	398477	91544	168558	212598	193658	208540	337701	218137	254931	47815	120940	0	0	0	743	0	0	405884	43993
alignment.nex	CHAVO	4519041	404879	8.959	261519	89180	209254	300357	160422	234208	103485	207914	272080	399964	93010	173427	213203	194210	211155	339659	221681	257875	48139	123420	0	0	0	784	0	0	379412	24683
alignment.nex	CHEMY	4519041	690387	15.277	237259	82285	194399	278012	149208	217416	97762	199469	252402	373857	88616	164005	196198	182735	194814	315178	207135	237355	44828	115721	0	0	0	543	0	0	353886	335958
alignment.nex	CHLUN	4519041	908709	20.108	229829	78221	183044	263831	141333	204782	90870	182281	239816	351675	81375	151814	185834	170028	185804	298826	193623	226902	42001	108443	0	0	0	991	0	0	656593	251125
alignment.nex	COLLI	4519041	432909	9.58	263988	88976	207604	298294	159205	234182	102937	203585	267527	398634	92003	170093	213210	192658	212175	335719	218452	257002	47984	121904	0	0	0	1715	0	0	379390	51804
alignment.nex	COLST	4519041	1131262	25.033	215779	73612	171890	247740	132942	191928	86266	169818	224241	331352	76840	140673	174947	160909	173062	280677	181709	212440	39716	101238	0	0	0	1055	0	0	681627	448580
alignment.nex	CORBR	4519041	415998	9.205	264495	89400	207820	300256	160220	236408	104184	203467	268439	401344	92345	168247	215588	194455	212301	339655	217798	257014	48390	121217	0	0	0	1003	0	0	389214	25781
alignment.nex	CUCCA	4519041	418208	9.254	261100	89384	208609	299719	159853	233650	103374	207078	269805	399523	93057	171861	212331	192818	211243	339225	219963	257234	47981	123025	0	0	0	845	0	0	360584	56779
alignment.nex	EGRGA	4519041	475072	10.513	257285	87671	205511	295625	157307	230491	102172	204088	267361	393628	91643	169930	210120	190985	207254	334703	217286	252652	47279	120978	0	0	0	987	0	0	379912	94173
alignment.nex	EURHE	4519041	1059782	23.451	223458	75365	175199	251641	135205	198429	87455	171463	226733	336708	77770	143078	180857	162307	179406	286057	185339	219036	40588	103165	0	0	0	1178	0	0	665322	393282
alignment.nex	FALPE	4519041	391323	8.659	263007	90353	209220	300218	161056	235358	104546	208077	272308	402395	93934	172703	213609	195371	211501	341118	221607	259033	48525	123779	0	0	0	617	0	0	359149	31557
alignment.nex	FULGL	4519041	860151	19.034	231769	78966	185508	266704	143661	207699	92046	186642	242378	356722	83121	154465	188825	172638	186962	301953	196905	229101	42763	110062	0	0	0	1180	0	0	621771	237200
alignment.nex	GALGA	4519041	252952	5.597	280527	92868	215313	311898	164035	247115	107237	211081	276869	415565	97093	176017	223601	200314	224629	353678	225918	266105	49858	126368	0	0	0	299	0	0	252653	0
alignment.nex	GAVST	4519041	927851	20.532	226948	77630	181938	262018	141153	203239	90724	183022	238785	349794	81528	151799	184575	169429	183354	296468	193563	225169	41975	108079	0	0	0	1170	0	0	674562	252119
alignment.nex	GEOFO	4519041	432924	9.58	267368	89516	205799	299571	159135	236697	103899	200896	265628	401222	91323	165610	215991	194883	212150	338838	214095	255340	48267	119889	0	0	0	1027	0	0	393481	38416
alignment.nex	HALAL	4519041	893435	19.77	227795	78390	184374	264962	142536	205235	91549	185799	242249	352828	82977	154101	185356	171102	184016	298681	195388	226582	42343	109343	0	0	0	1096	0	0	625008	267331
alignment.nex	HALLE	4519041	476023	10.534	257120	87658	204661	294831	157598	230730	101863	204620	267033	394244	92260	169970	209644	191304	207495	333928	216989	252348	47355	121367	0	0	0	1122	0	0	376230	98671
alignment.nex	HUMAN	4519041	1079861	23.896	228860	71737	173933	249244	131388	206773	88564	164760	213813	342397	77962	135516	193897	161771	187144	281470	179864	210913	40588	98586	0	0	0	0	0	0	225407	854454
alignment.nex	LEPDI	4519041	816464	18.067	236903	80846	187527	269717	144409	211961	93463	185306	243881	360711	83339	154280	192184	174379	190562	306321	198582	233979	43290	110937	0	0	0	1076	0	0	596917	218471
alignment.nex	MANVI	4519041	522997	11.573	255795	87112	202096	292339	155893	230723	101229	197637	261041	390973	89577	164648	211026	188951	207440	330336	213346	250644	47037	118201	0	0	0	899	0	0	429824	92274
alignment.nex	MELGA	4519041	618758	13.692	249515	84956	197477	285351	152483	221023	98565	197063	256398	380567	88475	163568	200242	184953	200892	324858	208020	243844	45504	116529	0	0	0	724	0	0	446007	172027
alignment.nex	MELUN	4519041	434381	9.612	262081	89447	206519	297322	158383	233695	103998	205255	267040	398961	93592	170038	212553	193318	210352	338491	218683	254725	47904	122303	0	0	0	388	0	0	343353	90640
alignment.nex	MERNU	4519041	1080552	23.911	222019	75086	172848	251457	134989	197490	87127	170146	225262	338557	76935	141036	178673	162682	177144	282645	183248	217612	40519	103014	0	0	0	684	0	0	696015	383853
alignment.nex	MESUN	4519041	987851	21.86	226930	76847	178326	256694	138351	201186	89378	177390	232091	344885	80126	146874	183458	166402	181519	292159	189220	222131	41384	105839	0	0	0	820	0	0	622476	364555
alignment.nex	NESNO	4519041	788935	17.458	237104	81459	189131	272006	145528	212148	95137	188246	246132	363422	84832	156158	193536	176108	190133	309074	200776	233612	43543	112021	0	0	0	901	0	0	577227	210807
alignment.nex	NIPNI	4519041	386508	8.553	264721	89575	209545	301978	160930	235796	103930	208264	272690	402469	93399	173480	214768	195091	212777	341079	221653	258233	48376	123779	0	0	0	728	0	0	359850	25930
alignment.nex	OPHHO	4519041	496632	10.99	257827	88011	204305	293945	156826	229521	101488	200925	264659	391738	90711	167712	207490	189686	207403	332886	215651	254396	47103	120126	0	0	0	919	0	0	432108	63605
alignment.nex	PELCR	4519041	990898	21.927	223989	76662	178574	257337	138310	200507	88920	179272	233937	342622	80477	148780	182083	166688	180196	291412	190057	221039	41180	106101	0	0	0	637	0	0	679043	311218
alignment.nex	PHACA	4519041	956998	21.177	225666	77202	180801	259734	139804	201743	90186	181525	236740	346490	80798	150537	182753	168006	181252	294872	192057	223164	41655	107058	0	0	0	1449	0	0	665744	289805
alignment.nex	PHALE	4519041	838479	18.554	233426	79454	186503	268363	143853	208719	93104	187003	244221	358484	84152	155154	189570	174089	188098	304155	197941	230588	42997	110688	0	0	0	727	0	0	615020	222732
alignment.nex	PHORU	4519041	1020541	22.583	222857	75071	177659	256169	136676	198224	87705	176834	232958	339995	79193	147343	180632	165265	179746	288851	188229	219627	40529	104937	0	0	0	686	0	0	717126	302729
alignment.nex	PICPU	4519041	538540	11.917	263450	87405	199536	291680	153327	229903	101189	193375	257873	392567	88880	160246	209658	190905	206950	330533	209482	249196	46934	117412	0	0	0	894	0	0	401589	136057
alignment.nex	PODCR	4519041	1180164	26.115	212571	71968	168710	242901	130925	190033	84284	168864	220744	325418	76036	140242	172823	157750	170835	276381	179616	209423	38979	100374	0	0	0	1076	0	0	762819	416269
alignment.nex	PTEGU	4519041	926401	20.5	228657	78125	182028	263010	140656	204213	90592	180910	237545	350463	81403	150528	186179	169547	183977	296931	192901	225401	41992	107582	0	0	0	1393	0	0	637005	288003
alignment.nex	PYGAD	4519041	407787	9.024	260968	89290	208527	299646	160561	234366	103678	208308	271883	400053	93143	173434	212728	194153	210813	339862	221053	257258	48164	123366	0	0	0	999	0	0	386209	20579
alignment.nex	STRCA	4519041	525654	11.632	253246	85852	203025	292963	155772	225533	100435	203177	265486	389103	90312	168654	205457	188964	204588	331092	214347	248802	46561	120018	0	0	0	764	0	0	382358	142532
alignment.nex	TAEGU	4519041	483026	10.689	267501	88169	202853	294662	156428	235293	102286	198161	261177	395941	91257	163534	213924	191053	212481	333181	210910	250939	47671	118594	0	0	0	282	0	0	279300	203444
alignment.nex	TAUER	4519041	886616	19.62	231213	78811	184760	265261	142281	206989	91393	182340	239891	353655	81936	152140	188159	170219	187213	300635	195292	228741	42556	108940	0	0	0	1428	0	0	600391	284797
alignment.nex	TINMA	4519041	815939	18.056	242785	80171	187901	271396	145228	211841	93041	185590	243837	362178	82802	153382	192388	173451	192855	304088	194765	231201	43429	110773	0	0	0	924	0	0	522580	292435
alignment.nex	TYTAL	4519041	956248	21.16	223207	76993	180680	260735	140233	201099	90166	182594	238153	347262	80930	151074	182027	168109	181006	294204	192246	223036	41677	107362	0	0	0	1585	0	0	648591	306072
