Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	1918|Human|A/Brevig_Mission/1/1918|USA|H1N1	2151	0	0.0	0.562	0.438	709	413	529	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1930|Swine|A/swine/Iowa/15/1930|USA|H1N1	2151	0	0.0	0.568	0.432	708	407	523	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1931|Swine|A/swine/USA/1976/1931|USA|H1N1	2151	0	0.0	0.565	0.435	706	408	528	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1933|Human|A/United_Kingdom/1/1933|United_Kingdom|H1N1	2151	0	0.0	0.57	0.43	713	407	519	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1934|Avian|A/chicken/Germany/1934|Germany|H7N1	2151	0	0.0	0.555	0.445	703	423	534	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Avian|A/chicken/Brescia/1902|Italy|H7N7	2151	0	0.0	0.558	0.442	714	431	519	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Melbourne/1935|Australia|H1N1	2151	0	0.0	0.57	0.43	716	407	517	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/Phila/1935|USA|H1N1	2151	0	0.0	0.575	0.425	720	403	512	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Human|A/bh/1935||H1N1	2151	0	0.0	0.569	0.431	710	405	523	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment.nex	1935|Swine|A/swine/Ohio/23/1935|USA|H1N1	2151	0	0.0	0.572	0.428	714	403	518	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
