partitions,par_start,par_end,loci,loci_start,loci_end,genomes,gen_start,gen_end
p10047_1stpos,1,981,p10047,1.0,981.0,nuclear,1.0,154548.0
p10047_2ndpos,2,981,p10059,982.0,2826.0,chloroplast,154549.0,218916.0
p10047_3stpos,3,981,p10071,2827.0,3600.0,mitochondrial,218917.0,250581.0
p10059_1stpos,982,2826,p10176,3601.0,4428.0,,,
p10059_2ndpos,983,2826,p10381,4429.0,5430.0,,,
p10059_3stpos,984,2826,p10399,5431.0,7143.0,,,
p10071_1stpos,2827,3600,p10426,7144.0,7929.0,,,
p10071_2ndpos,2828,3600,p10493,7930.0,9276.0,,,
p10071_3stpos,2829,3600,p10735,9277.0,10476.0,,,
p10176_1stpos,3601,4428,p10898,10477.0,11283.0,,,
p10176_2ndpos,3602,4428,p10912,11284.0,12420.0,,,
p10176_3stpos,3603,4428,p10917,12421.0,13272.0,,,
p10381_1stpos,4429,5430,p11066,13273.0,14553.0,,,
p10381_2ndpos,4430,5430,p11108,14554.0,15801.0,,,
p10381_3stpos,4431,5430,p11353,15802.0,18057.0,,,
p10399_1stpos,5431,7143,p11773,18058.0,20409.0,,,
p10399_2ndpos,5432,7143,p12131,20410.0,20949.0,,,
p10399_3stpos,5433,7143,p1832,20950.0,21795.0,,,
p10426_1stpos,7144,7929,p2573,21796.0,22425.0,,,
p10426_2ndpos,7145,7929,p3241,22426.0,23190.0,,,
p10426_3stpos,7146,7929,p3543,23191.0,24498.0,,,
p10493_1stpos,7930,9276,p3552,24499.0,26385.0,,,
p10493_2ndpos,7931,9276,p3620,26386.0,27888.0,,,
p10493_3stpos,7932,9276,p3707,27889.0,28746.0,,,
p10735_1stpos,9277,10476,p3880,28747.0,30762.0,,,
p10735_2ndpos,9278,10476,p4014,30763.0,33054.0,,,
p10735_3stpos,9279,10476,p4412,33055.0,34440.0,,,
p10898_1stpos,10477,11283,p4469,34441.0,36954.0,,,
p10898_2ndpos,10478,11283,p4557,36955.0,38310.0,,,
p10898_3stpos,10479,11283,p4679,38311.0,40089.0,,,
p10912_1stpos,11284,12420,p4695,40090.0,42381.0,,,
p10912_2ndpos,11285,12420,p4710,42382.0,45687.0,,,
p10912_3stpos,11286,12420,p4808,45688.0,46791.0,,,
p10917_1stpos,12421,13272,p4826,46792.0,49644.0,,,
p10917_2ndpos,12422,13272,p4885,49645.0,50676.0,,,
p10917_3stpos,12423,13272,p4897,50677.0,52872.0,,,
p11066_1stpos,13273,14553,p4929,52873.0,55644.0,,,
p11066_2ndpos,13274,14553,p5001,55645.0,56904.0,,,
p11066_3stpos,13275,14553,p51026,56905.0,57930.0,,,
p11108_1stpos,14554,15801,p51033,57931.0,60687.0,,,
p11108_2ndpos,14555,15801,p51207,60688.0,61707.0,,,
p11108_3stpos,14556,15801,p5214,61708.0,63969.0,,,
p11353_1stpos,15802,18057,p5337,63970.0,65799.0,,,
p11353_2ndpos,15803,18057,p5418,65800.0,68343.0,,,
p11353_3stpos,15804,18057,p5504,68344.0,69603.0,,,
p11773_1stpos,18058,20409,p5835,69604.0,70854.0,,,
p11773_2ndpos,18059,20409,p5847,70855.0,72105.0,,,
p11773_3stpos,18060,20409,p5855,72106.0,73308.0,,,
p12131_1stpos,20410,20949,p5900,73309.0,74385.0,,,
p12131_2ndpos,20411,20949,p5909,74386.0,75546.0,,,
p12131_3stpos,20412,20949,p5941,75547.0,77862.0,,,
p1832_1stpos,20950,21795,p6014,77863.0,79560.0,,,
p1832_2ndpos,20951,21795,p6082,79561.0,81300.0,,,
p1832_3stpos,20952,21795,p6309,81301.0,82278.0,,,
p2573_1stpos,21796,22425,p6354,82279.0,83973.0,,,
p2573_2ndpos,21797,22425,p6363,83974.0,84741.0,,,
p2573_3stpos,21798,22425,p6443,84742.0,86772.0,,,
p3241_1stpos,22426,23190,p6513,86773.0,88542.0,,,
p3241_2ndpos,22427,23190,p6613,88543.0,89649.0,,,
p3241_3stpos,22428,23190,p6707,89650.0,90327.0,,,
p3543_1stpos,23191,24498,p6710,90328.0,91380.0,,,
p3543_2ndpos,23192,24498,p6776,91381.0,93432.0,,,
p3543_3stpos,23193,24498,p6808,93433.0,95154.0,,,
p3552_1stpos,24499,26385,p6845,95155.0,96471.0,,,
p3552_2ndpos,24500,26385,p6879,96472.0,97146.0,,,
p3552_3stpos,24501,26385,p7116,97147.0,98769.0,,,
p3620_1stpos,26386,27888,p7176,98770.0,100062.0,,,
p3620_2ndpos,26387,27888,p7251,100063.0,101427.0,,,
p3620_3stpos,26388,27888,p7320,101428.0,103341.0,,,
p3707_1stpos,27889,28746,p7406,103342.0,104562.0,,,
p3707_2ndpos,27890,28746,p7534,104563.0,105339.0,,,
p3707_3stpos,27891,28746,p7545,105340.0,106761.0,,,
p3880_1stpos,28747,30762,p7591,106762.0,107427.0,,,
p3880_2ndpos,28748,30762,p7709,107428.0,108774.0,,,
p3880_3stpos,28749,30762,p7765,108775.0,110142.0,,,
p4014_1stpos,30763,33054,p7805,110143.0,111738.0,,,
p4014_2ndpos,30764,33054,p7956,111739.0,114171.0,,,
p4014_3stpos,30765,33054,p7979,114172.0,115065.0,,,
p4412_1stpos,33055,34440,p8141,115066.0,116223.0,,,
p4412_2ndpos,33056,34440,p8150,116224.0,119397.0,,,
p4412_3stpos,33057,34440,p8157,119398.0,121290.0,,,
p4469_1stpos,34441,36954,p8234,121291.0,122427.0,,,
p4469_2ndpos,34442,36954,p8456,122428.0,123309.0,,,
p4469_3stpos,34443,36954,p8475,123310.0,124794.0,,,
p4557_1stpos,36955,38310,p8505,124795.0,126921.0,,,
p4557_2ndpos,36956,38310,p8565,126922.0,128043.0,,,
p4557_3stpos,36957,38310,p8569,128044.0,128928.0,,,
p4679_1stpos,38311,40089,p8633,128929.0,131097.0,,,
p4679_2ndpos,38312,40089,p8678,131098.0,132669.0,,,
p4679_3stpos,38313,40089,p8747,132670.0,133419.0,,,
p4695_1stpos,40090,42381,p8759,133420.0,134484.0,,,
p4695_2ndpos,40091,42381,p8981,134485.0,137565.0,,,
p4695_3stpos,40092,42381,p9241,137566.0,138954.0,,,
p4710_1stpos,42382,45687,p9399,138955.0,140361.0,,,
p4710_2ndpos,42383,45687,p9410,140362.0,141834.0,,,
p4710_3stpos,42384,45687,p9497,141835.0,143571.0,,,
p4808_1stpos,45688,46791,p9541,143572.0,144894.0,,,
p4808_2ndpos,45689,46791,p9566,144895.0,145692.0,,,
p4808_3stpos,45690,46791,p9596,145693.0,147258.0,,,
p4826_1stpos,46792,49644,p9630,147259.0,148470.0,,,
p4826_2ndpos,46793,49644,p9686,148471.0,150081.0,,,
p4826_3stpos,46794,49644,p9753,150082.0,151416.0,,,
p4885_1stpos,49645,50676,p9781,151417.0,152868.0,,,
p4885_2ndpos,49646,50676,p9841,152869.0,153777.0,,,
p4885_3stpos,49647,50676,p9963,153778.0,154548.0,,,
p4897_1stpos,50677,52872,accD,154549.0,155481.0,,,
p4897_2ndpos,50678,52872,atpA,155482.0,157002.0,,,
p4897_3stpos,50679,52872,atpB,157003.0,158472.0,,,
p4929_1stpos,52873,55644,atpE,158473.0,158871.0,,,
p4929_2ndpos,52874,55644,atpF,158872.0,159279.0,,,
p4929_3stpos,52875,55644,atpH,159280.0,159522.0,,,
p5001_1stpos,55645,56904,atpI,159523.0,160257.0,,,
p5001_2ndpos,55646,56904,cemA,160258.0,161706.0,,,
p5001_3stpos,55647,56904,chlB,161707.0,163215.0,,,
p51026_1stpos,56905,57930,chlL,163216.0,164061.0,,,
p51026_2ndpos,56906,57930,chlN,164062.0,165456.0,,,
p51026_3stpos,56907,57930,clpP,165457.0,166047.0,,,
p51033_1stpos,57931,60687,infA,166048.0,166281.0,,,
p51033_2ndpos,57932,60687,matK,166282.0,167766.0,,,
p51033_3stpos,57933,60687,ndhA,167767.0,168861.0,,,
p51207_1stpos,60688,61707,ndhB,168862.0,170349.0,,,
p51207_2ndpos,60689,61707,ndhC,170350.0,170712.0,,,
p51207_3stpos,60690,61707,ndhD,170713.0,172200.0,,,
p5214_1stpos,61708,63969,ndhE,172201.0,172500.0,,,
p5214_2ndpos,61709,63969,ndhF,172501.0,174510.0,,,
p5214_3stpos,61710,63969,ndhG,174511.0,175077.0,,,
p5337_1stpos,63970,65799,ndhH,175078.0,176250.0,,,
p5337_2ndpos,63971,65799,ndhI,176251.0,176784.0,,,
p5337_3stpos,63972,65799,ndhJ,176785.0,177285.0,,,
p5418_1stpos,65800,68343,ndhK,177286.0,177942.0,,,
p5418_2ndpos,65801,68343,petA,177943.0,178884.0,,,
p5418_3stpos,65802,68343,petB,178885.0,179520.0,,,
p5504_1stpos,68344,69603,petD,179521.0,179991.0,,,
p5504_2ndpos,68345,69603,petG,179992.0,180102.0,,,
p5504_3stpos,68346,69603,petL,180103.0,180195.0,,,
p5835_1stpos,69604,70854,psaA,180196.0,182445.0,,,
p5835_2ndpos,69605,70854,psaB,182446.0,184647.0,,,
p5835_3stpos,69606,70854,psaC,184648.0,184890.0,,,
p5847_1stpos,70855,72105,psaI,184891.0,184998.0,,,
p5847_2ndpos,70856,72105,psaJ,184999.0,185124.0,,,
p5847_3stpos,70857,72105,psaM,185125.0,185220.0,,,
p5855_1stpos,72106,73308,psbA,185221.0,186279.0,,,
p5855_2ndpos,72107,73308,psbB,186280.0,187803.0,,,
p5855_3stpos,72108,73308,psbC,187804.0,189222.0,,,
p5900_1stpos,73309,74385,psbD,189223.0,190281.0,,,
p5900_2ndpos,73310,74385,psbE,190282.0,190530.0,,,
p5900_3stpos,73311,74385,psbF,190531.0,190647.0,,,
p5909_1stpos,74386,75546,psbH,190648.0,190869.0,,,
p5909_2ndpos,74387,75546,psbI,190870.0,190977.0,,,
p5909_3stpos,74388,75546,psbJ,190978.0,191097.0,,,
p5941_1stpos,75547,77862,psbK,191098.0,191265.0,,,
p5941_2ndpos,75548,77862,psbL,191266.0,191379.0,,,
p5941_3stpos,75549,77862,psbM,191380.0,191478.0,,,
p6014_1stpos,77863,79560,psbN,191479.0,191607.0,,,
p6014_2ndpos,77864,79560,psbT,191608.0,191712.0,,,
p6014_3stpos,77865,79560,psbZ,191713.0,191898.0,,,
p6082_1stpos,79561,81300,rbcL,191899.0,193320.0,,,
p6082_2ndpos,79562,81300,rpl14,193321.0,193686.0,,,
p6082_3stpos,79563,81300,rpl16,193687.0,194118.0,,,
p6309_1stpos,81301,82278,rpl2,194119.0,194949.0,,,
p6309_2ndpos,81302,82278,rpl20,194950.0,195294.0,,,
p6309_3stpos,81303,82278,rpl21,195295.0,195642.0,,,
p6354_1stpos,82279,83973,rpl22,195643.0,195993.0,,,
p6354_2ndpos,82280,83973,rpl23,195994.0,196266.0,,,
p6354_3stpos,82281,83973,rpl32,196267.0,196431.0,,,
p6363_1stpos,83974,84741,rpl33,196432.0,196626.0,,,
p6363_2ndpos,83975,84741,rpl36,196627.0,196737.0,,,
p6363_3stpos,83976,84741,rpoB,196738.0,199902.0,,,
p6443_1stpos,84742,86772,rpoC1,199903.0,201912.0,,,
p6443_2ndpos,84743,86772,rpoC2,201913.0,205707.0,,,
p6443_3stpos,84744,86772,rps11,205708.0,206097.0,,,
p6513_1stpos,86773,88542,rps12,206098.0,206442.0,,,
p6513_2ndpos,86774,88542,rps14,206443.0,206742.0,,,
p6513_3stpos,86775,88542,rps15,206743.0,207006.0,,,
p6613_1stpos,88543,89649,rps18,207007.0,207231.0,,,
p6613_2ndpos,88544,89649,rps19,207232.0,207507.0,,,
p6613_3stpos,88545,89649,rps2,207508.0,208215.0,,,
p6707_1stpos,89650,90327,rps3,208216.0,208869.0,,,
p6707_2ndpos,89651,90327,rps4,208870.0,209475.0,,,
p6707_3stpos,89652,90327,rps7,209476.0,209940.0,,,
p6710_1stpos,90328,91380,rps8,209941.0,210336.0,,,
p6710_2ndpos,90329,91380,ycf1,210337.0,214494.0,,,
p6710_3stpos,90330,91380,ycf12,214495.0,214593.0,,,
p6776_1stpos,91381,93432,ycf2,214594.0,217554.0,,,
p6776_2ndpos,91382,93432,ycf3,217555.0,218058.0,,,
p6776_3stpos,91383,93432,ycf4,218059.0,218610.0,,,
p6808_1stpos,93433,95154,ycf66,218611.0,218916.0,,,
p6808_2ndpos,93434,95154,atp1,218917.0,220470.0,,,
p6808_3stpos,93435,95154,atp4,220471.0,221019.0,,,
p6845_1stpos,95155,96471,atp6,221020.0,221778.0,,,
p6845_2ndpos,95156,96471,atp8,221779.0,222300.0,,,
p6845_3stpos,95157,96471,atp9,222301.0,222426.0,,,
p6879_1stpos,96472,97146,ccmB,222427.0,222951.0,,,
p6879_2ndpos,96473,97146,ccmC,222952.0,223707.0,,,
p6879_3stpos,96474,97146,ccmFC,223708.0,225120.0,,,
p7116_1stpos,97147,98769,ccmFN,225121.0,226881.0,,,
p7116_2ndpos,97148,98769,cob,226882.0,228099.0,,,
p7116_3stpos,97149,98769,cox1,228100.0,229686.0,,,
p7176_1stpos,98770,100062,cox2,229687.0,230382.0,,,
p7176_2ndpos,98771,100062,cox3,230383.0,231177.0,,,
p7176_3stpos,98772,100062,nad1,231178.0,232161.0,,,
p7251_1stpos,100063,101427,nad2,232162.0,233628.0,,,
p7251_2ndpos,100064,101427,nad3,233629.0,233982.0,,,
p7251_3stpos,100065,101427,nad4,233983.0,235467.0,,,
p7320_1stpos,101428,103341,nad4L,235468.0,235749.0,,,
p7320_2ndpos,101429,103341,nad5,235750.0,237777.0,,,
p7320_3stpos,101430,103341,nad6,237778.0,238380.0,,,
p7406_1stpos,103342,104562,nad7,238381.0,239508.0,,,
p7406_2ndpos,103343,104562,nad9,239509.0,240093.0,,,
p7406_3stpos,103344,104562,rpL16,240094.0,240498.0,,,
p7534_1stpos,104563,105339,rpL2,240499.0,241845.0,,,
p7534_2ndpos,104564,105339,rpL5,241846.0,242391.0,,,
p7534_3stpos,104565,105339,rpL6,242392.0,242694.0,,,
p7545_1stpos,105340,106761,rpl10,242695.0,243210.0,,,
p7545_2ndpos,105341,106761,rps1,243211.0,244005.0,,,
p7545_3stpos,105342,106761,rps11,244006.0,244350.0,,,
p7591_1stpos,106762,107427,rps12,244351.0,244728.0,,,
p7591_2ndpos,106763,107427,rps13,244729.0,245094.0,,,
p7591_3stpos,106764,107427,rps14,245095.0,245391.0,,,
p7709_1stpos,107428,108774,rps19,245392.0,245670.0,,,
p7709_2ndpos,107429,108774,rps2,245671.0,246384.0,,,
p7709_3stpos,107430,108774,rps3,246385.0,247929.0,,,
p7765_1stpos,108775,110142,rps4,247930.0,248514.0,,,
p7765_2ndpos,108776,110142,rps7,248515.0,249204.0,,,
p7765_3stpos,108777,110142,sdh3,249205.0,249597.0,,,
p7805_1stpos,110143,111738,sdh4,249598.0,249855.0,,,
p7805_2ndpos,110144,111738,tatC,249856.0,250581.0,,,
p7805_3stpos,110145,111738,,,,,,
p7956_1stpos,111739,114171,,,,,,
p7956_2ndpos,111740,114171,,,,,,
p7956_3stpos,111741,114171,,,,,,
p7979_1stpos,114172,115065,,,,,,
p7979_2ndpos,114173,115065,,,,,,
p7979_3stpos,114174,115065,,,,,,
p8141_1stpos,115066,116223,,,,,,
p8141_2ndpos,115067,116223,,,,,,
p8141_3stpos,115068,116223,,,,,,
p8150_1stpos,116224,119397,,,,,,
p8150_2ndpos,116225,119397,,,,,,
p8150_3stpos,116226,119397,,,,,,
p8157_1stpos,119398,121290,,,,,,
p8157_2ndpos,119399,121290,,,,,,
p8157_3stpos,119400,121290,,,,,,
p8234_1stpos,121291,122427,,,,,,
p8234_2ndpos,121292,122427,,,,,,
p8234_3stpos,121293,122427,,,,,,
p8456_1stpos,122428,123309,,,,,,
p8456_2ndpos,122429,123309,,,,,,
p8456_3stpos,122430,123309,,,,,,
p8475_1stpos,123310,124794,,,,,,
p8475_2ndpos,123311,124794,,,,,,
p8475_3stpos,123312,124794,,,,,,
p8505_1stpos,124795,126921,,,,,,
p8505_2ndpos,124796,126921,,,,,,
p8505_3stpos,124797,126921,,,,,,
p8565_1stpos,126922,128043,,,,,,
p8565_2ndpos,126923,128043,,,,,,
p8565_3stpos,126924,128043,,,,,,
p8569_1stpos,128044,128928,,,,,,
p8569_2ndpos,128045,128928,,,,,,
p8569_3stpos,128046,128928,,,,,,
p8633_1stpos,128929,131097,,,,,,
p8633_2ndpos,128930,131097,,,,,,
p8633_3stpos,128931,131097,,,,,,
p8678_1stpos,131098,132669,,,,,,
p8678_2ndpos,131099,132669,,,,,,
p8678_3stpos,131100,132669,,,,,,
p8747_1stpos,132670,133419,,,,,,
p8747_2ndpos,132671,133419,,,,,,
p8747_3stpos,132672,133419,,,,,,
p8759_1stpos,133420,134484,,,,,,
p8759_2ndpos,133421,134484,,,,,,
p8759_3stpos,133422,134484,,,,,,
p8981_1stpos,134485,137565,,,,,,
p8981_2ndpos,134486,137565,,,,,,
p8981_3stpos,134487,137565,,,,,,
p9241_1stpos,137566,138954,,,,,,
p9241_2ndpos,137567,138954,,,,,,
p9241_3stpos,137568,138954,,,,,,
p9399_1stpos,138955,140361,,,,,,
p9399_2ndpos,138956,140361,,,,,,
p9399_3stpos,138957,140361,,,,,,
p9410_1stpos,140362,141834,,,,,,
p9410_2ndpos,140363,141834,,,,,,
p9410_3stpos,140364,141834,,,,,,
p9497_1stpos,141835,143571,,,,,,
p9497_2ndpos,141836,143571,,,,,,
p9497_3stpos,141837,143571,,,,,,
p9541_1stpos,143572,144894,,,,,,
p9541_2ndpos,143573,144894,,,,,,
p9541_3stpos,143574,144894,,,,,,
p9566_1stpos,144895,145692,,,,,,
p9566_2ndpos,144896,145692,,,,,,
p9566_3stpos,144897,145692,,,,,,
p9596_1stpos,145693,147258,,,,,,
p9596_2ndpos,145694,147258,,,,,,
p9596_3stpos,145695,147258,,,,,,
p9630_1stpos,147259,148470,,,,,,
p9630_2ndpos,147260,148470,,,,,,
p9630_3stpos,147261,148470,,,,,,
p9686_1stpos,148471,150081,,,,,,
p9686_2ndpos,148472,150081,,,,,,
p9686_3stpos,148473,150081,,,,,,
p9753_1stpos,150082,151416,,,,,,
p9753_2ndpos,150083,151416,,,,,,
p9753_3stpos,150084,151416,,,,,,
p9781_1stpos,151417,152868,,,,,,
p9781_2ndpos,151418,152868,,,,,,
p9781_3stpos,151419,152868,,,,,,
p9841_1stpos,152869,153777,,,,,,
p9841_2ndpos,152870,153777,,,,,,
p9841_3stpos,152871,153777,,,,,,
p9963_1stpos,153778,154548,,,,,,
p9963_2ndpos,153779,154548,,,,,,
p9963_3stpos,153780,154548,,,,,,
accD_1stpos,154549,155481,,,,,,
accD_2ndpos,154550,155481,,,,,,
