Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
alignment.nex	Aphaenogaster_occidentalis_EX818	1561581	179932	11.522	0.562	0.438	388293	302096	303517	387743	0	0	0	0	0	0	0	0	0	0	0	0	0	66052	113880
alignment.nex	Crematogaster_nigropilosa_EX831	1561581	155915	9.984	0.58	0.42	408855	294196	295802	406813	0	0	0	0	0	0	0	0	0	0	0	0	0	66912	89003
alignment.nex	Formicoxenus_diversipilosus_D1000	1561581	183163	11.729	0.561	0.439	387333	302265	303325	385495	0	0	0	0	0	0	0	0	0	0	0	0	0	152186	30977
alignment.nex	Gauromyrmex_bengakalisi_EX812	1561581	98207	6.289	0.574	0.426	421016	310897	312736	418725	0	0	0	0	0	0	0	0	0	0	0	0	0	53180	45027
alignment.nex	Gauromyrmex_my01_P081	1561581	98020	6.277	0.574	0.426	420910	311018	312739	418894	0	0	0	0	0	0	0	0	0	0	0	0	0	41511	56509
alignment.nex	Harpagoxenus_sublaevis_D1116	1561581	98073	6.28	0.563	0.437	412815	319517	320325	410851	0	0	0	0	0	0	0	0	0	0	0	0	0	40834	57239
alignment.nex	Leptothorax_calderoni_P070	1561581	121374	7.773	0.562	0.438	405427	315111	316004	403665	0	0	0	0	0	0	0	0	0	0	0	0	0	36665	84709
alignment.nex	Leptothorax_gredleri_P089	1561581	132055	8.456	0.562	0.438	402722	312401	313657	400746	0	0	0	0	0	0	0	0	0	0	0	0	0	62761	69294
alignment.nex	Leptothorax_muscorum_EX816	1561581	118063	7.56	0.563	0.437	407302	314813	315751	405652	0	0	0	0	0	0	0	0	0	0	0	0	0	35354	82709
alignment.nex	Monomorium_pharaonis_EX804	1561581	220077	14.093	0.574	0.426	386764	284243	286673	383824	0	0	0	0	0	0	0	0	0	0	0	0	0	151156	68921
alignment.nex	Myrmica_incompleta_EX808	1561581	276600	17.713	0.557	0.443	358493	283754	286031	356703	0	0	0	0	0	0	0	0	0	0	0	0	0	170741	105859
alignment.nex	Pogonomyrmex_occidentalis_EX810	1561581	176679	11.314	0.583	0.417	404748	287256	290533	402365	0	0	0	0	0	0	0	0	0	0	0	0	0	105164	71515
alignment.nex	Temnothorax_allardycei_P101	1561581	145190	9.298	0.557	0.443	395661	312947	314204	393579	0	0	0	0	0	0	0	0	0	0	0	0	0	110296	34894
alignment.nex	Temnothorax_americanus_P032	1561581	83339	5.337	0.558	0.442	413754	325887	327071	411530	0	0	0	0	0	0	0	0	0	0	0	0	0	45494	37845
alignment.nex	Temnothorax_bernardi_P013	1561581	137348	8.795	0.56	0.44	400428	312838	313189	397778	0	0	0	0	0	0	0	0	0	0	0	0	0	14316	123032
alignment.nex	Temnothorax_cagnianti_P042	1561581	112175	7.183	0.563	0.437	409422	316066	316902	407016	0	0	0	0	0	0	0	0	0	0	0	0	0	67443	44732
alignment.nex	Temnothorax_clypeatus_P105	1561581	147819	9.466	0.558	0.442	395771	311882	312880	393229	0	0	0	0	0	0	0	0	0	0	0	0	0	102265	45554
alignment.nex	Temnothorax_cristinae_P115	1561581	76469	4.897	0.564	0.436	419629	323433	324686	417364	0	0	0	0	0	0	0	0	0	0	0	0	0	25185	51284
alignment.nex	Temnothorax_flavicornis_P121	1561581	76225	4.881	0.561	0.439	417624	325791	326958	414983	0	0	0	0	0	0	0	0	0	0	0	0	0	16482	59743
alignment.nex	Temnothorax_flavispinus_cf_P112	1561581	105555	6.759	0.561	0.439	409842	318613	320090	407481	0	0	0	0	0	0	0	0	0	0	0	0	0	58581	46974
alignment.nex	Temnothorax_fuscatus_cf_P052	1561581	61200	3.919	0.559	0.441	420599	330140	331489	418153	0	0	0	0	0	0	0	0	0	0	0	0	0	17226	43974
alignment.nex	Temnothorax_gredosi_P097	1561581	74382	4.763	0.561	0.439	418574	325589	327249	415787	0	0	0	0	0	0	0	0	0	0	0	0	0	38634	35748
alignment.nex	Temnothorax_gundlachi_P099	1561581	85818	5.496	0.562	0.438	416070	321961	323893	413839	0	0	0	0	0	0	0	0	0	0	0	0	0	40815	45003
alignment.nex	Temnothorax_kubira_P056	1561581	110381	7.069	0.558	0.442	406262	319888	321364	403686	0	0	0	0	0	0	0	0	0	0	0	0	0	29785	80596
alignment.nex	Temnothorax_longispinosus_P039	1561581	85533	5.477	0.559	0.441	413828	324682	326288	411250	0	0	0	0	0	0	0	0	0	0	0	0	0	21937	63596
alignment.nex	Temnothorax_mmp07_P003	1561581	145002	9.286	0.558	0.442	395775	313132	313369	394303	0	0	0	0	0	0	0	0	0	0	0	0	0	18140	126862
alignment.nex	Temnothorax_mmp11_P054	1561581	69729	4.465	0.56	0.44	419020	327794	329098	415940	0	0	0	0	0	0	0	0	0	0	0	0	0	24830	44899
alignment.nex	Temnothorax_muellerianus_P104	1561581	103329	6.617	0.564	0.436	411955	317850	318605	409842	0	0	0	0	0	0	0	0	0	0	0	0	0	72292	31037
alignment.nex	Temnothorax_nevadensis_P016	1561581	119971	7.683	0.56	0.44	404520	316728	318066	402296	0	0	0	0	0	0	0	0	0	0	0	0	0	24284	95687
alignment.nex	Temnothorax_nitens_P017	1561581	93978	6.018	0.559	0.441	411476	323165	324302	408660	0	0	0	0	0	0	0	0	0	0	0	0	0	31026	62952
alignment.nex	Temnothorax_nylanderi_P025	1561581	71616	4.586	0.558	0.442	416966	328250	329953	414796	0	0	0	0	0	0	0	0	0	0	0	0	0	13110	58506
alignment.nex	Temnothorax_obturator_P111	1561581	247865	15.873	0.56	0.44	369586	287867	289893	366370	0	0	0	0	0	0	0	0	0	0	0	0	0	211923	35942
alignment.nex	Temnothorax_oxianus_P094	1561581	119120	7.628	0.559	0.441	404025	317646	318745	402045	0	0	0	0	0	0	0	0	0	0	0	0	0	70363	48757
alignment.nex	Temnothorax_peninsularis_nr_P106	1561581	100456	6.433	0.562	0.438	411612	319628	320627	409258	0	0	0	0	0	0	0	0	0	0	0	0	0	22770	77686
alignment.nex	Temnothorax_pergandei_P036	1561581	114218	7.314	0.563	0.437	408664	315714	317192	405793	0	0	0	0	0	0	0	0	0	0	0	0	0	62125	52093
alignment.nex	Temnothorax_purpuratus_P062	1561581	77811	4.983	0.558	0.442	415389	327216	328442	412723	0	0	0	0	0	0	0	0	0	0	0	0	0	34839	42972
alignment.nex	Temnothorax_recedens_P014	1561581	80007	5.123	0.56	0.44	416785	324967	326367	413455	0	0	0	0	0	0	0	0	0	0	0	0	0	12696	67311
alignment.nex	Temnothorax_rugatulus_P018	1561581	98186	6.288	0.558	0.442	410014	322552	323725	407104	0	0	0	0	0	0	0	0	0	0	0	0	0	28146	70040
alignment.nex	Temnothorax_rugithorax_cf_P135	1561581	83103	5.322	0.56	0.44	415442	324802	326121	412113	0	0	0	0	0	0	0	0	0	0	0	0	0	20300	62803
alignment.nex	Temnothorax_salvini_P050	1561581	58302	3.734	0.562	0.438	423545	328715	330446	420573	0	0	0	0	0	0	0	0	0	0	0	0	0	21576	36726
alignment.nex	Temnothorax_semenovi_P093	1561581	115419	7.391	0.563	0.437	408411	314970	316475	406306	0	0	0	0	0	0	0	0	0	0	0	0	0	81918	33501
alignment.nex	Temnothorax_semiruber_P026	1561581	106946	6.849	0.562	0.438	409997	317772	319431	407435	0	0	0	0	0	0	0	0	0	0	0	0	0	70593	36353
alignment.nex	Temnothorax_spinosior_P038	1561581	98075	6.28	0.559	0.441	410392	322142	323255	407717	0	0	0	0	0	0	0	0	0	0	0	0	0	24565	73510
alignment.nex	Temnothorax_striatulus_cf_P051	1561581	79471	5.089	0.56	0.44	416531	325299	326792	413488	0	0	0	0	0	0	0	0	0	0	0	0	0	33660	45811
alignment.nex	Temnothorax_subditivus_P059	1561581	81738	5.234	0.56	0.44	415344	325044	326579	412876	0	0	0	0	0	0	0	0	0	0	0	0	0	27845	53893
alignment.nex	Temnothorax_tricarinatus_P110	1561581	115096	7.37	0.564	0.436	408962	314721	316037	406765	0	0	0	0	0	0	0	0	0	0	0	0	0	63264	51832
alignment.nex	Temnothorax_turcicus_P022	1561581	123048	7.88	0.558	0.442	402523	317226	318984	399800	0	0	0	0	0	0	0	0	0	0	0	0	0	18293	104755
alignment.nex	Temnothorax_unifasciatus_P027	1561581	112877	7.228	0.558	0.442	405524	319207	320690	403283	0	0	0	0	0	0	0	0	0	0	0	0	0	23317	89560
alignment.nex	Temnothorax_whitfordi_P091	1561581	117071	7.497	0.56	0.44	406002	316777	318259	403472	0	0	0	0	0	0	0	0	0	0	0	0	0	68210	48861
alignment.nex	Vombisidris_bilongrudi_D937	1561581	108647	6.958	0.567	0.433	412756	313804	315562	410812	0	0	0	0	0	0	0	0	0	0	0	0	0	42579	66068
